,name,speed,date,time,operation,key
0,ando,fast,2022-06-14,16:37:45.65,D,oボタン
1,ando,fast,2022-06-14,16:37:45.75,U,oボタン
2,ando,fast,2022-06-14,16:37:45.82,D,rボタン
3,ando,fast,2022-06-14,16:37:45.87,D,iボタン
4,ando,fast,2022-06-14,16:37:45.91,U,rボタン
5,ando,fast,2022-06-14,16:37:45.93,U,iボタン
6,ando,fast,2022-06-14,16:37:46.02,D,nボタン
7,ando,fast,2022-06-14,16:37:46.08,U,nボタン
8,ando,fast,2022-06-14,16:37:46.12,D,nボタン
9,ando,fast,2022-06-14,16:37:46.24,U,nボタン
10,ando,fast,2022-06-14,16:37:46.28,D,pボタン
11,ando,fast,2022-06-14,16:37:46.42,U,pボタン
12,ando,fast,2022-06-14,16:37:46.50,D,iボタン
13,ando,fast,2022-06-14,16:37:46.58,U,iボタン
14,ando,fast,2022-06-14,16:37:46.69,D,kボタン
15,ando,fast,2022-06-14,16:37:46.76,U,kボタン
16,ando,fast,2022-06-14,16:37:46.81,D,kボタン
17,ando,fast,2022-06-14,16:37:46.89,D,uボタン
18,ando,fast,2022-06-14,16:37:46.98,U,kボタン
19,ando,fast,2022-06-14,16:37:47.00,U,uボタン
20,ando,fast,2022-06-14,16:37:47.09,D,hボタン
21,ando,fast,2022-06-14,16:37:47.16,D,aボタン
22,ando,fast,2022-06-14,16:37:47.19,U,hボタン
23,ando,fast,2022-06-14,16:37:47.30,U,aボタン
24,ando,fast,2022-06-14,16:37:47.33,D,kボタン
25,ando,fast,2022-06-14,16:37:47.44,U,kボタン
26,ando,fast,2022-06-14,16:37:47.50,D,iボタン
27,ando,fast,2022-06-14,16:37:47.57,U,iボタン
28,ando,fast,2022-06-14,16:37:47.66,D,kボタン
29,ando,fast,2022-06-14,16:37:47.74,D,aボタン
30,ando,fast,2022-06-14,16:37:47.76,U,kボタン
31,ando,fast,2022-06-14,16:37:47.82,D,iボタン
32,ando,fast,2022-06-14,16:37:47.87,U,aボタン
33,ando,fast,2022-06-14,16:37:47.90,U,iボタン
34,ando,fast,2022-06-14,16:37:48.03,D,tボタン
35,ando,fast,2022-06-14,16:37:48.09,D,aボタン
36,ando,fast,2022-06-14,16:37:48.15,U,tボタン
37,ando,fast,2022-06-14,16:37:48.19,D,iボタン
38,ando,fast,2022-06-14,16:37:48.21,U,aボタン
39,ando,fast,2022-06-14,16:37:48.28,U,iボタン
40,ando,fast,2022-06-14,16:37:48.31,D,sボタン
41,ando,fast,2022-06-14,16:37:48.38,D,oボタン
42,ando,fast,2022-06-14,16:37:48.47,D,uボタン
43,ando,fast,2022-06-14,16:37:48.49,U,sボタン
44,ando,fast,2022-06-14,16:37:48.55,U,uボタン
45,ando,fast,2022-06-14,16:37:48.57,U,oボタン
46,ando,fast,2022-06-14,16:37:48.65,D,nボタン
47,ando,fast,2022-06-14,16:37:48.71,D,oボタン
48,ando,fast,2022-06-14,16:37:48.78,U,nボタン
49,ando,fast,2022-06-14,16:37:48.82,U,oボタン
50,ando,fast,2022-06-14,16:37:48.84,D,sボタン
51,ando,fast,2022-06-14,16:37:48.88,D,eボタン
52,ando,fast,2022-06-14,16:37:48.96,D,nボタン
53,ando,fast,2022-06-14,16:37:49.01,U,eボタン
54,ando,fast,2022-06-14,16:37:49.03,U,sボタン
55,ando,fast,2022-06-14,16:37:49.15,U,nボタン
56,ando,fast,2022-06-14,16:37:49.21,D,sボタン
57,ando,fast,2022-06-14,16:37:49.30,D,yボタン
58,ando,fast,2022-06-14,16:37:49.34,D,uボタン
59,ando,fast,2022-06-14,16:37:49.41,U,sボタン
60,ando,fast,2022-06-14,16:37:49.45,U,yボタン
61,ando,fast,2022-06-14,16:37:49.49,U,uボタン
62,ando,fast,2022-06-14,16:37:50.13,D,nボタン
63,ando,fast,2022-06-14,16:37:50.17,D,iボタン
64,ando,fast,2022-06-14,16:37:50.24,U,nボタン
65,ando,fast,2022-06-14,16:37:50.30,U,iボタン
66,ando,fast,2022-06-14,16:37:50.34,D,hボタン
67,ando,fast,2022-06-14,16:37:50.43,D,aボタン
68,ando,fast,2022-06-14,16:37:50.45,U,hボタン
69,ando,fast,2022-06-14,16:37:50.55,U,aボタン
70,ando,fast,2022-06-14,16:37:50.84,D,mボタン
71,ando,fast,2022-06-14,16:37:50.87,D,aボタン
72,ando,fast,2022-06-14,16:37:50.95,U,mボタン
73,ando,fast,2022-06-14,16:37:51.00,U,aボタン
74,ando,fast,2022-06-14,16:37:51.10,D,tボタン
75,ando,fast,2022-06-14,16:37:51.13,D,aボタン
76,ando,fast,2022-06-14,16:37:51.22,U,tボタン
77,ando,fast,2022-06-14,16:37:51.30,U,aボタン
78,ando,fast,2022-06-14,16:37:51.65,D,tボタン
79,ando,fast,2022-06-14,16:37:51.71,D,oボタン
80,ando,fast,2022-06-14,16:37:51.75,U,tボタン
81,ando,fast,2022-06-14,16:37:51.81,U,oボタン
82,ando,fast,2022-06-14,16:37:52.15,D,nボタン
83,ando,fast,2022-06-14,16:37:52.20,D,aボタン
84,ando,fast,2022-06-14,16:37:52.23,U,nボタン
85,ando,fast,2022-06-14,16:37:52.30,D,iボタン
86,ando,fast,2022-06-14,16:37:52.34,U,aボタン
87,ando,fast,2022-06-14,16:37:52.37,U,iボタン
88,ando,fast,2022-06-14,16:37:52.47,D,kボタン
89,ando,fast,2022-06-14,16:37:52.54,U,kボタン
90,ando,fast,2022-06-14,16:37:52.60,D,iボタン
91,ando,fast,2022-06-14,16:37:52.66,U,iボタン
92,ando,fast,2022-06-14,16:37:52.75,D,kボタン
93,ando,fast,2022-06-14,16:37:52.83,U,kボタン
94,ando,fast,2022-06-14,16:37:52.85,D,aボタン
95,ando,fast,2022-06-14,16:37:52.90,D,iボタン
96,ando,fast,2022-06-14,16:37:52.97,U,aボタン
97,ando,fast,2022-06-14,16:37:53.01,U,iボタン
98,ando,fast,2022-06-14,16:37:53.13,D,dボタン
99,ando,fast,2022-06-14,16:37:53.18,D,aボタン
100,ando,fast,2022-06-14,16:37:53.31,U,dボタン
101,ando,fast,2022-06-14,16:37:53.35,U,aボタン
102,ando,fast,2022-06-14,16:37:53.56,D,Spaceボタン
103,ando,fast,2022-06-14,16:37:53.67,U,Spaceボタン
104,ando,fast,2022-06-14,16:37:56.18,D,OemPeriodボタン
105,ando,fast,2022-06-14,16:37:56.32,U,OemPeriodボタン
106,ando,fast,2022-06-14,16:37:56.73,D,Enterボタン
107,ando,fast,2022-06-14,16:37:56.88,U,Enterボタン
108,ando,fast,2022-06-14,16:37:57.07,D,Enterボタン
109,ando,fast,2022-06-14,16:37:57.17,U,Enterボタン
110,ando,fast,2022-06-14,16:37:57.74,D,oボタン
111,ando,fast,2022-06-14,16:37:57.86,U,oボタン
112,ando,fast,2022-06-14,16:37:57.96,D,rボタン
113,ando,fast,2022-06-14,16:37:58.03,D,iボタン
114,ando,fast,2022-06-14,16:37:58.06,U,rボタン
115,ando,fast,2022-06-14,16:37:58.10,U,iボタン
116,ando,fast,2022-06-14,16:37:58.18,D,nボタン
117,ando,fast,2022-06-14,16:37:58.23,U,nボタン
118,ando,fast,2022-06-14,16:37:58.28,D,nボタン
119,ando,fast,2022-06-14,16:37:58.37,U,nボタン
120,ando,fast,2022-06-14,16:37:58.42,D,pボタン
121,ando,fast,2022-06-14,16:37:58.58,U,pボタン
122,ando,fast,2022-06-14,16:37:58.65,D,iボタン
123,ando,fast,2022-06-14,16:37:58.79,U,iボタン
124,ando,fast,2022-06-14,16:37:58.90,D,kボタン
125,ando,fast,2022-06-14,16:37:58.99,U,kボタン
126,ando,fast,2022-06-14,16:37:59.05,D,kボタン
127,ando,fast,2022-06-14,16:37:59.14,D,uボタン
128,ando,fast,2022-06-14,16:37:59.22,U,kボタン
129,ando,fast,2022-06-14,16:37:59.25,U,uボタン
130,ando,fast,2022-06-14,16:37:59.34,D,aボタン
131,ando,fast,2022-06-14,16:37:59.36,D,hボタン
132,ando,fast,2022-06-14,16:37:59.43,U,hボタン
133,ando,fast,2022-06-14,16:37:59.50,U,aボタン
134,ando,fast,2022-06-14,16:37:59.59,D,kボタン
135,ando,fast,2022-06-14,16:37:59.73,U,kボタン
136,ando,fast,2022-06-14,16:38:00.16,D,Enterボタン
137,ando,fast,2022-06-14,16:38:00.25,U,Enterボタン
138,ando,fast,2022-06-14,16:38:00.33,D,Enterボタン
139,ando,fast,2022-06-14,16:38:00.40,U,Enterボタン
140,ando,fast,2022-06-14,16:38:00.55,D,oボタン
141,ando,fast,2022-06-14,16:38:00.66,U,oボタン
142,ando,fast,2022-06-14,16:38:00.71,D,rボタン
143,ando,fast,2022-06-14,16:38:00.78,D,iボタン
144,ando,fast,2022-06-14,16:38:00.81,U,rボタン
145,ando,fast,2022-06-14,16:38:00.83,U,iボタン
146,ando,fast,2022-06-14,16:38:00.91,D,nボタン
147,ando,fast,2022-06-14,16:38:00.98,U,nボタン
148,ando,fast,2022-06-14,16:38:01.01,D,nボタン
149,ando,fast,2022-06-14,16:38:01.09,U,nボタン
150,ando,fast,2022-06-14,16:38:01.30,D,oボタン
151,ando,fast,2022-06-14,16:38:01.36,U,oボタン
152,ando,fast,2022-06-14,16:38:02.34,D,Enterボタン
153,ando,fast,2022-06-14,16:38:02.43,U,Enterボタン
154,ando,fast,2022-06-14,16:38:02.54,D,Enterボタン
155,ando,fast,2022-06-14,16:38:02.64,U,Enterボタン
156,ando,fast,2022-06-14,16:38:03.00,D,pボタン
157,ando,fast,2022-06-14,16:38:03.08,U,pボタン
158,ando,fast,2022-06-14,16:38:03.39,D,rボタン
159,ando,fast,2022-06-14,16:38:03.44,D,iボタン
160,ando,fast,2022-06-14,16:38:03.51,U,rボタン
161,ando,fast,2022-06-14,16:38:03.52,U,iボタン
162,ando,fast,2022-06-14,16:38:03.58,D,nボタン
163,ando,fast,2022-06-14,16:38:03.65,U,nボタン
164,ando,fast,2022-06-14,16:38:03.69,D,nボタン
165,ando,fast,2022-06-14,16:38:03.81,U,nボタン
166,ando,fast,2022-06-14,16:38:03.88,D,pボタン
167,ando,fast,2022-06-14,16:38:03.99,U,pボタン
168,ando,fast,2022-06-14,16:38:04.36,D,Enterボタン
169,ando,fast,2022-06-14,16:38:04.44,U,Enterボタン
170,ando,fast,2022-06-14,16:38:04.88,D,Enterボタン
171,ando,fast,2022-06-14,16:38:04.96,U,Enterボタン
172,ando,fast,2022-06-14,16:38:05.38,D,oボタン
173,ando,fast,2022-06-14,16:38:05.47,U,oボタン
174,ando,fast,2022-06-14,16:38:05.57,D,rボタン
175,ando,fast,2022-06-14,16:38:05.62,D,iボタン
176,ando,fast,2022-06-14,16:38:05.69,U,iボタン
177,ando,fast,2022-06-14,16:38:05.71,U,rボタン
