,name,speed,date,time,operation,key
0,ando,normal,2022-06-14,16:34:44.45,D,oボタン
1,ando,normal,2022-06-14,16:34:44.58,U,oボタン
2,ando,normal,2022-06-14,16:34:44.65,D,rボタン
3,ando,normal,2022-06-14,16:34:44.72,D,iボタン
4,ando,normal,2022-06-14,16:34:44.76,U,rボタン
5,ando,normal,2022-06-14,16:34:44.80,U,iボタン
6,ando,normal,2022-06-14,16:34:44.92,D,nボタン
7,ando,normal,2022-06-14,16:34:44.99,U,nボタン
8,ando,normal,2022-06-14,16:34:45.04,D,nボタン
9,ando,normal,2022-06-14,16:34:45.18,U,nボタン
10,ando,normal,2022-06-14,16:34:45.25,D,pボタン
11,ando,normal,2022-06-14,16:34:45.37,U,pボタン
12,ando,normal,2022-06-14,16:34:45.48,D,iボタン
13,ando,normal,2022-06-14,16:34:45.55,U,iボタン
14,ando,normal,2022-06-14,16:34:45.73,D,kボタン
15,ando,normal,2022-06-14,16:34:45.80,U,kボタン
16,ando,normal,2022-06-14,16:34:45.87,D,kボタン
17,ando,normal,2022-06-14,16:34:45.96,D,uボタン
18,ando,normal,2022-06-14,16:34:46.04,U,kボタン
19,ando,normal,2022-06-14,16:34:46.06,U,uボタン
20,ando,normal,2022-06-14,16:34:46.17,D,hボタン
21,ando,normal,2022-06-14,16:34:46.25,D,aボタン
22,ando,normal,2022-06-14,16:34:46.30,U,hボタン
23,ando,normal,2022-06-14,16:34:46.34,D,Spaceボタン
24,ando,normal,2022-06-14,16:34:46.39,U,aボタン
25,ando,normal,2022-06-14,16:34:46.45,U,Spaceボタン
26,ando,normal,2022-06-14,16:34:46.51,D,kボタン
27,ando,normal,2022-06-14,16:34:46.64,U,kボタン
28,ando,normal,2022-06-14,16:34:46.71,D,iボタン
29,ando,normal,2022-06-14,16:34:46.79,U,iボタン
30,ando,normal,2022-06-14,16:34:46.90,D,kボタン
31,ando,normal,2022-06-14,16:34:46.97,D,aボタン
32,ando,normal,2022-06-14,16:34:46.99,U,kボタン
33,ando,normal,2022-06-14,16:34:47.05,D,iボタン
34,ando,normal,2022-06-14,16:34:47.10,U,aボタン
35,ando,normal,2022-06-14,16:34:47.15,U,iボタン
36,ando,normal,2022-06-14,16:34:47.32,D,tボタン
37,ando,normal,2022-06-14,16:34:47.35,D,aボタン
38,ando,normal,2022-06-14,16:34:47.43,U,tボタン
39,ando,normal,2022-06-14,16:34:47.49,U,aボタン
40,ando,normal,2022-06-14,16:34:47.54,D,iボタン
41,ando,normal,2022-06-14,16:34:47.64,U,iボタン
42,ando,normal,2022-06-14,16:34:47.69,D,sボタン
43,ando,normal,2022-06-14,16:34:47.75,D,oボタン
44,ando,normal,2022-06-14,16:34:47.85,D,uボタン
45,ando,normal,2022-06-14,16:34:47.87,U,sボタン
46,ando,normal,2022-06-14,16:34:47.95,U,uボタン
47,ando,normal,2022-06-14,16:34:47.97,U,oボタン
48,ando,normal,2022-06-14,16:34:48.05,D,nボタン
