,name,speed,date,time,operation,key
0,ando,slow,2022-06-14,16:31:21.64,D,oボタン
1,ando,slow,2022-06-14,16:31:21.75,U,oボタン
2,ando,slow,2022-06-14,16:31:21.89,D,rボタン
3,ando,slow,2022-06-14,16:31:21.99,D,iボタン
4,ando,slow,2022-06-14,16:31:22.01,U,rボタン
5,ando,slow,2022-06-14,16:31:22.08,U,iボタン
6,ando,slow,2022-06-14,16:31:22.30,D,nボタン
7,ando,slow,2022-06-14,16:31:22.37,U,nボタン
8,ando,slow,2022-06-14,16:31:22.41,D,nボタン
9,ando,slow,2022-06-14,16:31:22.52,U,nボタン
10,ando,slow,2022-06-14,16:31:22.75,D,pボタン
11,ando,slow,2022-06-14,16:31:22.87,U,pボタン
12,ando,slow,2022-06-14,16:31:23.08,D,iボタン
13,ando,slow,2022-06-14,16:31:23.14,U,iボタン
14,ando,slow,2022-06-14,16:31:23.31,D,kボタン
15,ando,slow,2022-06-14,16:31:23.41,U,kボタン
16,ando,slow,2022-06-14,16:31:23.46,D,kボタン
17,ando,slow,2022-06-14,16:31:23.60,D,uボタン
18,ando,slow,2022-06-14,16:31:23.67,U,kボタン
19,ando,slow,2022-06-14,16:31:23.73,U,uボタン
20,ando,slow,2022-06-14,16:31:23.96,D,hボタン
21,ando,slow,2022-06-14,16:31:24.04,D,aボタン
22,ando,slow,2022-06-14,16:31:24.07,U,hボタン
23,ando,slow,2022-06-14,16:31:24.20,U,aボタン
24,ando,slow,2022-06-14,16:31:24.69,D,Spaceボタン
25,ando,slow,2022-06-14,16:31:24.82,U,Spaceボタン
26,ando,slow,2022-06-14,16:31:25.01,D,kボタン
27,ando,slow,2022-06-14,16:31:25.12,U,kボタン
28,ando,slow,2022-06-14,16:31:25.27,D,iボタン
29,ando,slow,2022-06-14,16:31:25.38,U,iボタン
30,ando,slow,2022-06-14,16:31:25.63,D,kボタン
31,ando,slow,2022-06-14,16:31:25.75,U,kボタン
32,ando,slow,2022-06-14,16:31:25.78,D,aボタン
33,ando,slow,2022-06-14,16:31:25.86,D,iボタン
34,ando,slow,2022-06-14,16:31:25.88,U,aボタン
35,ando,slow,2022-06-14,16:31:25.98,U,iボタン
36,ando,slow,2022-06-14,16:31:26.38,D,tボタン
37,ando,slow,2022-06-14,16:31:26.49,D,aボタン
38,ando,slow,2022-06-14,16:31:26.56,U,tボタン
39,ando,slow,2022-06-14,16:31:26.65,U,aボタン
40,ando,slow,2022-06-14,16:31:26.93,D,iボタン
41,ando,slow,2022-06-14,16:31:27.01,U,iボタン
42,ando,slow,2022-06-14,16:31:27.11,D,sボタン
43,ando,slow,2022-06-14,16:31:27.20,D,oボタン
44,ando,slow,2022-06-14,16:31:27.28,U,sボタン
45,ando,slow,2022-06-14,16:31:27.30,D,uボタン
46,ando,slow,2022-06-14,16:31:27.40,U,uボタン
47,ando,slow,2022-06-14,16:31:27.44,U,oボタン
48,ando,slow,2022-06-14,16:31:27.66,D,nボタン
49,ando,slow,2022-06-14,16:31:27.73,D,oボタン
50,ando,slow,2022-06-14,16:31:27.86,U,nボタン
51,ando,slow,2022-06-14,16:31:27.94,U,oボタン
52,ando,slow,2022-06-14,16:31:28.12,D,Spaceボタン
53,ando,slow,2022-06-14,16:31:28.28,U,Spaceボタン
54,ando,slow,2022-06-14,16:31:28.62,D,sボタン
55,ando,slow,2022-06-14,16:31:28.68,D,eボタン
56,ando,slow,2022-06-14,16:31:28.83,U,eボタン
57,ando,slow,2022-06-14,16:31:28.85,U,sボタン
58,ando,slow,2022-06-14,16:31:29.18,D,nボタン
59,ando,slow,2022-06-14,16:31:29.26,U,nボタン
60,ando,slow,2022-06-14,16:31:29.31,D,nボタン
61,ando,slow,2022-06-14,16:31:29.39,U,nボタン
62,ando,slow,2022-06-14,16:31:29.58,D,sボタン
63,ando,slow,2022-06-14,16:31:29.71,D,yボタン
64,ando,slow,2022-06-14,16:31:29.74,D,uボタン
65,ando,slow,2022-06-14,16:31:29.80,U,sボタン
66,ando,slow,2022-06-14,16:31:29.83,U,yボタン
67,ando,slow,2022-06-14,16:31:29.89,U,uボタン
68,ando,slow,2022-06-14,16:31:30.34,D,nボタン
69,ando,slow,2022-06-14,16:31:30.40,D,iボタン
70,ando,slow,2022-06-14,16:31:30.48,U,nボタン
71,ando,slow,2022-06-14,16:31:30.54,U,iボタン
72,ando,slow,2022-06-14,16:31:30.65,D,hボタン
73,ando,slow,2022-06-14,16:31:30.76,D,aボタン
74,ando,slow,2022-06-14,16:31:30.79,U,hボタン
75,ando,slow,2022-06-14,16:31:30.92,U,aボタン
76,ando,slow,2022-06-14,16:31:31.17,D,Spaceボタン
77,ando,slow,2022-06-14,16:31:31.27,U,Spaceボタン
78,ando,slow,2022-06-14,16:31:31.61,D,mボタン
79,ando,slow,2022-06-14,16:31:31.67,D,aボタン
80,ando,slow,2022-06-14,16:31:31.72,U,mボタン
81,ando,slow,2022-06-14,16:31:31.80,U,aボタン
82,ando,slow,2022-06-14,16:31:32.04,D,tボタン
83,ando,slow,2022-06-14,16:31:32.12,D,aボタン
84,ando,slow,2022-06-14,16:31:32.19,U,tボタン
85,ando,slow,2022-06-14,16:31:32.26,U,aボタン
86,ando,slow,2022-06-14,16:31:32.54,D,tボタン
87,ando,slow,2022-06-14,16:31:32.61,D,oボタン
88,ando,slow,2022-06-14,16:31:32.63,U,tボタン
89,ando,slow,2022-06-14,16:31:32.72,U,oボタン
90,ando,slow,2022-06-14,16:31:32.95,D,nボタン
91,ando,slow,2022-06-14,16:31:33.01,D,aボタン
92,ando,slow,2022-06-14,16:31:33.05,U,nボタン
93,ando,slow,2022-06-14,16:31:33.15,U,aボタン
94,ando,slow,2022-06-14,16:31:33.33,D,iボタン
95,ando,slow,2022-06-14,16:31:33.43,U,iボタン
96,ando,slow,2022-06-14,16:31:33.82,D,Enterボタン
97,ando,slow,2022-06-14,16:31:33.91,U,Enterボタン
98,ando,slow,2022-06-14,16:31:34.19,D,kボタン
99,ando,slow,2022-06-14,16:31:34.33,U,kボタン
100,ando,slow,2022-06-14,16:31:34.44,D,iボタン
101,ando,slow,2022-06-14,16:31:34.55,U,iボタン
102,ando,slow,2022-06-14,16:31:34.70,D,kボタン
103,ando,slow,2022-06-14,16:31:34.83,D,aボタン
104,ando,slow,2022-06-14,16:31:34.85,U,kボタン
105,ando,slow,2022-06-14,16:31:35.00,U,aボタン
106,ando,slow,2022-06-14,16:31:35.16,D,iボタン
107,ando,slow,2022-06-14,16:31:35.28,U,iボタン
108,ando,slow,2022-06-14,16:31:35.56,D,dボタン
109,ando,slow,2022-06-14,16:31:35.59,D,aボタン
110,ando,slow,2022-06-14,16:31:35.71,U,dボタン
111,ando,slow,2022-06-14,16:31:35.73,U,aボタン
112,ando,slow,2022-06-14,16:31:35.94,D,Spaceボタン
113,ando,slow,2022-06-14,16:31:36.06,U,Spaceボタン
114,ando,slow,2022-06-14,16:31:36.46,D,OemPeriodボタン
115,ando,slow,2022-06-14,16:31:36.59,U,OemPeriodボタン
116,ando,slow,2022-06-14,16:31:36.83,D,Enterボタン
117,ando,slow,2022-06-14,16:31:36.93,U,Enterボタン
118,ando,slow,2022-06-14,16:31:37.17,D,Enterボタン
119,ando,slow,2022-06-14,16:31:37.26,U,Enterボタン
120,ando,slow,2022-06-14,16:31:37.68,D,oボタン
121,ando,slow,2022-06-14,16:31:37.79,U,oボタン
122,ando,slow,2022-06-14,16:31:37.92,D,rボタン
123,ando,slow,2022-06-14,16:31:38.01,D,iボタン
124,ando,slow,2022-06-14,16:31:38.04,U,rボタン
125,ando,slow,2022-06-14,16:31:38.09,U,iボタン
126,ando,slow,2022-06-14,16:31:38.32,D,nボタン
127,ando,slow,2022-06-14,16:31:38.38,U,nボタン
128,ando,slow,2022-06-14,16:31:38.44,D,nボタン
129,ando,slow,2022-06-14,16:31:38.54,U,nボタン
130,ando,slow,2022-06-14,16:31:38.99,D,pボタン
131,ando,slow,2022-06-14,16:31:39.06,U,pボタン
132,ando,slow,2022-06-14,16:31:39.31,D,iボタン
133,ando,slow,2022-06-14,16:31:39.38,U,iボタン
134,ando,slow,2022-06-14,16:31:39.92,D,kボタン
135,ando,slow,2022-06-14,16:31:40.01,U,kボタン
136,ando,slow,2022-06-14,16:31:40.71,D,kボタン
137,ando,slow,2022-06-14,16:31:40.84,U,kボタン
138,ando,slow,2022-06-14,16:31:41.02,D,uボタン
139,ando,slow,2022-06-14,16:31:41.14,U,uボタン
140,ando,slow,2022-06-14,16:31:41.53,D,Spaceボタン
141,ando,slow,2022-06-14,16:31:41.62,U,Spaceボタン
142,ando,slow,2022-06-14,16:31:41.88,D,hボタン
143,ando,slow,2022-06-14,16:31:41.97,D,aボタン
144,ando,slow,2022-06-14,16:31:42.02,U,hボタン
145,ando,slow,2022-06-14,16:31:42.11,U,aボタン
146,ando,slow,2022-06-14,16:31:42.28,D,Enterボタン
147,ando,slow,2022-06-14,16:31:42.38,U,Enterボタン
148,ando,slow,2022-06-14,16:31:42.68,D,kボタン
149,ando,slow,2022-06-14,16:31:42.79,U,kボタン
150,ando,slow,2022-06-14,16:31:42.87,D,iボタン
151,ando,slow,2022-06-14,16:31:42.95,U,iボタン
152,ando,slow,2022-06-14,16:31:43.08,D,kボタン
153,ando,slow,2022-06-14,16:31:43.19,U,kボタン
154,ando,slow,2022-06-14,16:31:43.21,D,aボタン
155,ando,slow,2022-06-14,16:31:43.32,U,aボタン
156,ando,slow,2022-06-14,16:31:43.35,D,iボタン
157,ando,slow,2022-06-14,16:31:43.50,U,iボタン
158,ando,slow,2022-06-14,16:31:44.14,D,tボタン
159,ando,slow,2022-06-14,16:31:44.19,D,aボタン
160,ando,slow,2022-06-14,16:31:44.25,U,tボタン
161,ando,slow,2022-06-14,16:31:44.33,U,aボタン
162,ando,slow,2022-06-14,16:31:44.44,D,iボタン
163,ando,slow,2022-06-14,16:31:44.54,U,iボタン
164,ando,slow,2022-06-14,16:31:44.75,D,sボタン
165,ando,slow,2022-06-14,16:31:44.87,D,oボタン
166,ando,slow,2022-06-14,16:31:44.92,U,sボタン
167,ando,slow,2022-06-14,16:31:44.99,D,uボタン
168,ando,slow,2022-06-14,16:31:45.11,U,uボタン
169,ando,slow,2022-06-14,16:31:45.15,U,oボタン
170,ando,slow,2022-06-14,16:31:45.44,D,nボタン
171,ando,slow,2022-06-14,16:31:45.57,D,oボタン
172,ando,slow,2022-06-14,16:31:45.64,U,nボタン
173,ando,slow,2022-06-14,16:31:45.74,U,oボタン
174,ando,slow,2022-06-14,16:31:45.94,D,Spaceボタン
175,ando,slow,2022-06-14,16:31:46.05,U,Spaceボタン
176,ando,slow,2022-06-14,16:31:46.46,D,sボタン
177,ando,slow,2022-06-14,16:31:46.51,D,eボタン
178,ando,slow,2022-06-14,16:31:46.67,U,eボタン
179,ando,slow,2022-06-14,16:31:46.69,U,sボタン
180,ando,slow,2022-06-14,16:31:46.76,D,nボタン
181,ando,slow,2022-06-14,16:31:46.84,U,nボタン
182,ando,slow,2022-06-14,16:31:46.89,D,nボタン
183,ando,slow,2022-06-14,16:31:47.01,U,nボタン
184,ando,slow,2022-06-14,16:31:47.22,D,sボタン
185,ando,slow,2022-06-14,16:31:47.34,D,yボタン
