,name,speed,date,time,operation,key
0,hasimoto,fast,2022-06-16,17:45:50.61,D,oボタン
1,hasimoto,fast,2022-06-16,17:45:50.70,U,oボタン
2,hasimoto,fast,2022-06-16,17:45:50.78,D,rボタン
3,hasimoto,fast,2022-06-16,17:45:50.85,D,iボタン
4,hasimoto,fast,2022-06-16,17:45:50.91,U,rボタン
5,hasimoto,fast,2022-06-16,17:45:50.93,U,iボタン
6,hasimoto,fast,2022-06-16,17:45:51.00,D,nボタン
7,hasimoto,fast,2022-06-16,17:45:51.06,U,nボタン
8,hasimoto,fast,2022-06-16,17:45:51.13,D,nボタン
9,hasimoto,fast,2022-06-16,17:45:51.21,U,nボタン
10,hasimoto,fast,2022-06-16,17:45:51.25,D,pボタン
11,hasimoto,fast,2022-06-16,17:45:51.34,U,pボタン
12,hasimoto,fast,2022-06-16,17:45:51.39,D,iボタン
13,hasimoto,fast,2022-06-16,17:45:51.46,U,iボタン
14,hasimoto,fast,2022-06-16,17:45:51.57,D,kボタン
15,hasimoto,fast,2022-06-16,17:45:51.63,U,kボタン
16,hasimoto,fast,2022-06-16,17:45:51.69,D,kボタン
17,hasimoto,fast,2022-06-16,17:45:51.75,U,kボタン
18,hasimoto,fast,2022-06-16,17:45:51.82,D,uボタン
19,hasimoto,fast,2022-06-16,17:45:51.89,U,uボタン
20,hasimoto,fast,2022-06-16,17:45:51.96,D,hボタン
21,hasimoto,fast,2022-06-16,17:45:52.04,U,hボタン
22,hasimoto,fast,2022-06-16,17:45:52.06,D,aボタン
23,hasimoto,fast,2022-06-16,17:45:52.16,D,Spaceボタン
24,hasimoto,fast,2022-06-16,17:45:52.18,U,aボタン
25,hasimoto,fast,2022-06-16,17:45:52.25,U,Spaceボタン
26,hasimoto,fast,2022-06-16,17:45:52.44,D,Enterボタン
27,hasimoto,fast,2022-06-16,17:45:52.52,U,Enterボタン
28,hasimoto,fast,2022-06-16,17:45:52.91,D,kボタン
29,hasimoto,fast,2022-06-16,17:45:53.02,U,kボタン
30,hasimoto,fast,2022-06-16,17:45:53.10,D,iボタン
31,hasimoto,fast,2022-06-16,17:45:53.16,U,iボタン
32,hasimoto,fast,2022-06-16,17:45:53.24,D,kボタン
33,hasimoto,fast,2022-06-16,17:45:53.34,U,kボタン
34,hasimoto,fast,2022-06-16,17:45:53.36,D,aボタン
35,hasimoto,fast,2022-06-16,17:45:53.48,D,iボタン
36,hasimoto,fast,2022-06-16,17:45:53.49,U,aボタン
37,hasimoto,fast,2022-06-16,17:45:53.56,U,iボタン
38,hasimoto,fast,2022-06-16,17:45:53.64,D,tボタン
39,hasimoto,fast,2022-06-16,17:45:53.73,D,aボタン
40,hasimoto,fast,2022-06-16,17:45:53.81,U,tボタン
41,hasimoto,fast,2022-06-16,17:45:53.88,D,iボタン
42,hasimoto,fast,2022-06-16,17:45:53.90,U,aボタン
43,hasimoto,fast,2022-06-16,17:45:53.96,U,iボタン
44,hasimoto,fast,2022-06-16,17:45:53.99,D,sボタン
45,hasimoto,fast,2022-06-16,17:45:54.07,D,oボタン
46,hasimoto,fast,2022-06-16,17:45:54.11,U,sボタン
47,hasimoto,fast,2022-06-16,17:45:54.15,U,oボタン
48,hasimoto,fast,2022-06-16,17:45:54.21,D,uボタン
49,hasimoto,fast,2022-06-16,17:45:54.27,U,uボタン
50,hasimoto,fast,2022-06-16,17:45:54.35,D,nボタン
51,hasimoto,fast,2022-06-16,17:45:54.43,U,nボタン
52,hasimoto,fast,2022-06-16,17:45:54.45,D,oボタン
53,hasimoto,fast,2022-06-16,17:45:54.52,U,oボタン
54,hasimoto,fast,2022-06-16,17:45:54.57,D,Spaceボタン
55,hasimoto,fast,2022-06-16,17:45:54.65,U,Spaceボタン
56,hasimoto,fast,2022-06-16,17:45:54.79,D,Enterボタン
57,hasimoto,fast,2022-06-16,17:45:54.87,U,Enterボタン
58,hasimoto,fast,2022-06-16,17:45:55.09,D,sボタン
59,hasimoto,fast,2022-06-16,17:45:55.20,U,sボタン
60,hasimoto,fast,2022-06-16,17:45:55.26,D,eボタン
61,hasimoto,fast,2022-06-16,17:45:55.39,U,eボタン
62,hasimoto,fast,2022-06-16,17:45:55.41,D,nボタン
63,hasimoto,fast,2022-06-16,17:45:55.47,U,nボタン
64,hasimoto,fast,2022-06-16,17:45:55.52,D,nボタン
65,hasimoto,fast,2022-06-16,17:45:55.60,D,sボタン
66,hasimoto,fast,2022-06-16,17:45:55.63,U,nボタン
67,hasimoto,fast,2022-06-16,17:45:55.72,U,sボタン
68,hasimoto,fast,2022-06-16,17:45:55.74,D,yボタン
69,hasimoto,fast,2022-06-16,17:45:55.81,U,yボタン
70,hasimoto,fast,2022-06-16,17:45:55.88,D,uボタン
71,hasimoto,fast,2022-06-16,17:45:55.95,U,uボタン
72,hasimoto,fast,2022-06-16,17:45:56.04,D,nボタン
73,hasimoto,fast,2022-06-16,17:45:56.12,U,nボタン
74,hasimoto,fast,2022-06-16,17:45:56.16,D,iボタン
75,hasimoto,fast,2022-06-16,17:45:56.22,U,iボタン
76,hasimoto,fast,2022-06-16,17:45:56.27,D,hボタン
77,hasimoto,fast,2022-06-16,17:45:56.35,U,hボタン
78,hasimoto,fast,2022-06-16,17:45:56.38,D,aボタン
79,hasimoto,fast,2022-06-16,17:45:56.49,U,aボタン
80,hasimoto,fast,2022-06-16,17:45:56.51,D,Spaceボタン
81,hasimoto,fast,2022-06-16,17:45:56.57,U,Spaceボタン
82,hasimoto,fast,2022-06-16,17:45:56.79,D,Enterボタン
83,hasimoto,fast,2022-06-16,17:45:56.86,U,Enterボタン
84,hasimoto,fast,2022-06-16,17:45:57.23,D,mボタン
85,hasimoto,fast,2022-06-16,17:45:57.32,U,mボタン
86,hasimoto,fast,2022-06-16,17:45:57.33,D,aボタン
87,hasimoto,fast,2022-06-16,17:45:57.42,U,aボタン
88,hasimoto,fast,2022-06-16,17:45:57.51,D,tボタン
89,hasimoto,fast,2022-06-16,17:45:57.57,D,aボタン
90,hasimoto,fast,2022-06-16,17:45:57.63,U,tボタン
91,hasimoto,fast,2022-06-16,17:45:57.70,U,aボタン
92,hasimoto,fast,2022-06-16,17:45:57.76,D,tボタン
93,hasimoto,fast,2022-06-16,17:45:57.84,D,oボタン
94,hasimoto,fast,2022-06-16,17:45:57.90,U,tボタン
95,hasimoto,fast,2022-06-16,17:45:57.92,U,oボタン
96,hasimoto,fast,2022-06-16,17:45:57.95,D,nボタン
97,hasimoto,fast,2022-06-16,17:45:58.02,U,nボタン
98,hasimoto,fast,2022-06-16,17:45:58.07,D,aボタン
99,hasimoto,fast,2022-06-16,17:45:58.15,D,iボタン
100,hasimoto,fast,2022-06-16,17:45:58.17,U,aボタン
101,hasimoto,fast,2022-06-16,17:45:58.22,U,iボタン
102,hasimoto,fast,2022-06-16,17:45:58.42,D,Enterボタン
103,hasimoto,fast,2022-06-16,17:45:58.50,U,Enterボタン
104,hasimoto,fast,2022-06-16,17:45:58.84,D,kボタン
105,hasimoto,fast,2022-06-16,17:45:58.94,U,kボタン
106,hasimoto,fast,2022-06-16,17:45:59.02,D,iボタン
107,hasimoto,fast,2022-06-16,17:45:59.08,U,iボタン
108,hasimoto,fast,2022-06-16,17:45:59.18,D,kボタン
109,hasimoto,fast,2022-06-16,17:45:59.27,U,kボタン
110,hasimoto,fast,2022-06-16,17:45:59.30,D,aボタン
111,hasimoto,fast,2022-06-16,17:45:59.41,D,iボタン
112,hasimoto,fast,2022-06-16,17:45:59.42,U,aボタン
113,hasimoto,fast,2022-06-16,17:45:59.50,U,iボタン
114,hasimoto,fast,2022-06-16,17:45:59.59,D,dボタン
115,hasimoto,fast,2022-06-16,17:45:59.65,D,aボタン
116,hasimoto,fast,2022-06-16,17:45:59.72,U,dボタン
117,hasimoto,fast,2022-06-16,17:45:59.78,U,aボタン
