,name,speed,date,time,operation,key
0,hasimoto,normal,2022-06-16,17:36:31.63,D,oボタン
1,hasimoto,normal,2022-06-16,17:36:31.73,U,oボタン
2,hasimoto,normal,2022-06-16,17:36:31.84,D,rボタン
3,hasimoto,normal,2022-06-16,17:36:31.96,D,iボタン
4,hasimoto,normal,2022-06-16,17:36:31.98,U,rボタン
5,hasimoto,normal,2022-06-16,17:36:32.03,U,iボタン
6,hasimoto,normal,2022-06-16,17:36:32.20,D,nボタン
7,hasimoto,normal,2022-06-16,17:36:32.26,U,nボタン
8,hasimoto,normal,2022-06-16,17:36:32.33,D,nボタン
9,hasimoto,normal,2022-06-16,17:36:32.41,U,nボタン
10,hasimoto,normal,2022-06-16,17:36:32.51,D,pボタン
11,hasimoto,normal,2022-06-16,17:36:32.61,U,pボタン
12,hasimoto,normal,2022-06-16,17:36:32.72,D,iボタン
13,hasimoto,normal,2022-06-16,17:36:32.81,U,iボタン
14,hasimoto,normal,2022-06-16,17:36:32.95,D,kボタン
15,hasimoto,normal,2022-06-16,17:36:33.01,U,kボタン
16,hasimoto,normal,2022-06-16,17:36:33.09,D,kボタン
17,hasimoto,normal,2022-06-16,17:36:33.17,U,kボタン
18,hasimoto,normal,2022-06-16,17:36:33.30,D,uボタン
19,hasimoto,normal,2022-06-16,17:36:33.38,U,uボタン
20,hasimoto,normal,2022-06-16,17:36:33.52,D,hボタン
21,hasimoto,normal,2022-06-16,17:36:33.61,U,hボタン
22,hasimoto,normal,2022-06-16,17:36:33.65,D,aボタン
23,hasimoto,normal,2022-06-16,17:36:33.76,U,aボタン
24,hasimoto,normal,2022-06-16,17:36:33.80,D,Spaceボタン
25,hasimoto,normal,2022-06-16,17:36:33.89,U,Spaceボタン
26,hasimoto,normal,2022-06-16,17:36:34.11,D,Enterボタン
27,hasimoto,normal,2022-06-16,17:36:34.20,U,Enterボタン
28,hasimoto,normal,2022-06-16,17:36:34.71,D,kボタン
29,hasimoto,normal,2022-06-16,17:36:34.79,U,kボタン
30,hasimoto,normal,2022-06-16,17:36:34.88,D,iボタン
31,hasimoto,normal,2022-06-16,17:36:34.95,U,iボタン
32,hasimoto,normal,2022-06-16,17:36:35.05,D,kボタン
33,hasimoto,normal,2022-06-16,17:36:35.13,U,kボタン
34,hasimoto,normal,2022-06-16,17:36:35.16,D,aボタン
35,hasimoto,normal,2022-06-16,17:36:35.27,U,aボタン
36,hasimoto,normal,2022-06-16,17:36:35.30,D,iボタン
37,hasimoto,normal,2022-06-16,17:36:35.40,U,iボタン
38,hasimoto,normal,2022-06-16,17:36:35.52,D,tボタン
39,hasimoto,normal,2022-06-16,17:36:35.61,D,aボタン
40,hasimoto,normal,2022-06-16,17:36:35.67,U,tボタン
41,hasimoto,normal,2022-06-16,17:36:35.74,U,aボタン
42,hasimoto,normal,2022-06-16,17:36:35.77,D,iボタン
43,hasimoto,normal,2022-06-16,17:36:35.86,U,iボタン
44,hasimoto,normal,2022-06-16,17:36:35.92,D,sボタン
45,hasimoto,normal,2022-06-16,17:36:36.02,D,oボタン
46,hasimoto,normal,2022-06-16,17:36:36.04,U,sボタン
47,hasimoto,normal,2022-06-16,17:36:36.10,U,oボタン
48,hasimoto,normal,2022-06-16,17:36:36.18,D,uボタン
49,hasimoto,normal,2022-06-16,17:36:36.25,U,uボタン
50,hasimoto,normal,2022-06-16,17:36:36.36,D,nボタン
51,hasimoto,normal,2022-06-16,17:36:36.44,U,nボタン
52,hasimoto,normal,2022-06-16,17:36:36.50,D,oボタン
53,hasimoto,normal,2022-06-16,17:36:36.56,U,oボタン
54,hasimoto,normal,2022-06-16,17:36:36.64,D,Spaceボタン
55,hasimoto,normal,2022-06-16,17:36:36.74,U,Spaceボタン
56,hasimoto,normal,2022-06-16,17:36:36.92,D,Enterボタン
57,hasimoto,normal,2022-06-16,17:36:37.00,U,Enterボタン
58,hasimoto,normal,2022-06-16,17:36:37.21,D,sボタン
59,hasimoto,normal,2022-06-16,17:36:37.33,U,sボタン
60,hasimoto,normal,2022-06-16,17:36:37.40,D,eボタン
61,hasimoto,normal,2022-06-16,17:36:37.52,U,eボタン
62,hasimoto,normal,2022-06-16,17:36:37.57,D,nボタン
63,hasimoto,normal,2022-06-16,17:36:37.64,U,nボタン
64,hasimoto,normal,2022-06-16,17:36:37.70,D,nボタン
65,hasimoto,normal,2022-06-16,17:36:37.78,U,nボタン
66,hasimoto,normal,2022-06-16,17:36:37.82,D,sボタン
67,hasimoto,normal,2022-06-16,17:36:37.93,U,sボタン
68,hasimoto,normal,2022-06-16,17:36:37.98,D,yボタン
69,hasimoto,normal,2022-06-16,17:36:38.07,U,yボタン
70,hasimoto,normal,2022-06-16,17:36:38.16,D,uボタン
71,hasimoto,normal,2022-06-16,17:36:38.24,U,uボタン
72,hasimoto,normal,2022-06-16,17:36:38.37,D,nボタン
73,hasimoto,normal,2022-06-16,17:36:38.45,U,nボタン
74,hasimoto,normal,2022-06-16,17:36:38.49,D,iボタン
75,hasimoto,normal,2022-06-16,17:36:38.56,U,iボタン
76,hasimoto,normal,2022-06-16,17:36:38.64,D,hボタン
