,name,speed,date,time,operation,key
0,hasimoto,slow,2022-06-16,17:27:50.71,D,Enterボタン
1,hasimoto,slow,2022-06-16,17:27:50.80,U,Enterボタン
2,hasimoto,slow,2022-06-16,17:28:33.06,D,yボタン
3,hasimoto,slow,2022-06-16,17:28:33.15,U,yボタン
4,hasimoto,slow,2022-06-16,17:28:33.29,D,uボタン
5,hasimoto,slow,2022-06-16,17:28:33.38,U,uボタン
6,hasimoto,slow,2022-06-16,17:28:33.60,D,kボタン
7,hasimoto,slow,2022-06-16,17:28:33.67,U,kボタン
8,hasimoto,slow,2022-06-16,17:28:33.77,D,kボタン
9,hasimoto,slow,2022-06-16,17:28:33.85,U,kボタン
10,hasimoto,slow,2022-06-16,17:28:34.02,D,uボタン
11,hasimoto,slow,2022-06-16,17:28:34.10,U,uボタン
12,hasimoto,slow,2022-06-16,17:28:35.42,D,Backボタン
13,hasimoto,slow,2022-06-16,17:28:35.49,U,Backボタン
14,hasimoto,slow,2022-06-16,17:28:36.00,D,Enterボタン
15,hasimoto,slow,2022-06-16,17:28:36.12,U,Enterボタン
16,hasimoto,slow,2022-06-16,17:28:36.87,D,Enterボタン
17,hasimoto,slow,2022-06-16,17:28:37.01,U,Enterボタン
18,hasimoto,slow,2022-06-16,17:28:39.00,D,oボタン
19,hasimoto,slow,2022-06-16,17:28:39.10,U,oボタン
20,hasimoto,slow,2022-06-16,17:28:39.26,D,rボタン
21,hasimoto,slow,2022-06-16,17:28:39.40,D,iボタン
22,hasimoto,slow,2022-06-16,17:28:39.42,U,rボタン
23,hasimoto,slow,2022-06-16,17:28:39.48,U,iボタン
24,hasimoto,slow,2022-06-16,17:28:39.62,D,nボタン
25,hasimoto,slow,2022-06-16,17:28:39.69,U,nボタン
26,hasimoto,slow,2022-06-16,17:28:39.76,D,nボタン
27,hasimoto,slow,2022-06-16,17:28:39.83,U,nボタン
28,hasimoto,slow,2022-06-16,17:28:39.94,D,pボタン
29,hasimoto,slow,2022-06-16,17:28:40.04,U,pボタン
30,hasimoto,slow,2022-06-16,17:28:40.16,D,iボタン
31,hasimoto,slow,2022-06-16,17:28:40.26,U,iボタン
32,hasimoto,slow,2022-06-16,17:28:40.42,D,kボタン
33,hasimoto,slow,2022-06-16,17:28:40.47,U,kボタン
34,hasimoto,slow,2022-06-16,17:28:40.55,D,kボタン
35,hasimoto,slow,2022-06-16,17:28:40.63,U,kボタン
36,hasimoto,slow,2022-06-16,17:28:40.78,D,uボタン
37,hasimoto,slow,2022-06-16,17:28:40.87,U,uボタン
38,hasimoto,slow,2022-06-16,17:28:41.03,D,hボタン
39,hasimoto,slow,2022-06-16,17:28:41.10,U,hボタン
40,hasimoto,slow,2022-06-16,17:28:41.25,D,aボタン
41,hasimoto,slow,2022-06-16,17:28:41.36,U,aボタン
42,hasimoto,slow,2022-06-16,17:28:41.63,D,Spaceボタン
43,hasimoto,slow,2022-06-16,17:28:41.72,U,Spaceボタン
44,hasimoto,slow,2022-06-16,17:28:42.28,D,Enterボタン
