,name,speed,date,time,operation,key
0,kasahara,fast,2022-06-15,19:16:52.70,D,Enterボタン
1,kasahara,fast,2022-06-15,19:16:52.77,U,Enterボタン
2,kasahara,fast,2022-06-15,19:16:53.32,D,Enterボタン
3,kasahara,fast,2022-06-15,19:16:53.40,U,Enterボタン
4,kasahara,fast,2022-06-15,19:17:03.84,D,oボタン
5,kasahara,fast,2022-06-15,19:17:03.95,U,oボタン
6,kasahara,fast,2022-06-15,19:17:04.83,D,rボタン
7,kasahara,fast,2022-06-15,19:17:04.93,U,rボタン
8,kasahara,fast,2022-06-15,19:17:04.96,D,iボタン
9,kasahara,fast,2022-06-15,19:17:05.06,U,iボタン
10,kasahara,fast,2022-06-15,19:17:05.09,D,nボタン
11,kasahara,fast,2022-06-15,19:17:05.21,U,nボタン
12,kasahara,fast,2022-06-15,19:17:05.46,D,pボタン
13,kasahara,fast,2022-06-15,19:17:05.57,D,iボタン
14,kasahara,fast,2022-06-15,19:17:05.62,U,pボタン
15,kasahara,fast,2022-06-15,19:17:05.69,U,iボタン
16,kasahara,fast,2022-06-15,19:17:05.86,D,kボタン
17,kasahara,fast,2022-06-15,19:17:05.92,U,kボタン
18,kasahara,fast,2022-06-15,19:17:05.99,D,kボタン
19,kasahara,fast,2022-06-15,19:17:06.10,D,uボタン
20,kasahara,fast,2022-06-15,19:17:06.12,U,kボタン
21,kasahara,fast,2022-06-15,19:17:06.23,U,uボタン
22,kasahara,fast,2022-06-15,19:17:06.36,D,hボタン
23,kasahara,fast,2022-06-15,19:17:06.47,U,hボタン
24,kasahara,fast,2022-06-15,19:17:06.52,D,aボタン
25,kasahara,fast,2022-06-15,19:17:06.62,U,aボタン
26,kasahara,fast,2022-06-15,19:17:09.03,D,Enterボタン
27,kasahara,fast,2022-06-15,19:17:09.16,U,Enterボタン
28,kasahara,fast,2022-06-15,19:17:12.98,D,Enterボタン
29,kasahara,fast,2022-06-15,19:17:13.12,U,Enterボタン
30,kasahara,fast,2022-06-15,19:17:13.79,D,Upボタン
31,kasahara,fast,2022-06-15,19:17:13.90,U,Upボタン
32,kasahara,fast,2022-06-15,19:17:14.57,D,oボタン
33,kasahara,fast,2022-06-15,19:17:14.67,U,oボタン
34,kasahara,fast,2022-06-15,19:17:15.09,D,rボタン
35,kasahara,fast,2022-06-15,19:17:15.14,D,iボタン
36,kasahara,fast,2022-06-15,19:17:15.17,U,rボタン
37,kasahara,fast,2022-06-15,19:17:15.26,D,nボタン
38,kasahara,fast,2022-06-15,19:17:15.28,U,iボタン
39,kasahara,fast,2022-06-15,19:17:15.39,U,nボタン
40,kasahara,fast,2022-06-15,19:17:15.54,D,pボタン
41,kasahara,fast,2022-06-15,19:17:15.63,D,iボタン
42,kasahara,fast,2022-06-15,19:17:15.69,U,pボタン
43,kasahara,fast,2022-06-15,19:17:15.74,U,iボタン
44,kasahara,fast,2022-06-15,19:17:15.89,D,kボタン
45,kasahara,fast,2022-06-15,19:17:15.98,U,kボタン
46,kasahara,fast,2022-06-15,19:17:16.06,D,kボタン
47,kasahara,fast,2022-06-15,19:17:16.14,D,uボタン
48,kasahara,fast,2022-06-15,19:17:16.19,U,kボタン
49,kasahara,fast,2022-06-15,19:17:16.26,U,uボタン
50,kasahara,fast,2022-06-15,19:17:16.41,D,hボタン
51,kasahara,fast,2022-06-15,19:17:16.51,U,hボタン
52,kasahara,fast,2022-06-15,19:17:16.53,D,aボタン
53,kasahara,fast,2022-06-15,19:17:16.61,D,Spaceボタン
54,kasahara,fast,2022-06-15,19:17:16.65,U,aボタン
55,kasahara,fast,2022-06-15,19:17:16.75,U,Spaceボタン
56,kasahara,fast,2022-06-15,19:17:16.86,D,kボタン
57,kasahara,fast,2022-06-15,19:17:16.95,U,kボタン
58,kasahara,fast,2022-06-15,19:17:17.03,D,iボタン
59,kasahara,fast,2022-06-15,19:17:17.09,U,iボタン
60,kasahara,fast,2022-06-15,19:17:17.18,D,kボタン
61,kasahara,fast,2022-06-15,19:17:17.29,U,kボタン
62,kasahara,fast,2022-06-15,19:17:17.33,D,aボタン
63,kasahara,fast,2022-06-15,19:17:17.43,U,aボタン
64,kasahara,fast,2022-06-15,19:17:17.51,D,iボタン
65,kasahara,fast,2022-06-15,19:17:17.65,U,iボタン
66,kasahara,fast,2022-06-15,19:17:17.70,D,tボタン
67,kasahara,fast,2022-06-15,19:17:17.78,D,aボタン
68,kasahara,fast,2022-06-15,19:17:17.85,U,tボタン
69,kasahara,fast,2022-06-15,19:17:17.93,U,aボタン
70,kasahara,fast,2022-06-15,19:17:17.98,D,iボタン
71,kasahara,fast,2022-06-15,19:17:18.07,U,iボタン
72,kasahara,fast,2022-06-15,19:17:18.11,D,sボタン
73,kasahara,fast,2022-06-15,19:17:18.17,D,oボタン
74,kasahara,fast,2022-06-15,19:17:18.23,U,sボタン
75,kasahara,fast,2022-06-15,19:17:18.27,D,uボタン
76,kasahara,fast,2022-06-15,19:17:18.30,U,oボタン
77,kasahara,fast,2022-06-15,19:17:18.38,U,uボタン
78,kasahara,fast,2022-06-15,19:17:18.47,D,nボタン
79,kasahara,fast,2022-06-15,19:17:18.54,D,oボタン
80,kasahara,fast,2022-06-15,19:17:18.62,U,nボタン
81,kasahara,fast,2022-06-15,19:17:18.67,U,oボタン
82,kasahara,fast,2022-06-15,19:17:19.00,D,sボタン
83,kasahara,fast,2022-06-15,19:17:19.07,D,eボタン
84,kasahara,fast,2022-06-15,19:17:19.08,U,sボタン
85,kasahara,fast,2022-06-15,19:17:19.24,U,eボタン
86,kasahara,fast,2022-06-15,19:17:19.27,D,nボタン
87,kasahara,fast,2022-06-15,19:17:19.35,U,nボタン
88,kasahara,fast,2022-06-15,19:17:19.42,D,nボタン
89,kasahara,fast,2022-06-15,19:17:19.48,U,nボタン
90,kasahara,fast,2022-06-15,19:17:19.55,D,sボタン
91,kasahara,fast,2022-06-15,19:17:19.67,U,sボタン
92,kasahara,fast,2022-06-15,19:17:19.69,D,hボタン
93,kasahara,fast,2022-06-15,19:17:19.77,D,uボタン
94,kasahara,fast,2022-06-15,19:17:19.80,U,hボタン
95,kasahara,fast,2022-06-15,19:17:19.87,U,uボタン
96,kasahara,fast,2022-06-15,19:17:19.95,D,nボタン
97,kasahara,fast,2022-06-15,19:17:20.04,D,iボタン
98,kasahara,fast,2022-06-15,19:17:20.09,U,nボタン
99,kasahara,fast,2022-06-15,19:17:20.17,U,iボタン
100,kasahara,fast,2022-06-15,19:17:20.24,D,hボタン
101,kasahara,fast,2022-06-15,19:17:20.36,U,hボタン
102,kasahara,fast,2022-06-15,19:17:20.42,D,aボタン
103,kasahara,fast,2022-06-15,19:17:20.53,D,Spaceボタン
104,kasahara,fast,2022-06-15,19:17:20.54,U,aボタン
105,kasahara,fast,2022-06-15,19:17:20.62,U,Spaceボタン
106,kasahara,fast,2022-06-15,19:17:20.81,D,mボタン
107,kasahara,fast,2022-06-15,19:17:20.92,D,aボタン
108,kasahara,fast,2022-06-15,19:17:20.94,U,mボタン
109,kasahara,fast,2022-06-15,19:17:21.04,U,aボタン
110,kasahara,fast,2022-06-15,19:17:21.12,D,tボタン
111,kasahara,fast,2022-06-15,19:17:21.27,D,aボタン
112,kasahara,fast,2022-06-15,19:17:21.30,U,tボタン
113,kasahara,fast,2022-06-15,19:17:21.36,U,aボタン
114,kasahara,fast,2022-06-15,19:17:21.71,D,tボタン
115,kasahara,fast,2022-06-15,19:17:21.81,U,tボタン
116,kasahara,fast,2022-06-15,19:17:21.84,D,oボタン
117,kasahara,fast,2022-06-15,19:17:21.92,U,oボタン
118,kasahara,fast,2022-06-15,19:17:22.02,D,nボタン
119,kasahara,fast,2022-06-15,19:17:22.11,D,aボタン
120,kasahara,fast,2022-06-15,19:17:22.14,U,nボタン
121,kasahara,fast,2022-06-15,19:17:22.22,U,aボタン
122,kasahara,fast,2022-06-15,19:17:22.31,D,iボタン
123,kasahara,fast,2022-06-15,19:17:22.42,U,iボタン
124,kasahara,fast,2022-06-15,19:17:22.55,D,kボタン
125,kasahara,fast,2022-06-15,19:17:22.65,U,kボタン
