,name,speed,date,time,operation,key
0,kasahara,normal,2022-06-15,19:05:42.16,D,LMenuボタン
1,kasahara,normal,2022-06-15,19:05:42.21,D,Tabボタン
2,kasahara,normal,2022-06-15,19:05:42.39,U,Tabボタン
3,kasahara,normal,2022-06-15,19:05:44.60,D,Tabボタン
4,kasahara,normal,2022-06-15,19:05:44.75,U,Tabボタン
5,kasahara,normal,2022-06-15,19:05:45.01,D,Tabボタン
6,kasahara,normal,2022-06-15,19:05:45.15,U,Tabボタン
7,kasahara,normal,2022-06-15,19:05:45.84,U,LMenuボタン
8,kasahara,normal,2022-06-15,19:05:49.06,D,Enterボタン
9,kasahara,normal,2022-06-15,19:05:49.14,U,Enterボタン
10,kasahara,normal,2022-06-15,19:05:50.86,D,Enterボタン
11,kasahara,normal,2022-06-15,19:05:50.98,U,Enterボタン
12,kasahara,normal,2022-06-15,19:05:53.73,D,oボタン
13,kasahara,normal,2022-06-15,19:05:53.82,U,oボタン
14,kasahara,normal,2022-06-15,19:05:54.12,D,rボタン
15,kasahara,normal,2022-06-15,19:05:54.22,D,iボタン
16,kasahara,normal,2022-06-15,19:05:54.24,U,rボタン
17,kasahara,normal,2022-06-15,19:05:54.34,U,iボタン
18,kasahara,normal,2022-06-15,19:05:54.36,D,nボタン
19,kasahara,normal,2022-06-15,19:05:54.46,U,nボタン
20,kasahara,normal,2022-06-15,19:05:54.64,D,pボタン
21,kasahara,normal,2022-06-15,19:05:54.75,D,iボタン
22,kasahara,normal,2022-06-15,19:05:54.79,U,pボタン
23,kasahara,normal,2022-06-15,19:05:54.87,U,iボタン
24,kasahara,normal,2022-06-15,19:05:55.09,D,kボタン
25,kasahara,normal,2022-06-15,19:05:55.14,U,kボタン
26,kasahara,normal,2022-06-15,19:05:55.19,D,kボタン
27,kasahara,normal,2022-06-15,19:05:55.25,U,kボタン
28,kasahara,normal,2022-06-15,19:05:55.51,D,uボタン
29,kasahara,normal,2022-06-15,19:05:55.64,U,uボタン
30,kasahara,normal,2022-06-15,19:05:56.18,D,hボタン
31,kasahara,normal,2022-06-15,19:05:56.28,U,hボタン
32,kasahara,normal,2022-06-15,19:05:56.33,D,aボタン
33,kasahara,normal,2022-06-15,19:05:56.41,D,Spaceボタン
34,kasahara,normal,2022-06-15,19:05:56.43,U,aボタン
35,kasahara,normal,2022-06-15,19:05:56.51,U,Spaceボタン
36,kasahara,normal,2022-06-15,19:05:57.05,D,kボタン
37,kasahara,normal,2022-06-15,19:05:57.15,U,kボタン
38,kasahara,normal,2022-06-15,19:05:57.21,D,iボタン
39,kasahara,normal,2022-06-15,19:05:57.28,U,iボタン
40,kasahara,normal,2022-06-15,19:05:57.38,D,kボタン
41,kasahara,normal,2022-06-15,19:05:57.47,U,kボタン
42,kasahara,normal,2022-06-15,19:05:57.50,D,aボタン
43,kasahara,normal,2022-06-15,19:05:57.58,U,aボタン
44,kasahara,normal,2022-06-15,19:05:57.65,D,iボタン
45,kasahara,normal,2022-06-15,19:05:57.78,U,iボタン
46,kasahara,normal,2022-06-15,19:05:57.99,D,tボタン
47,kasahara,normal,2022-06-15,19:05:58.07,D,aボタン
48,kasahara,normal,2022-06-15,19:05:58.13,U,tボタン
49,kasahara,normal,2022-06-15,19:05:58.20,U,aボタン
50,kasahara,normal,2022-06-15,19:05:58.23,D,iボタン
51,kasahara,normal,2022-06-15,19:05:58.35,U,iボタン
52,kasahara,normal,2022-06-15,19:05:58.45,D,sボタン
53,kasahara,normal,2022-06-15,19:05:58.56,U,sボタン
54,kasahara,normal,2022-06-15,19:05:58.59,D,oボタン
55,kasahara,normal,2022-06-15,19:05:58.65,D,uボタン
56,kasahara,normal,2022-06-15,19:05:58.74,U,oボタン
57,kasahara,normal,2022-06-15,19:05:58.77,U,uボタン
58,kasahara,normal,2022-06-15,19:05:58.89,D,nボタン
59,kasahara,normal,2022-06-15,19:05:58.99,D,oボタン
60,kasahara,normal,2022-06-15,19:05:59.05,U,nボタン
61,kasahara,normal,2022-06-15,19:05:59.10,U,oボタン
62,kasahara,normal,2022-06-15,19:05:59.24,D,sボタン
63,kasahara,normal,2022-06-15,19:05:59.37,U,sボタン
64,kasahara,normal,2022-06-15,19:06:00.44,D,eボタン
65,kasahara,normal,2022-06-15,19:06:00.55,U,eボタン
66,kasahara,normal,2022-06-15,19:06:00.78,D,nボタン
67,kasahara,normal,2022-06-15,19:06:00.85,U,nボタン
68,kasahara,normal,2022-06-15,19:06:00.91,D,nボタン
69,kasahara,normal,2022-06-15,19:06:01.01,U,nボタン
70,kasahara,normal,2022-06-15,19:06:01.22,D,sボタン
71,kasahara,normal,2022-06-15,19:06:01.34,U,sボタン
72,kasahara,normal,2022-06-15,19:06:01.37,D,hボタン
73,kasahara,normal,2022-06-15,19:06:01.44,D,uボタン
74,kasahara,normal,2022-06-15,19:06:01.51,U,hボタン
75,kasahara,normal,2022-06-15,19:06:01.56,U,uボタン
76,kasahara,normal,2022-06-15,19:06:01.73,D,nボタン
77,kasahara,normal,2022-06-15,19:06:01.81,D,iボタン
78,kasahara,normal,2022-06-15,19:06:01.86,U,nボタン
79,kasahara,normal,2022-06-15,19:06:01.93,U,iボタン
80,kasahara,normal,2022-06-15,19:06:02.48,D,hボタン
81,kasahara,normal,2022-06-15,19:06:02.58,U,hボタン
82,kasahara,normal,2022-06-15,19:06:02.64,D,aボタン
83,kasahara,normal,2022-06-15,19:06:02.73,U,aボタン
84,kasahara,normal,2022-06-15,19:06:02.91,D,Spaceボタン
85,kasahara,normal,2022-06-15,19:06:03.04,U,Spaceボタン
86,kasahara,normal,2022-06-15,19:06:03.67,D,mボタン
87,kasahara,normal,2022-06-15,19:06:03.73,D,aボタン
88,kasahara,normal,2022-06-15,19:06:03.78,U,mボタン
89,kasahara,normal,2022-06-15,19:06:03.84,U,aボタン
90,kasahara,normal,2022-06-15,19:06:03.94,D,tボタン
91,kasahara,normal,2022-06-15,19:06:04.08,D,aボタン
92,kasahara,normal,2022-06-15,19:06:04.11,U,tボタン
93,kasahara,normal,2022-06-15,19:06:04.20,U,aボタン
94,kasahara,normal,2022-06-15,19:06:04.26,D,tボタン
95,kasahara,normal,2022-06-15,19:06:04.40,U,tボタン
96,kasahara,normal,2022-06-15,19:06:04.41,D,oボタン
97,kasahara,normal,2022-06-15,19:06:04.50,U,oボタン
98,kasahara,normal,2022-06-15,19:06:04.57,D,nボタン
99,kasahara,normal,2022-06-15,19:06:04.70,U,nボタン
100,kasahara,normal,2022-06-15,19:06:04.71,D,aボタン
101,kasahara,normal,2022-06-15,19:06:04.80,U,aボタン
102,kasahara,normal,2022-06-15,19:06:04.85,D,iボタン
103,kasahara,normal,2022-06-15,19:06:04.96,U,iボタン
104,kasahara,normal,2022-06-15,19:06:05.08,D,kボタン
105,kasahara,normal,2022-06-15,19:06:05.20,U,kボタン
106,kasahara,normal,2022-06-15,19:06:05.30,D,iボタン
107,kasahara,normal,2022-06-15,19:06:05.40,U,iボタン
108,kasahara,normal,2022-06-15,19:06:05.77,D,kボタン
109,kasahara,normal,2022-06-15,19:06:05.83,U,kボタン
110,kasahara,normal,2022-06-15,19:06:05.92,D,aボタン
111,kasahara,normal,2022-06-15,19:06:06.00,U,aボタン
112,kasahara,normal,2022-06-15,19:06:06.09,D,iボタン
113,kasahara,normal,2022-06-15,19:06:06.22,U,iボタン
114,kasahara,normal,2022-06-15,19:06:06.72,D,dボタン
115,kasahara,normal,2022-06-15,19:06:06.82,D,aボタン
116,kasahara,normal,2022-06-15,19:06:06.87,U,dボタン
117,kasahara,normal,2022-06-15,19:06:06.95,U,aボタン
118,kasahara,normal,2022-06-15,19:06:06.97,D,Spaceボタン
119,kasahara,normal,2022-06-15,19:06:07.07,U,Spaceボタン
120,kasahara,normal,2022-06-15,19:06:07.49,D,Enterボタン
121,kasahara,normal,2022-06-15,19:06:07.64,U,Enterボタン
122,kasahara,normal,2022-06-15,19:06:09.44,D,Enterボタン
123,kasahara,normal,2022-06-15,19:06:09.56,U,Enterボタン
124,kasahara,normal,2022-06-15,19:06:10.44,D,oボタン
125,kasahara,normal,2022-06-15,19:06:10.51,U,oボタン
126,kasahara,normal,2022-06-15,19:06:10.66,D,rボタン
127,kasahara,normal,2022-06-15,19:06:10.75,D,iボタン
128,kasahara,normal,2022-06-15,19:06:10.79,U,rボタン
129,kasahara,normal,2022-06-15,19:06:10.86,U,iボタン
130,kasahara,normal,2022-06-15,19:06:10.92,D,nボタン
131,kasahara,normal,2022-06-15,19:06:11.05,U,nボタン
132,kasahara,normal,2022-06-15,19:06:11.29,D,pボタン
133,kasahara,normal,2022-06-15,19:06:11.33,D,iボタン
134,kasahara,normal,2022-06-15,19:06:11.36,U,pボタン
135,kasahara,normal,2022-06-15,19:06:11.50,U,iボタン
136,kasahara,normal,2022-06-15,19:06:12.03,D,kボタン
137,kasahara,normal,2022-06-15,19:06:12.12,U,kボタン
138,kasahara,normal,2022-06-15,19:06:12.18,D,kボタン
139,kasahara,normal,2022-06-15,19:06:12.28,D,uボタン
140,kasahara,normal,2022-06-15,19:06:12.30,U,kボタン
141,kasahara,normal,2022-06-15,19:06:12.40,U,uボタン
142,kasahara,normal,2022-06-15,19:06:12.58,D,hボタン
143,kasahara,normal,2022-06-15,19:06:12.67,U,hボタン
144,kasahara,normal,2022-06-15,19:06:12.70,D,aボタン
145,kasahara,normal,2022-06-15,19:06:12.77,D,Spaceボタン
146,kasahara,normal,2022-06-15,19:06:12.80,U,aボタン
147,kasahara,normal,2022-06-15,19:06:12.88,U,Spaceボタン
148,kasahara,normal,2022-06-15,19:06:13.02,D,kボタン
149,kasahara,normal,2022-06-15,19:06:13.12,U,kボタン
150,kasahara,normal,2022-06-15,19:06:13.20,D,iボタン
151,kasahara,normal,2022-06-15,19:06:13.27,U,iボタン
152,kasahara,normal,2022-06-15,19:06:13.41,D,kボタン
153,kasahara,normal,2022-06-15,19:06:13.51,U,kボタン
154,kasahara,normal,2022-06-15,19:06:13.55,D,aボタン
155,kasahara,normal,2022-06-15,19:06:13.62,U,aボタン
156,kasahara,normal,2022-06-15,19:06:13.72,D,iボタン
157,kasahara,normal,2022-06-15,19:06:13.84,U,iボタン
158,kasahara,normal,2022-06-15,19:06:14.02,D,tボタン
159,kasahara,normal,2022-06-15,19:06:14.16,D,aボタン
160,kasahara,normal,2022-06-15,19:06:14.17,U,tボタン
161,kasahara,normal,2022-06-15,19:06:14.24,D,iボタン
162,kasahara,normal,2022-06-15,19:06:14.26,U,aボタン
163,kasahara,normal,2022-06-15,19:06:14.34,U,iボタン
164,kasahara,normal,2022-06-15,19:06:14.46,D,sボタン
165,kasahara,normal,2022-06-15,19:06:14.54,D,oボタン
166,kasahara,normal,2022-06-15,19:06:14.59,U,sボタン
167,kasahara,normal,2022-06-15,19:06:14.64,D,uボタン
168,kasahara,normal,2022-06-15,19:06:14.70,U,oボタン
169,kasahara,normal,2022-06-15,19:06:14.76,U,uボタン
170,kasahara,normal,2022-06-15,19:06:14.84,D,nボタン
171,kasahara,normal,2022-06-15,19:06:14.91,D,oボタン
172,kasahara,normal,2022-06-15,19:06:15.00,U,nボタン
173,kasahara,normal,2022-06-15,19:06:15.04,U,oボタン
174,kasahara,normal,2022-06-15,19:06:15.16,D,sボタン
175,kasahara,normal,2022-06-15,19:06:15.25,D,eボタン
176,kasahara,normal,2022-06-15,19:06:15.29,U,sボタン
177,kasahara,normal,2022-06-15,19:06:15.41,U,eボタン
178,kasahara,normal,2022-06-15,19:06:15.44,D,nボタン
179,kasahara,normal,2022-06-15,19:06:15.53,U,nボタン
180,kasahara,normal,2022-06-15,19:06:15.59,D,nボタン
181,kasahara,normal,2022-06-15,19:06:15.67,U,nボタン
182,kasahara,normal,2022-06-15,19:06:15.69,D,sボタン
183,kasahara,normal,2022-06-15,19:06:15.81,U,sボタン
184,kasahara,normal,2022-06-15,19:06:15.83,D,hボタン
185,kasahara,normal,2022-06-15,19:06:15.93,D,uボタン
186,kasahara,normal,2022-06-15,19:06:15.97,U,hボタン
187,kasahara,normal,2022-06-15,19:06:16.06,U,uボタン
188,kasahara,normal,2022-06-15,19:06:16.28,D,nボタン
189,kasahara,normal,2022-06-15,19:06:16.43,U,nボタン
190,kasahara,normal,2022-06-15,19:06:16.51,D,iボタン
191,kasahara,normal,2022-06-15,19:06:16.65,U,iボタン
192,kasahara,normal,2022-06-15,19:06:17.09,D,hボタン
193,kasahara,normal,2022-06-15,19:06:17.16,U,hボタン
194,kasahara,normal,2022-06-15,19:06:17.21,D,aボタン
195,kasahara,normal,2022-06-15,19:06:17.31,U,aボタン
196,kasahara,normal,2022-06-15,19:06:17.33,D,Spaceボタン
197,kasahara,normal,2022-06-15,19:06:17.42,U,Spaceボタン
198,kasahara,normal,2022-06-15,19:06:17.58,D,mボタン
199,kasahara,normal,2022-06-15,19:06:17.68,D,aボタン
200,kasahara,normal,2022-06-15,19:06:17.71,U,mボタン
201,kasahara,normal,2022-06-15,19:06:17.76,U,aボタン
202,kasahara,normal,2022-06-15,19:06:17.87,D,tボタン
203,kasahara,normal,2022-06-15,19:06:18.03,U,tボタン
204,kasahara,normal,2022-06-15,19:06:18.05,D,aボタン
205,kasahara,normal,2022-06-15,19:06:18.13,U,aボタン
206,kasahara,normal,2022-06-15,19:06:18.16,D,tボタン
207,kasahara,normal,2022-06-15,19:06:18.26,U,tボタン
208,kasahara,normal,2022-06-15,19:06:18.33,D,oボタン
209,kasahara,normal,2022-06-15,19:06:18.43,U,oボタン
210,kasahara,normal,2022-06-15,19:06:18.54,D,nボタン
211,kasahara,normal,2022-06-15,19:06:18.65,U,nボタン
212,kasahara,normal,2022-06-15,19:06:18.68,D,aボタン
213,kasahara,normal,2022-06-15,19:06:18.78,U,aボタン
214,kasahara,normal,2022-06-15,19:06:18.83,D,iボタン
215,kasahara,normal,2022-06-15,19:06:18.93,U,iボタン
216,kasahara,normal,2022-06-15,19:06:19.17,D,kボタン
217,kasahara,normal,2022-06-15,19:06:19.27,U,kボタン
218,kasahara,normal,2022-06-15,19:06:19.34,D,iボタン
219,kasahara,normal,2022-06-15,19:06:19.44,U,iボタン
220,kasahara,normal,2022-06-15,19:06:19.54,D,kボタン
221,kasahara,normal,2022-06-15,19:06:19.64,U,kボタン
222,kasahara,normal,2022-06-15,19:06:19.65,D,aボタン
223,kasahara,normal,2022-06-15,19:06:19.77,U,aボタン
224,kasahara,normal,2022-06-15,19:06:20.10,D,iボタン
225,kasahara,normal,2022-06-15,19:06:20.23,U,iボタン
226,kasahara,normal,2022-06-15,19:06:20.40,D,dボタン
227,kasahara,normal,2022-06-15,19:06:20.55,D,aボタン
228,kasahara,normal,2022-06-15,19:06:20.57,U,dボタン
229,kasahara,normal,2022-06-15,19:06:20.66,U,aボタン
230,kasahara,normal,2022-06-15,19:06:20.87,D,OemPeriodボタン
231,kasahara,normal,2022-06-15,19:06:21.00,U,OemPeriodボタン
232,kasahara,normal,2022-06-15,19:06:21.12,D,Spaceボタン
233,kasahara,normal,2022-06-15,19:06:21.25,U,Spaceボタン
234,kasahara,normal,2022-06-15,19:06:21.50,D,Enterボタン
235,kasahara,normal,2022-06-15,19:06:21.60,U,Enterボタン
236,kasahara,normal,2022-06-15,19:06:21.69,D,Enterボタン
237,kasahara,normal,2022-06-15,19:06:21.77,U,Enterボタン
238,kasahara,normal,2022-06-15,19:06:22.69,D,oボタン
239,kasahara,normal,2022-06-15,19:06:22.80,U,oボタン
240,kasahara,normal,2022-06-15,19:06:23.03,D,rボタン
241,kasahara,normal,2022-06-15,19:06:23.13,U,rボタン
242,kasahara,normal,2022-06-15,19:06:23.19,D,iボタン
243,kasahara,normal,2022-06-15,19:06:23.32,U,iボタン
244,kasahara,normal,2022-06-15,19:06:23.42,D,nボタン
245,kasahara,normal,2022-06-15,19:06:23.53,U,nボタン
246,kasahara,normal,2022-06-15,19:06:24.08,D,pボタン
247,kasahara,normal,2022-06-15,19:06:24.23,U,pボタン
248,kasahara,normal,2022-06-15,19:06:24.25,D,iボタン
249,kasahara,normal,2022-06-15,19:06:24.36,U,iボタン
250,kasahara,normal,2022-06-15,19:06:24.63,D,kボタン
251,kasahara,normal,2022-06-15,19:06:24.71,U,kボタン
252,kasahara,normal,2022-06-15,19:06:24.81,D,kボタン
253,kasahara,normal,2022-06-15,19:06:24.91,U,kボタン
254,kasahara,normal,2022-06-15,19:06:24.96,D,uボタン
255,kasahara,normal,2022-06-15,19:06:25.09,U,uボタン
256,kasahara,normal,2022-06-15,19:06:25.28,D,hボタン
257,kasahara,normal,2022-06-15,19:06:25.39,U,hボタン
258,kasahara,normal,2022-06-15,19:06:25.51,D,aボタン
259,kasahara,normal,2022-06-15,19:06:25.63,U,aボタン
260,kasahara,normal,2022-06-15,19:06:25.71,D,Spaceボタン
261,kasahara,normal,2022-06-15,19:06:25.83,U,Spaceボタン
262,kasahara,normal,2022-06-15,19:06:26.18,D,kボタン
263,kasahara,normal,2022-06-15,19:06:26.31,U,kボタン
264,kasahara,normal,2022-06-15,19:06:26.51,D,iボタン
265,kasahara,normal,2022-06-15,19:06:26.64,U,iボタン
266,kasahara,normal,2022-06-15,19:06:26.88,D,kボタン
267,kasahara,normal,2022-06-15,19:06:27.00,U,kボタン
268,kasahara,normal,2022-06-15,19:06:27.05,D,aボタン
269,kasahara,normal,2022-06-15,19:06:27.18,U,aボタン
270,kasahara,normal,2022-06-15,19:06:27.30,D,iボタン
271,kasahara,normal,2022-06-15,19:06:27.42,U,iボタン
272,kasahara,normal,2022-06-15,19:06:27.58,D,tボタン
273,kasahara,normal,2022-06-15,19:06:27.75,U,tボタン
274,kasahara,normal,2022-06-15,19:06:27.77,D,aボタン
275,kasahara,normal,2022-06-15,19:06:27.85,U,aボタン
276,kasahara,normal,2022-06-15,19:06:28.00,D,iボタン
277,kasahara,normal,2022-06-15,19:06:28.09,U,iボタン
278,kasahara,normal,2022-06-15,19:06:28.20,D,sボタン
279,kasahara,normal,2022-06-15,19:06:28.32,U,sボタン
280,kasahara,normal,2022-06-15,19:06:28.42,D,uボタン
281,kasahara,normal,2022-06-15,19:06:28.45,D,oボタン
282,kasahara,normal,2022-06-15,19:06:28.47,U,oボタン
283,kasahara,normal,2022-06-15,19:06:28.54,U,uボタン
284,kasahara,normal,2022-06-15,19:06:28.66,D,nボタン
285,kasahara,normal,2022-06-15,19:06:28.75,D,oボタン
286,kasahara,normal,2022-06-15,19:06:28.80,U,nボタン
287,kasahara,normal,2022-06-15,19:06:28.87,U,oボタン
288,kasahara,normal,2022-06-15,19:06:29.49,D,Enterボタン
