,name,speed,date,time,operation,key
0,kasahara,slow,2022-06-15,18:55:47.73,D,Enterボタン
1,kasahara,slow,2022-06-15,18:55:47.84,U,Enterボタン
2,kasahara,slow,2022-06-15,18:55:48.83,D,oボタン
3,kasahara,slow,2022-06-15,18:55:48.91,U,oボタン
4,kasahara,slow,2022-06-15,18:55:49.10,D,rボタン
5,kasahara,slow,2022-06-15,18:55:49.20,U,rボタン
6,kasahara,slow,2022-06-15,18:55:49.33,D,iボタン
7,kasahara,slow,2022-06-15,18:55:49.48,D,nボタン
8,kasahara,slow,2022-06-15,18:55:49.50,U,iボタン
9,kasahara,slow,2022-06-15,18:55:49.64,U,nボタン
10,kasahara,slow,2022-06-15,18:55:49.93,D,pボタン
11,kasahara,slow,2022-06-15,18:55:50.07,D,iボタン
12,kasahara,slow,2022-06-15,18:55:50.08,U,pボタン
13,kasahara,slow,2022-06-15,18:55:50.17,U,iボタン
14,kasahara,slow,2022-06-15,18:55:50.70,D,kボタン
15,kasahara,slow,2022-06-15,18:55:50.76,U,kボタン
16,kasahara,slow,2022-06-15,18:55:50.85,D,kボタン
17,kasahara,slow,2022-06-15,18:55:50.98,D,uボタン
18,kasahara,slow,2022-06-15,18:55:51.00,U,kボタン
19,kasahara,slow,2022-06-15,18:55:51.08,U,uボタン
20,kasahara,slow,2022-06-15,18:55:52.49,D,sボタン
21,kasahara,slow,2022-06-15,18:55:52.60,U,sボタン
22,kasahara,slow,2022-06-15,18:55:54.44,D,Enterボタン
23,kasahara,slow,2022-06-15,18:55:54.63,U,Enterボタン
24,kasahara,slow,2022-06-15,18:55:55.30,D,Enterボタン
25,kasahara,slow,2022-06-15,18:55:55.38,U,Enterボタン
26,kasahara,slow,2022-06-15,18:55:56.06,D,oボタン
27,kasahara,slow,2022-06-15,18:55:56.15,U,oボタン
28,kasahara,slow,2022-06-15,18:55:56.36,D,rボタン
29,kasahara,slow,2022-06-15,18:55:56.46,U,rボタン
30,kasahara,slow,2022-06-15,18:55:56.75,D,iボタン
31,kasahara,slow,2022-06-15,18:55:56.85,U,iボタン
32,kasahara,slow,2022-06-15,18:55:56.90,D,nボタン
33,kasahara,slow,2022-06-15,18:55:57.02,U,nボタン
34,kasahara,slow,2022-06-15,18:55:57.96,D,pボタン
35,kasahara,slow,2022-06-15,18:55:58.10,D,iボタン
36,kasahara,slow,2022-06-15,18:55:58.13,U,pボタン
37,kasahara,slow,2022-06-15,18:55:58.23,U,iボタン
38,kasahara,slow,2022-06-15,18:55:58.49,D,kボタン
39,kasahara,slow,2022-06-15,18:55:58.56,U,kボタン
40,kasahara,slow,2022-06-15,18:55:58.64,D,kボタン
41,kasahara,slow,2022-06-15,18:55:58.75,U,kボタン
42,kasahara,slow,2022-06-15,18:55:58.77,D,uボタン
43,kasahara,slow,2022-06-15,18:55:58.89,U,uボタン
44,kasahara,slow,2022-06-15,18:55:59.15,D,hボタン
45,kasahara,slow,2022-06-15,18:55:59.24,U,hボタン
46,kasahara,slow,2022-06-15,18:55:59.34,D,aボタン
47,kasahara,slow,2022-06-15,18:55:59.41,U,aボタン
48,kasahara,slow,2022-06-15,18:55:59.44,D,Spaceボタン
49,kasahara,slow,2022-06-15,18:55:59.57,U,Spaceボタン
50,kasahara,slow,2022-06-15,18:56:00.28,D,kボタン
51,kasahara,slow,2022-06-15,18:56:00.39,U,kボタン
52,kasahara,slow,2022-06-15,18:56:00.47,D,iボタン
53,kasahara,slow,2022-06-15,18:56:00.52,U,iボタン
54,kasahara,slow,2022-06-15,18:56:00.64,D,kボタン
55,kasahara,slow,2022-06-15,18:56:00.71,U,kボタン
56,kasahara,slow,2022-06-15,18:56:00.74,D,aボタン
57,kasahara,slow,2022-06-15,18:56:00.84,U,aボタン
58,kasahara,slow,2022-06-15,18:56:01.01,D,iボタン
59,kasahara,slow,2022-06-15,18:56:01.14,U,iボタン
60,kasahara,slow,2022-06-15,18:56:01.44,D,tボタン
61,kasahara,slow,2022-06-15,18:56:01.60,U,tボタン
62,kasahara,slow,2022-06-15,18:56:01.83,D,aボタン
63,kasahara,slow,2022-06-15,18:56:01.93,U,aボタン
64,kasahara,slow,2022-06-15,18:56:02.09,D,iボタン
65,kasahara,slow,2022-06-15,18:56:02.21,U,iボタン
66,kasahara,slow,2022-06-15,18:56:02.38,D,sボタン
67,kasahara,slow,2022-06-15,18:56:02.50,U,sボタン
68,kasahara,slow,2022-06-15,18:56:02.55,D,oボタン
69,kasahara,slow,2022-06-15,18:56:02.68,D,uボタン
70,kasahara,slow,2022-06-15,18:56:02.73,U,oボタン
71,kasahara,slow,2022-06-15,18:56:02.78,U,uボタン
72,kasahara,slow,2022-06-15,18:56:03.02,D,nボタン
73,kasahara,slow,2022-06-15,18:56:03.15,D,oボタン
74,kasahara,slow,2022-06-15,18:56:03.20,U,nボタン
75,kasahara,slow,2022-06-15,18:56:03.29,U,oボタン
76,kasahara,slow,2022-06-15,18:56:03.48,D,sボタン
77,kasahara,slow,2022-06-15,18:56:03.62,U,sボタン
78,kasahara,slow,2022-06-15,18:56:03.62,D,eボタン
79,kasahara,slow,2022-06-15,18:56:03.76,U,eボタン
80,kasahara,slow,2022-06-15,18:56:03.88,D,nボタン
81,kasahara,slow,2022-06-15,18:56:03.98,U,nボタン
82,kasahara,slow,2022-06-15,18:56:04.12,D,sボタン
83,kasahara,slow,2022-06-15,18:56:04.23,U,sボタン
84,kasahara,slow,2022-06-15,18:56:04.30,D,hボタン
85,kasahara,slow,2022-06-15,18:56:04.38,D,uボタン
86,kasahara,slow,2022-06-15,18:56:04.44,U,hボタン
87,kasahara,slow,2022-06-15,18:56:04.50,U,uボタン
88,kasahara,slow,2022-06-15,18:56:04.68,D,nボタン
89,kasahara,slow,2022-06-15,18:56:04.80,D,iボタン
90,kasahara,slow,2022-06-15,18:56:04.85,U,nボタン
91,kasahara,slow,2022-06-15,18:56:04.95,U,iボタン
92,kasahara,slow,2022-06-15,18:56:05.15,D,hボタン
93,kasahara,slow,2022-06-15,18:56:05.26,U,hボタン
94,kasahara,slow,2022-06-15,18:56:05.47,D,aボタン
95,kasahara,slow,2022-06-15,18:56:05.62,U,aボタン
96,kasahara,slow,2022-06-15,18:56:05.72,D,Spaceボタン
97,kasahara,slow,2022-06-15,18:56:05.81,U,Spaceボタン
98,kasahara,slow,2022-06-15,18:56:07.43,D,mボタン
99,kasahara,slow,2022-06-15,18:56:07.54,U,mボタン
100,kasahara,slow,2022-06-15,18:56:07.73,D,aボタン
101,kasahara,slow,2022-06-15,18:56:07.86,U,aボタン
102,kasahara,slow,2022-06-15,18:56:07.98,D,tボタン
103,kasahara,slow,2022-06-15,18:56:08.14,D,aボタン
104,kasahara,slow,2022-06-15,18:56:08.16,U,tボタン
105,kasahara,slow,2022-06-15,18:56:08.29,U,aボタン
106,kasahara,slow,2022-06-15,18:56:08.45,D,tボタン
107,kasahara,slow,2022-06-15,18:56:08.54,U,tボタン
108,kasahara,slow,2022-06-15,18:56:08.64,D,oボタン
109,kasahara,slow,2022-06-15,18:56:08.76,U,oボタン
110,kasahara,slow,2022-06-15,18:56:08.91,D,nボタン
111,kasahara,slow,2022-06-15,18:56:09.06,U,nボタン
112,kasahara,slow,2022-06-15,18:56:09.13,D,aボタン
113,kasahara,slow,2022-06-15,18:56:09.19,U,aボタン
