,name,speed,date,time,operation,key
0,kisitani,normal,2022-06-14,16:56:00.91,D,Enterボタン
1,kisitani,normal,2022-06-14,16:56:00.97,U,Enterボタン
2,kisitani,normal,2022-06-14,16:56:05.58,D,oボタン
3,kisitani,normal,2022-06-14,16:56:05.70,U,oボタン
4,kisitani,normal,2022-06-14,16:56:05.86,D,rボタン
5,kisitani,normal,2022-06-14,16:56:05.96,U,rボタン
6,kisitani,normal,2022-06-14,16:56:06.04,D,iボタン
7,kisitani,normal,2022-06-14,16:56:06.14,U,iボタン
8,kisitani,normal,2022-06-14,16:56:06.30,D,nボタン
9,kisitani,normal,2022-06-14,16:56:06.41,U,nボタン
10,kisitani,normal,2022-06-14,16:56:06.79,D,pボタン
11,kisitani,normal,2022-06-14,16:56:06.88,U,pボタン
12,kisitani,normal,2022-06-14,16:56:07.17,D,iボタン
13,kisitani,normal,2022-06-14,16:56:07.24,U,iボタン
14,kisitani,normal,2022-06-14,16:56:07.41,D,kボタン
15,kisitani,normal,2022-06-14,16:56:07.48,U,kボタン
16,kisitani,normal,2022-06-14,16:56:07.54,D,kボタン
17,kisitani,normal,2022-06-14,16:56:07.61,U,kボタン
18,kisitani,normal,2022-06-14,16:56:07.71,D,uボタン
19,kisitani,normal,2022-06-14,16:56:07.77,U,uボタン
20,kisitani,normal,2022-06-14,16:56:07.89,D,Spaceボタン
21,kisitani,normal,2022-06-14,16:56:08.01,U,Spaceボタン
22,kisitani,normal,2022-06-14,16:56:08.42,D,hボタン
23,kisitani,normal,2022-06-14,16:56:08.50,U,hボタン
24,kisitani,normal,2022-06-14,16:56:08.52,D,aボタン
25,kisitani,normal,2022-06-14,16:56:08.64,U,aボタン
26,kisitani,normal,2022-06-14,16:56:08.78,D,Enterボタン
27,kisitani,normal,2022-06-14,16:56:08.84,U,Enterボタン
28,kisitani,normal,2022-06-14,16:56:09.54,D,kボタン
29,kisitani,normal,2022-06-14,16:56:09.63,U,kボタン
30,kisitani,normal,2022-06-14,16:56:09.73,D,iボタン
31,kisitani,normal,2022-06-14,16:56:09.81,U,iボタン
32,kisitani,normal,2022-06-14,16:56:09.94,D,kボタン
33,kisitani,normal,2022-06-14,16:56:10.02,U,kボタン
34,kisitani,normal,2022-06-14,16:56:10.06,D,aボタン
35,kisitani,normal,2022-06-14,16:56:10.17,U,aボタン
36,kisitani,normal,2022-06-14,16:56:10.19,D,iボタン
37,kisitani,normal,2022-06-14,16:56:10.27,U,iボタン
38,kisitani,normal,2022-06-14,16:56:10.48,D,tボタン
39,kisitani,normal,2022-06-14,16:56:10.60,D,aボタン
40,kisitani,normal,2022-06-14,16:56:10.63,U,tボタン
41,kisitani,normal,2022-06-14,16:56:10.72,U,aボタン
42,kisitani,normal,2022-06-14,16:56:10.78,D,iボタン
43,kisitani,normal,2022-06-14,16:56:10.86,U,iボタン
44,kisitani,normal,2022-06-14,16:56:10.92,D,sボタン
45,kisitani,normal,2022-06-14,16:56:11.04,U,sボタン
46,kisitani,normal,2022-06-14,16:56:11.62,D,oボタン
47,kisitani,normal,2022-06-14,16:56:11.77,U,oボタン
48,kisitani,normal,2022-06-14,16:56:11.80,D,uボタン
49,kisitani,normal,2022-06-14,16:56:11.94,U,uボタン
50,kisitani,normal,2022-06-14,16:56:11.96,D,Spaceボタン
51,kisitani,normal,2022-06-14,16:56:12.04,U,Spaceボタン
52,kisitani,normal,2022-06-14,16:56:12.63,D,nボタン
53,kisitani,normal,2022-06-14,16:56:12.72,D,oボタン
54,kisitani,normal,2022-06-14,16:56:12.77,U,nボタン
55,kisitani,normal,2022-06-14,16:56:12.83,U,oボタン
56,kisitani,normal,2022-06-14,16:56:13.66,D,Enterボタン
57,kisitani,normal,2022-06-14,16:56:13.78,U,Enterボタン
58,kisitani,normal,2022-06-14,16:56:13.87,D,sボタン
59,kisitani,normal,2022-06-14,16:56:13.98,D,eボタン
60,kisitani,normal,2022-06-14,16:56:14.03,U,sボタン
61,kisitani,normal,2022-06-14,16:56:14.13,U,eボタン
62,kisitani,normal,2022-06-14,16:56:14.58,D,nボタン
63,kisitani,normal,2022-06-14,16:56:14.67,U,nボタン
64,kisitani,normal,2022-06-14,16:56:14.90,D,sボタン
65,kisitani,normal,2022-06-14,16:56:15.05,U,sボタン
66,kisitani,normal,2022-06-14,16:56:15.15,D,yボタン
67,kisitani,normal,2022-06-14,16:56:15.22,D,uボタン
68,kisitani,normal,2022-06-14,16:56:15.25,U,yボタン
69,kisitani,normal,2022-06-14,16:56:15.32,U,uボタン
70,kisitani,normal,2022-06-14,16:56:15.36,D,Spaceボタン
71,kisitani,normal,2022-06-14,16:56:15.47,U,Spaceボタン
72,kisitani,normal,2022-06-14,16:56:15.60,D,nボタン
73,kisitani,normal,2022-06-14,16:56:15.69,D,iボタン
74,kisitani,normal,2022-06-14,16:56:15.76,U,nボタン
75,kisitani,normal,2022-06-14,16:56:15.81,U,iボタン
76,kisitani,normal,2022-06-14,16:56:17.03,D,hボタン
77,kisitani,normal,2022-06-14,16:56:17.11,U,hボタン
78,kisitani,normal,2022-06-14,16:56:17.14,D,aボタン
79,kisitani,normal,2022-06-14,16:56:17.25,U,aボタン
80,kisitani,normal,2022-06-14,16:56:17.38,D,Enterボタン
81,kisitani,normal,2022-06-14,16:56:17.45,U,Enterボタン
82,kisitani,normal,2022-06-14,16:56:17.69,D,mボタン
83,kisitani,normal,2022-06-14,16:56:17.76,U,mボタン
84,kisitani,normal,2022-06-14,16:56:17.79,D,aボタン
85,kisitani,normal,2022-06-14,16:56:17.91,U,aボタン
86,kisitani,normal,2022-06-14,16:56:18.02,D,tボタン
87,kisitani,normal,2022-06-14,16:56:18.15,D,aボタン
88,kisitani,normal,2022-06-14,16:56:18.19,U,tボタン
89,kisitani,normal,2022-06-14,16:56:18.28,U,aボタン
90,kisitani,normal,2022-06-14,16:56:18.39,D,tボタン
91,kisitani,normal,2022-06-14,16:56:18.47,U,tボタン
92,kisitani,normal,2022-06-14,16:56:18.53,D,oボタン
93,kisitani,normal,2022-06-14,16:56:18.61,U,oボタン
94,kisitani,normal,2022-06-14,16:56:19.02,D,nボタン
95,kisitani,normal,2022-06-14,16:56:19.14,U,nボタン
96,kisitani,normal,2022-06-14,16:56:19.17,D,aボタン
97,kisitani,normal,2022-06-14,16:56:19.27,U,aボタン
98,kisitani,normal,2022-06-14,16:56:19.31,D,iボタン
99,kisitani,normal,2022-06-14,16:56:19.41,U,iボタン
100,kisitani,normal,2022-06-14,16:56:19.81,D,Enterボタン
101,kisitani,normal,2022-06-14,16:56:19.88,U,Enterボタン
102,kisitani,normal,2022-06-14,16:56:20.09,D,kボタン
103,kisitani,normal,2022-06-14,16:56:20.16,U,kボタン
104,kisitani,normal,2022-06-14,16:56:20.27,D,iボタン
