,name,speed,date,time,operation,key
0,kisitani,slow,2022-06-14,16:50:41.11,D,oボタン
1,kisitani,slow,2022-06-14,16:50:41.19,U,oボタン
2,kisitani,slow,2022-06-14,16:50:41.58,D,rボタン
3,kisitani,slow,2022-06-14,16:50:41.64,U,rボタン
4,kisitani,slow,2022-06-14,16:50:41.98,D,iボタン
5,kisitani,slow,2022-06-14,16:50:42.08,U,iボタン
6,kisitani,slow,2022-06-14,16:50:42.42,D,nボタン
7,kisitani,slow,2022-06-14,16:50:42.53,U,nボタン
8,kisitani,slow,2022-06-14,16:50:43.05,D,pボタン
9,kisitani,slow,2022-06-14,16:50:43.14,U,pボタン
10,kisitani,slow,2022-06-14,16:50:43.48,D,iボタン
11,kisitani,slow,2022-06-14,16:50:43.59,U,iボタン
12,kisitani,slow,2022-06-14,16:50:44.19,D,kボタン
13,kisitani,slow,2022-06-14,16:50:44.27,U,kボタン
14,kisitani,slow,2022-06-14,16:50:44.64,D,kボタン
15,kisitani,slow,2022-06-14,16:50:44.73,U,kボタン
16,kisitani,slow,2022-06-14,16:50:44.99,D,uボタン
17,kisitani,slow,2022-06-14,16:50:45.07,U,uボタン
18,kisitani,slow,2022-06-14,16:50:45.44,D,Spaceボタン
19,kisitani,slow,2022-06-14,16:50:45.54,U,Spaceボタン
20,kisitani,slow,2022-06-14,16:50:46.37,D,hボタン
21,kisitani,slow,2022-06-14,16:50:46.45,U,hボタン
22,kisitani,slow,2022-06-14,16:50:47.21,D,aボタン
23,kisitani,slow,2022-06-14,16:50:47.31,U,aボタン
24,kisitani,slow,2022-06-14,16:50:48.45,D,Enterボタン
25,kisitani,slow,2022-06-14,16:50:48.54,U,Enterボタン
26,kisitani,slow,2022-06-14,16:50:48.92,D,kボタン
27,kisitani,slow,2022-06-14,16:50:48.99,U,kボタン
28,kisitani,slow,2022-06-14,16:50:49.33,D,iボタン
29,kisitani,slow,2022-06-14,16:50:49.43,U,iボタン
30,kisitani,slow,2022-06-14,16:50:49.92,D,kボタン
31,kisitani,slow,2022-06-14,16:50:50.00,U,kボタン
32,kisitani,slow,2022-06-14,16:50:50.42,D,aボタン
33,kisitani,slow,2022-06-14,16:50:50.50,U,aボタン
34,kisitani,slow,2022-06-14,16:50:50.97,D,iボタン
35,kisitani,slow,2022-06-14,16:50:51.05,U,iボタン
36,kisitani,slow,2022-06-14,16:50:52.11,D,tボタン
37,kisitani,slow,2022-06-14,16:50:52.14,U,tボタン
38,kisitani,slow,2022-06-14,16:50:53.35,D,aボタン
39,kisitani,slow,2022-06-14,16:50:53.47,U,aボタン
40,kisitani,slow,2022-06-14,16:50:53.77,D,iボタン
41,kisitani,slow,2022-06-14,16:50:53.88,U,iボタン
42,kisitani,slow,2022-06-14,16:50:54.39,D,sボタン
43,kisitani,slow,2022-06-14,16:50:54.44,U,sボタン
44,kisitani,slow,2022-06-14,16:50:54.74,D,oボタン
45,kisitani,slow,2022-06-14,16:50:54.81,U,oボタン
46,kisitani,slow,2022-06-14,16:50:55.18,D,uボタン
47,kisitani,slow,2022-06-14,16:50:55.26,U,uボタン
48,kisitani,slow,2022-06-14,16:50:56.56,D,Spaceボタン
49,kisitani,slow,2022-06-14,16:50:56.64,U,Spaceボタン
50,kisitani,slow,2022-06-14,16:50:57.88,D,nボタン
51,kisitani,slow,2022-06-14,16:50:57.96,U,nボタン
52,kisitani,slow,2022-06-14,16:50:58.25,D,oボタン
53,kisitani,slow,2022-06-14,16:50:58.34,U,oボタン
54,kisitani,slow,2022-06-14,16:51:00.00,D,Enterボタン
55,kisitani,slow,2022-06-14,16:51:00.10,U,Enterボタン
56,kisitani,slow,2022-06-14,16:51:00.52,D,sボタン
57,kisitani,slow,2022-06-14,16:51:00.62,U,sボタン
58,kisitani,slow,2022-06-14,16:51:00.95,D,eボタン
59,kisitani,slow,2022-06-14,16:51:01.03,U,eボタン
60,kisitani,slow,2022-06-14,16:51:01.32,D,nボタン
61,kisitani,slow,2022-06-14,16:51:01.42,U,nボタン
62,kisitani,slow,2022-06-14,16:51:01.75,D,sボタン
63,kisitani,slow,2022-06-14,16:51:01.82,U,sボタン
64,kisitani,slow,2022-06-14,16:51:02.05,D,yボタン
65,kisitani,slow,2022-06-14,16:51:02.10,U,yボタン
66,kisitani,slow,2022-06-14,16:51:02.29,D,uボタン
67,kisitani,slow,2022-06-14,16:51:02.36,U,uボタン
68,kisitani,slow,2022-06-14,16:51:03.06,D,Spaceボタン
69,kisitani,slow,2022-06-14,16:51:03.15,U,Spaceボタン
70,kisitani,slow,2022-06-14,16:51:05.05,D,nボタン
