,name,speed,date,time,operation,key
0,okada,normal,2022-06-16,13:59:39.96,D,oボタン
1,okada,normal,2022-06-16,13:59:40.08,U,oボタン
2,okada,normal,2022-06-16,13:59:40.14,D,rボタン
3,okada,normal,2022-06-16,13:59:40.22,U,rボタン
4,okada,normal,2022-06-16,13:59:40.24,D,iボタン
5,okada,normal,2022-06-16,13:59:40.34,U,iボタン
6,okada,normal,2022-06-16,13:59:40.45,D,nボタン
7,okada,normal,2022-06-16,13:59:40.51,U,nボタン
8,okada,normal,2022-06-16,13:59:40.60,D,nボタン
9,okada,normal,2022-06-16,13:59:40.68,U,nボタン
10,okada,normal,2022-06-16,13:59:40.80,D,pボタン
11,okada,normal,2022-06-16,13:59:40.90,U,pボタン
12,okada,normal,2022-06-16,13:59:40.98,D,iボタン
13,okada,normal,2022-06-16,13:59:41.06,U,iボタン
14,okada,normal,2022-06-16,13:59:41.21,D,kボタン
15,okada,normal,2022-06-16,13:59:41.28,U,kボタン
16,okada,normal,2022-06-16,13:59:41.36,D,kボタン
17,okada,normal,2022-06-16,13:59:41.44,U,kボタン
18,okada,normal,2022-06-16,13:59:41.55,D,uボタン
19,okada,normal,2022-06-16,13:59:41.61,U,uボタン
20,okada,normal,2022-06-16,13:59:41.74,D,hボタン
21,okada,normal,2022-06-16,13:59:41.83,U,hボタン
22,okada,normal,2022-06-16,13:59:41.85,D,aボタン
23,okada,normal,2022-06-16,13:59:41.89,D,Spaceボタン
24,okada,normal,2022-06-16,13:59:41.91,U,aボタン
25,okada,normal,2022-06-16,13:59:42.02,U,Spaceボタン
26,okada,normal,2022-06-16,13:59:42.11,D,Enterボタン
27,okada,normal,2022-06-16,13:59:42.18,U,Enterボタン
28,okada,normal,2022-06-16,13:59:42.37,D,kボタン
29,okada,normal,2022-06-16,13:59:42.45,U,kボタン
30,okada,normal,2022-06-16,13:59:42.57,D,iボタン
31,okada,normal,2022-06-16,13:59:42.63,U,iボタン
32,okada,normal,2022-06-16,13:59:42.77,D,kボタン
33,okada,normal,2022-06-16,13:59:42.85,U,kボタン
34,okada,normal,2022-06-16,13:59:42.87,D,aボタン
35,okada,normal,2022-06-16,13:59:42.93,U,aボタン
36,okada,normal,2022-06-16,13:59:42.99,D,iボタン
37,okada,normal,2022-06-16,13:59:43.07,U,iボタン
38,okada,normal,2022-06-16,13:59:43.14,D,tボタン
39,okada,normal,2022-06-16,13:59:43.20,D,aボタン
40,okada,normal,2022-06-16,13:59:43.24,U,tボタン
41,okada,normal,2022-06-16,13:59:43.32,U,aボタン
42,okada,normal,2022-06-16,13:59:43.39,D,iボタン
43,okada,normal,2022-06-16,13:59:43.48,U,iボタン
44,okada,normal,2022-06-16,13:59:43.50,D,sボタン
45,okada,normal,2022-06-16,13:59:43.59,D,oボタン
46,okada,normal,2022-06-16,13:59:43.61,U,sボタン
47,okada,normal,2022-06-16,13:59:43.70,U,oボタン
48,okada,normal,2022-06-16,13:59:43.73,D,uボタン
49,okada,normal,2022-06-16,13:59:43.84,U,uボタン
50,okada,normal,2022-06-16,13:59:43.87,D,Spaceボタン
51,okada,normal,2022-06-16,13:59:43.98,U,Spaceボタン
52,okada,normal,2022-06-16,13:59:44.02,D,nボタン
53,okada,normal,2022-06-16,13:59:44.11,D,oボタン
54,okada,normal,2022-06-16,13:59:44.19,U,nボタン
55,okada,normal,2022-06-16,13:59:44.23,U,oボタン
56,okada,normal,2022-06-16,13:59:44.43,D,Enterボタン
57,okada,normal,2022-06-16,13:59:44.52,U,Enterボタン
58,okada,normal,2022-06-16,13:59:44.53,D,sボタン
59,okada,normal,2022-06-16,13:59:44.61,U,sボタン
60,okada,normal,2022-06-16,13:59:44.71,D,eボタン
61,okada,normal,2022-06-16,13:59:44.79,U,eボタン
62,okada,normal,2022-06-16,13:59:44.86,D,nボタン
63,okada,normal,2022-06-16,13:59:44.93,U,nボタン
64,okada,normal,2022-06-16,13:59:44.99,D,nボタン
65,okada,normal,2022-06-16,13:59:45.10,U,nボタン
66,okada,normal,2022-06-16,13:59:45.12,D,sボタン
67,okada,normal,2022-06-16,13:59:45.22,U,sボタン
68,okada,normal,2022-06-16,13:59:45.29,D,yボタン
69,okada,normal,2022-06-16,13:59:45.40,D,uボタン
70,okada,normal,2022-06-16,13:59:45.42,U,yボタン
71,okada,normal,2022-06-16,13:59:45.44,D,Spaceボタン
72,okada,normal,2022-06-16,13:59:45.48,U,uボタン
73,okada,normal,2022-06-16,13:59:45.56,U,Spaceボタン
74,okada,normal,2022-06-16,13:59:45.66,D,nボタン
75,okada,normal,2022-06-16,13:59:45.75,D,iボタン
76,okada,normal,2022-06-16,13:59:45.80,U,nボタン
77,okada,normal,2022-06-16,13:59:45.87,U,iボタン
78,okada,normal,2022-06-16,13:59:45.99,D,tボタン
79,okada,normal,2022-06-16,13:59:46.07,U,tボタン
80,okada,normal,2022-06-16,13:59:46.17,D,oボタン
81,okada,normal,2022-06-16,13:59:46.25,U,oボタン
82,okada,normal,2022-06-16,13:59:46.34,D,tボタン
83,okada,normal,2022-06-16,13:59:46.40,U,tボタン
84,okada,normal,2022-06-16,13:59:46.50,D,tボタン
85,okada,normal,2022-06-16,13:59:46.62,U,tボタン
86,okada,normal,2022-06-16,13:59:47.18,D,aボタン
87,okada,normal,2022-06-16,13:59:47.34,U,aボタン
88,okada,normal,2022-06-16,13:59:48.22,D,Enterボタン
89,okada,normal,2022-06-16,13:59:48.34,U,Enterボタン
90,okada,normal,2022-06-16,13:59:48.49,D,Enterボタン
91,okada,normal,2022-06-16,13:59:48.58,U,Enterボタン
92,okada,normal,2022-06-16,13:59:51.24,D,oボタン
93,okada,normal,2022-06-16,13:59:51.33,U,oボタン
94,okada,normal,2022-06-16,13:59:51.42,D,rボタン
95,okada,normal,2022-06-16,13:59:51.51,U,rボタン
96,okada,normal,2022-06-16,13:59:51.53,D,iボタン
97,okada,normal,2022-06-16,13:59:51.59,U,iボタン
98,okada,normal,2022-06-16,13:59:51.72,D,iボタン
99,okada,normal,2022-06-16,13:59:51.75,U,iボタン
