,name,speed,date,time,operation,key
0,okada,slow,2022-06-16,13:51:01.61,D,oボタン
1,okada,slow,2022-06-16,13:51:01.73,U,oボタン
2,okada,slow,2022-06-16,13:51:01.86,D,rボタン
3,okada,slow,2022-06-16,13:51:01.95,U,rボタン
4,okada,slow,2022-06-16,13:51:02.07,D,iボタン
5,okada,slow,2022-06-16,13:51:02.20,U,iボタン
6,okada,slow,2022-06-16,13:51:02.38,D,nボタン
7,okada,slow,2022-06-16,13:51:02.46,U,nボタン
8,okada,slow,2022-06-16,13:51:02.53,D,nボタン
9,okada,slow,2022-06-16,13:51:02.65,U,nボタン
10,okada,slow,2022-06-16,13:51:02.82,D,pボタン
11,okada,slow,2022-06-16,13:51:02.92,U,pボタン
12,okada,slow,2022-06-16,13:51:03.38,D,iボタン
13,okada,slow,2022-06-16,13:51:03.51,U,iボタン
14,okada,slow,2022-06-16,13:51:03.73,D,kボタン
15,okada,slow,2022-06-16,13:51:03.81,U,kボタン
16,okada,slow,2022-06-16,13:51:03.92,D,kボタン
17,okada,slow,2022-06-16,13:51:04.01,U,kボタン
18,okada,slow,2022-06-16,13:51:04.23,D,uボタン
19,okada,slow,2022-06-16,13:51:04.35,U,uボタン
20,okada,slow,2022-06-16,13:51:04.50,D,hボタン
21,okada,slow,2022-06-16,13:51:04.59,D,aボタン
22,okada,slow,2022-06-16,13:51:04.62,U,hボタン
23,okada,slow,2022-06-16,13:51:04.72,U,aボタン
24,okada,slow,2022-06-16,13:51:04.83,D,Spaceボタン
25,okada,slow,2022-06-16,13:51:04.97,U,Spaceボタン
26,okada,slow,2022-06-16,13:51:05.10,D,Enterボタン
27,okada,slow,2022-06-16,13:51:05.20,U,Enterボタン
28,okada,slow,2022-06-16,13:51:05.44,D,kボタン
29,okada,slow,2022-06-16,13:51:05.53,U,kボタン
30,okada,slow,2022-06-16,13:51:05.68,D,iボタン
31,okada,slow,2022-06-16,13:51:05.76,U,iボタン
32,okada,slow,2022-06-16,13:51:05.92,D,kボタン
33,okada,slow,2022-06-16,13:51:06.01,U,kボタン
34,okada,slow,2022-06-16,13:51:06.03,D,aボタン
35,okada,slow,2022-06-16,13:51:06.13,U,aボタン
36,okada,slow,2022-06-16,13:51:06.26,D,iボタン
37,okada,slow,2022-06-16,13:51:06.37,U,iボタン
38,okada,slow,2022-06-16,13:51:06.52,D,tボタン
39,okada,slow,2022-06-16,13:51:06.61,D,aボタン
40,okada,slow,2022-06-16,13:51:06.64,U,tボタン
41,okada,slow,2022-06-16,13:51:06.76,U,aボタン
42,okada,slow,2022-06-16,13:51:06.91,D,iボタン
43,okada,slow,2022-06-16,13:51:07.02,U,iボタン
44,okada,slow,2022-06-16,13:51:07.05,D,sボタン
45,okada,slow,2022-06-16,13:51:07.16,U,sボタン
46,okada,slow,2022-06-16,13:51:07.21,D,oボタン
47,okada,slow,2022-06-16,13:51:07.39,U,oボタン
48,okada,slow,2022-06-16,13:51:07.41,D,uボタン
49,okada,slow,2022-06-16,13:51:07.51,U,uボタン
50,okada,slow,2022-06-16,13:51:07.67,D,Spaceボタン
51,okada,slow,2022-06-16,13:51:07.79,U,Spaceボタン
52,okada,slow,2022-06-16,13:51:07.98,D,nボタン
53,okada,slow,2022-06-16,13:51:08.12,D,oボタン
54,okada,slow,2022-06-16,13:51:08.18,U,nボタン
55,okada,slow,2022-06-16,13:51:08.24,U,oボタン
56,okada,slow,2022-06-16,13:51:08.48,D,Enterボタン
57,okada,slow,2022-06-16,13:51:08.57,U,Enterボタン
58,okada,slow,2022-06-16,13:51:08.67,D,sボタン
59,okada,slow,2022-06-16,13:51:08.77,U,sボタン
60,okada,slow,2022-06-16,13:51:08.85,D,eボタン
61,okada,slow,2022-06-16,13:51:08.95,U,eボタン
62,okada,slow,2022-06-16,13:51:09.05,D,nボタン
63,okada,slow,2022-06-16,13:51:09.12,U,nボタン
64,okada,slow,2022-06-16,13:51:09.22,D,nボタン
65,okada,slow,2022-06-16,13:51:09.34,U,nボタン
66,okada,slow,2022-06-16,13:51:09.37,D,sボタン
67,okada,slow,2022-06-16,13:51:09.48,U,sボタン
