周波数 (Hz)	レベル (dB)
43.066406	-30.973789
86.132812	-25.168013
129.199219	-26.854910
172.265625	-35.927750
215.332031	-43.953621
258.398438	-47.746101
301.464844	-45.608440
344.531250	-41.479980
387.597656	-40.189011
430.664062	-40.660694
473.730469	-43.832626
516.796875	-48.592026
559.863281	-49.213970
602.929688	-50.972687
645.996094	-51.031063
689.062500	-52.847027
732.128906	-56.387104
775.195312	-51.665504
818.261719	-47.206867
861.328125	-45.242619
904.394531	-43.689430
947.460938	-45.074883
990.527344	-48.313053
1033.593750	-51.915421
1076.660156	-51.958389
1119.726562	-49.956711
1162.792969	-49.572933
1205.859375	-50.216949
1248.925781	-52.192429
1291.992188	-53.157063
1335.058594	-51.480701
1378.125000	-52.970242
1421.191406	-54.747601
1464.257812	-55.082573
1507.324219	-53.814857
1550.390625	-51.202061
1593.457031	-47.947670
1636.523438	-46.941879
1679.589844	-47.302620
1722.656250	-48.100090
1765.722656	-48.963249
1808.789062	-50.108234
1851.855469	-49.887825
1894.921875	-49.230457
1937.988281	-49.082756
1981.054688	-48.393677
2024.121094	-47.604511
2067.187500	-46.237106
2110.253906	-45.337795
2153.320312	-45.035297
2196.386719	-46.793217
2239.453125	-54.074127
2282.519531	-50.345894
2325.585938	-45.189152
2368.652344	-43.770954
2411.718750	-43.503979
2454.785156	-43.923855
2497.851562	-45.483074
2540.917969	-47.771584
2583.984375	-51.288883
2627.050781	-50.288898
2670.117188	-46.383736
2713.183594	-46.717281
2756.250000	-49.836800
2799.316406	-52.344757
2842.382812	-52.074726
2885.449219	-48.484665
2928.515625	-45.765560
2971.582031	-44.586254
3014.648438	-46.287823
3057.714844	-46.589771
3100.781250	-45.852600
3143.847656	-45.317032
3186.914062	-45.919743
3229.980469	-46.820339
3273.046875	-45.420666
3316.113281	-44.107693
3359.179688	-44.563229
3402.246094	-46.669750
3445.312500	-49.294449
3488.378906	-50.580223
3531.445312	-50.211407
3574.511719	-49.078800
3617.578125	-47.442268
3660.644531	-45.335945
3703.710938	-44.941734
3746.777344	-46.524826
3789.843750	-48.151310
3832.910156	-49.337879
3875.976562	-49.424377
3919.042969	-49.163849
3962.109375	-47.441383
4005.175781	-46.200653
4048.242188	-47.946861
4091.308594	-49.131683
4134.375000	-48.878044
4177.441406	-50.671535
4220.507812	-53.727715
4263.574219	-55.564465
4306.640625	-54.076267
4349.707031	-52.228477
4392.773438	-50.410347
4435.839844	-48.234467
4478.906250	-48.236103
4521.972656	-49.677536
4565.039062	-50.846664
4608.105469	-54.521805
4651.171875	-52.321140
4694.238281	-48.781372
4737.304688	-48.841579
4780.371094	-48.441277
4823.437500	-46.418018
4866.503906	-45.857498
4909.570312	-47.156887
4952.636719	-49.408619
4995.703125	-52.562843
5038.769531	-53.525448
5081.835938	-56.590519
5124.902344	-57.574226
5167.968750	-55.480957
5211.035156	-52.587246
5254.101562	-49.990353
5297.167969	-48.577126
5340.234375	-49.552292
5383.300781	-54.106853
5426.367188	-52.453529
5469.433594	-47.823685
5512.500000	-45.587433
5555.566406	-46.079346
5598.632812	-47.685738
5641.699219	-48.407761
5684.765625	-49.836781
5727.832031	-51.090538
5770.898438	-50.535496
5813.964844	-50.471489
5857.031250	-51.831722
5900.097656	-51.642250
5943.164062	-51.306435
5986.230469	-51.875565
6029.296875	-54.726582
6072.363281	-58.460567
6115.429688	-57.712955
6158.496094	-52.940289
6201.562500	-49.767075
6244.628906	-48.097336
6287.695312	-48.837185
6330.761719	-52.889862
6373.828125	-53.619564
6416.894531	-51.601471
6459.960938	-51.323387
6503.027344	-50.277893
6546.093750	-48.354294
6589.160156	-47.721897
6632.226562	-47.968666
6675.292969	-48.324825
6718.359375	-48.784088
6761.425781	-50.494564
6804.492188	-54.730125
6847.558594	-54.252079
6890.625000	-51.900734
6933.691406	-52.550613
6976.757812	-52.268921
