周波数 (Hz)	レベル (dB)
43.066406	-29.051682
86.132812	-24.081839
129.199219	-24.484608
172.265625	-30.486162
215.332031	-39.260956
258.398438	-45.316914
301.464844	-42.675953
344.531250	-38.508091
387.597656	-39.915054
430.664062	-39.734638
473.730469	-41.829456
516.796875	-44.316238
559.863281	-43.976704
602.929688	-43.610588
645.996094	-44.836819
689.062500	-47.478600
732.128906	-51.710411
775.195312	-47.616802
818.261719	-43.210186
861.328125	-38.802475
904.394531	-36.378613
947.460938	-37.658104
990.527344	-39.711075
1033.593750	-39.453838
1076.660156	-43.756283
1119.726562	-45.110054
1162.792969	-45.345398
1205.859375	-41.118279
1248.925781	-39.314384
1291.992188	-40.389744
1335.058594	-42.739994
1378.125000	-47.702545
1421.191406	-53.994678
1464.257812	-49.679878
1507.324219	-50.415600
1550.390625	-50.992496
1593.457031	-45.616512
1636.523438	-42.268764
1679.589844	-42.138607
1722.656250	-46.502468
1765.722656	-49.482841
1808.789062	-47.502056
1851.855469	-48.883743
1894.921875	-47.322628
1937.988281	-47.438480
1981.054688	-49.992691
2024.121094	-48.781734
2067.187500	-48.202480
2110.253906	-49.813332
2153.320312	-48.762821
2196.386719	-46.762310
2239.453125	-48.558155
2282.519531	-48.357662
2325.585938	-46.950462
2368.652344	-48.881027
2411.718750	-46.938114
2454.785156	-43.449314
2497.851562	-44.995411
2540.917969	-48.996651
2583.984375	-51.255512
2627.050781	-52.083767
2670.117188	-51.999519
2713.183594	-53.003662
2756.250000	-52.256416
2799.316406	-50.624451
2842.382812	-53.064064
2885.449219	-53.109665
2928.515625	-51.519722
2971.582031	-51.482037
3014.648438	-48.768791
3057.714844	-47.147427
3100.781250	-47.409473
3143.847656	-48.707230
3186.914062	-46.589489
3229.980469	-44.160141
3273.046875	-43.054924
3316.113281	-43.229794
3359.179688	-45.615501
3402.246094	-46.321686
3445.312500	-45.195045
3488.378906	-47.429600
3531.445312	-49.329872
3574.511719	-46.881912
3617.578125	-45.219955
3660.644531	-45.121948
3703.710938	-46.401581
3746.777344	-44.587528
3789.843750	-44.143692
3832.910156	-44.545250
3875.976562	-45.336246
3919.042969	-47.150784
3962.109375	-48.204639
4005.175781	-47.319874
4048.242188	-46.143665
4091.308594	-44.255013
4134.375000	-44.391476
4177.441406	-46.086998
4220.507812	-47.294262
4263.574219	-48.705956
4306.640625	-48.828991
4349.707031	-46.587166
4392.773438	-43.625645
4435.839844	-45.182102
4478.906250	-45.538403
4521.972656	-45.731564
4565.039062	-46.128292
4608.105469	-46.893520
4651.171875	-48.006428
4694.238281	-46.892620
4737.304688	-48.189148
4780.371094	-47.240284
4823.437500	-46.435337
4866.503906	-46.506100
4909.570312	-47.477081
4952.636719	-50.193554
4995.703125	-49.802776
5038.769531	-50.576466
5081.835938	-50.617126
5124.902344	-49.956089
5167.968750	-49.511406
5211.035156	-51.549873
5254.101562	-53.957741
5297.167969	-56.849506
5340.234375	-54.152943
5383.300781	-48.695908
5426.367188	-46.391861
5469.433594	-45.311821
5512.500000	-45.843788
5555.566406	-49.203255
5598.632812	-52.827862
5641.699219	-52.394550
5684.765625	-51.408504
5727.832031	-52.264523
5770.898438	-53.209190
5813.964844	-53.405426
5857.031250	-53.419716
5900.097656	-52.910164
5943.164062	-53.795181
5986.230469	-52.263744
6029.296875	-50.662525
6072.363281	-49.666374
6115.429688	-48.541805
6158.496094	-47.225800
6201.562500	-46.308979
6244.628906	-46.106831
6287.695312	-45.935135
6330.761719	-45.711021
6373.828125	-46.232201
6416.894531	-48.497135
6459.960938	-49.281864
6503.027344	-48.813992
6546.093750	-50.023087
6589.160156	-50.264324
6632.226562	-50.056435
6675.292969	-49.484108
6718.359375	-48.429657
6761.425781	-48.189579
6804.492188	-48.587482
6847.558594	-48.730133
6890.625000	-48.748940
6933.691406	-48.010208
6976.757812	-49.663120
7019.824219	-51.144821
7062.890625	-50.951344
7105.957031	-49.362900
7149.023438	-49.388695
7192.089844	-50.162643
7235.156250	-50.371056
7278.222656	-50.516525
7321.289062	-50.033588
7364.355469	-48.436180
7407.421875	-46.935482
7450.488281	-46.877308
7493.554688	-48.767967
7536.621094	-51.534920
7579.687500	-53.175941
7622.753906	-54.187740
7665.820312	-53.742729
7708.886719	-51.920700
7751.953125	-50.252098
7795.019531	-49.461365
7838.085938	-53.029579
7881.152344	-56.536926
7924.218750	-54.017776
7967.285156	-51.920544
8010.351562	-52.024170
8053.417969	-52.328388
8096.484375	-52.974400
8139.550781	-55.429646
8182.617188	-54.744259
8225.683594	-50.892914
8268.750000	-49.136749
8311.816406	-48.911533
8354.882812	-46.884884
8397.949219	-50.144123
8441.015625	-48.804714
8484.082031	-49.168072
8527.148438	-49.655258
8570.214844	-51.341545
8613.281250	-50.261776
8656.347656	-49.476509
8699.414062	-49.876358
8742.480469	-51.197876
8785.546875	-50.686188
8828.613281	-47.648369
8871.679688	-46.551491
8914.746094	-48.044292
8957.812500	-50.233620
9000.878906	-51.037548
9043.945312	-50.379295
9087.011719	-47.714397
9130.078125	-46.007076
9173.144531	-46.548321
9216.210938	-45.746159
9259.277344	-44.546539
9302.343750	-45.455639
9345.410156	-46.826668
9388.476562	-46.874447
9431.542969	-45.035233
9474.609375	-43.581421
9517.675781	-45.089066
9560.742188	-45.988670
9603.808594	-47.803436
9646.875000	-47.691170
9689.941406	-48.095566
9733.007812	-46.349319
9776.074219	-44.543499
9819.140625	-45.398609
9862.207031	-48.663040
9905.273438	-50.334099
9948.339844	-49.485081
9991.406250	-48.579170
10034.472656	-48.752609
10077.539062	-46.242699
10120.605469	-44.874134
10163.671875	-45.173843
10206.738281	-47.342545
10249.804688	-49.525806
10292.871094	-48.597931
10335.937500	-44.915974
10379.003906	-42.893860
10422.070312	-42.990032
10465.136719	-45.314167
10508.203125	-50.195900
10551.269531	-50.090454
10594.335938	-45.370567
10637.402344	-43.333004
10680.468750	-44.889885
10723.535156	-47.423325
10766.601562	-49.731174
10809.667969	-48.734818
10852.734375	-46.703644
10895.800781	-45.526531
10938.867188	-45.032883
10981.933594	-44.698635
