周波数 (Hz)	レベル (dB)
43.066406	-28.104549
86.132812	-25.627953
129.199219	-27.437895
172.265625	-33.127945
215.332031	-39.067204
258.398438	-44.273384
301.464844	-42.214779
344.531250	-40.787743
387.597656	-39.752453
430.664062	-40.599953
473.730469	-41.795956
516.796875	-44.313362
559.863281	-47.305855
602.929688	-52.038620
645.996094	-51.292767
689.062500	-52.709000
732.128906	-52.791740
775.195312	-50.868259
818.261719	-47.766956
861.328125	-46.831505
904.394531	-48.281719
947.460938	-51.655895
990.527344	-51.535675
1033.593750	-51.268204
1076.660156	-51.012756
1119.726562	-49.901852
1162.792969	-49.319168
1205.859375	-50.565086
1248.925781	-50.545177
1291.992188	-47.547470
1335.058594	-46.972778
1378.125000	-47.088112
1421.191406	-48.140938
1464.257812	-50.706142
1507.324219	-51.701641
1550.390625	-48.854519
1593.457031	-47.189270
1636.523438	-44.680634
1679.589844	-42.450348
1722.656250	-41.927444
1765.722656	-43.100494
1808.789062	-44.301823
1851.855469	-46.127666
1894.921875	-46.711140
1937.988281	-47.634602
1981.054688	-50.044746
2024.121094	-50.984848
2067.187500	-51.061394
2110.253906	-53.605412
2153.320312	-50.041420
2196.386719	-49.334274
2239.453125	-52.914028
2282.519531	-53.447479
2325.585938	-56.130459
2368.652344	-55.953094
2411.718750	-52.318851
2454.785156	-46.894867
2497.851562	-43.739315
2540.917969	-43.117294
2583.984375	-44.085251
2627.050781	-45.291740
2670.117188	-45.257851
2713.183594	-43.970436
2756.250000	-44.202805
2799.316406	-44.622421
2842.382812	-45.351696
2885.449219	-46.784401
2928.515625	-46.963612
2971.582031	-45.817783
3014.648438	-44.333424
3057.714844	-43.957405
3100.781250	-42.539768
3143.847656	-42.925816
3186.914062	-45.852905
3229.980469	-45.150723
3273.046875	-45.190521
3316.113281	-45.657513
3359.179688	-47.894382
3402.246094	-47.145168
3445.312500	-44.406788
3488.378906	-42.834682
3531.445312	-41.947453
3574.511719	-43.449509
3617.578125	-44.862976
3660.644531	-44.345055
3703.710938	-45.355537
3746.777344	-45.270519
3789.843750	-46.255966
