周波数 (Hz)	レベル (dB)
43.066406	-28.501486
86.132812	-26.955544
129.199219	-29.312263
172.265625	-34.078316
215.332031	-36.307583
258.398438	-42.176121
301.464844	-40.847916
344.531250	-39.671524
387.597656	-44.648693
430.664062	-42.786171
473.730469	-42.351467
516.796875	-39.889275
559.863281	-41.016113
602.929688	-42.664650
645.996094	-42.767139
689.062500	-44.483700
732.128906	-47.123867
775.195312	-43.738060
818.261719	-40.732895
861.328125	-41.584492
904.394531	-43.596470
947.460938	-46.269207
990.527344	-46.731407
1033.593750	-47.473259
1076.660156	-46.481644
1119.726562	-47.768387
1162.792969	-52.557377
1205.859375	-49.675781
1248.925781	-45.086025
1291.992188	-44.448463
1335.058594	-45.157524
1378.125000	-44.783161
1421.191406	-46.293995
1464.257812	-47.002647
1507.324219	-44.912178
1550.390625	-43.045643
1593.457031	-42.736759
1636.523438	-44.362831
1679.589844	-46.119858
1722.656250	-44.643921
1765.722656	-42.098618
1808.789062	-40.410172
1851.855469	-40.314133
1894.921875	-41.506622
1937.988281	-43.028145
1981.054688	-45.877693
2024.121094	-47.514225
2067.187500	-43.964592
2110.253906	-42.587078
2153.320312	-43.036736
2196.386719	-45.102341
2239.453125	-47.250771
2282.519531	-43.877934
2325.585938	-40.695286
2368.652344	-40.453007
2411.718750	-41.358601
2454.785156	-41.276436
2497.851562	-41.326843
2540.917969	-42.226715
2583.984375	-41.718540
2627.050781	-40.642719
2670.117188	-40.887974
2713.183594	-41.908344
2756.250000	-42.585358
2799.316406	-43.598988
2842.382812	-45.087875
2885.449219	-44.337143
2928.515625	-42.121174
2971.582031	-40.961590
3014.648438	-40.320534
3057.714844	-39.549625
3100.781250	-39.369568
3143.847656	-39.855480
3186.914062	-39.973335
3229.980469	-40.530148
3273.046875	-43.124889
3316.113281	-43.725288
3359.179688	-40.303787
3402.246094	-39.222935
3445.312500	-40.186104
3488.378906	-43.166363
3531.445312	-46.261372
3574.511719	-47.115685
3617.578125	-43.063107
3660.644531	-42.047611
3703.710938	-43.400974
3746.777344	-44.565090
3789.843750	-43.569477
3832.910156	-41.850342
3875.976562	-40.975895
3919.042969	-41.193172
3962.109375	-42.094650
4005.175781	-42.194401
4048.242188	-41.624741
4091.308594	-42.040520
4134.375000	-43.533363
4177.441406	-45.205338
4220.507812	-46.017254
4263.574219	-44.937862
4306.640625	-44.386868
4349.707031	-45.402599
4392.773438	-45.603085
4435.839844	-44.881176
4478.906250	-45.234413
4521.972656	-48.806900
4565.039062	-52.770000
4608.105469	-52.136654
4651.171875	-52.471027
4694.238281	-48.318382
4737.304688	-45.790493
4780.371094	-46.676060
4823.437500	-49.773029
4866.503906	-51.455296
4909.570312	-50.964924
4952.636719	-48.496471
4995.703125	-49.223515
5038.769531	-51.945984
5081.835938	-50.981812
5124.902344	-49.746014
5167.968750	-48.278187
5211.035156	-47.959759
5254.101562	-48.878410
5297.167969	-50.670277
5340.234375	-50.623886
5383.300781	-50.184540
5426.367188	-52.197239
5469.433594	-55.468887
5512.500000	-52.142147
5555.566406	-51.388802
5598.632812	-52.666950
5641.699219	-54.233402
5684.765625	-52.392410
5727.832031	-49.288582
5770.898438	-48.202702
5813.964844	-47.200233
5857.031250	-47.153236
5900.097656	-47.609177
5943.164062	-47.183990
5986.230469	-48.039944
6029.296875	-48.250198
6072.363281	-47.397560
6115.429688	-48.742950
6158.496094	-51.302200
6201.562500	-50.336746
6244.628906	-48.664448
6287.695312	-47.665462
6330.761719	-50.951042
6373.828125	-53.582329
6416.894531	-48.471626
6459.960938	-47.100597
6503.027344	-48.779690
6546.093750	-54.742153
6589.160156	-51.700085
6632.226562	-53.049274
6675.292969	-52.528172
6718.359375	-50.738472
6761.425781	-53.138226
6804.492188	-52.193913
6847.558594	-51.046913
6890.625000	-49.138042
6933.691406	-48.544849
6976.757812	-50.598263
7019.824219	-49.493309
7062.890625	-45.635647
7105.957031	-45.677757
7149.023438	-47.504440
7192.089844	-47.610554
7235.156250	-48.763023
7278.222656	-49.648407
7321.289062	-47.226440
7364.355469	-45.516270
7407.421875	-44.768333
7450.488281	-45.995396
7493.554688	-48.607315
7536.621094	-49.846516
7579.687500	-50.975754
7622.753906	-51.331314
7665.820312	-50.403217
7708.886719	-50.828896
7751.953125	-51.744114
7795.019531	-50.770725
7838.085938	-52.916992
7881.152344	-57.495251
7924.218750	-55.567738
7967.285156	-52.012897
8010.351562	-50.715714
