周波数 (Hz)	レベル (dB)
43.066406	-31.790720
86.132812	-28.583380
129.199219	-31.049601
172.265625	-39.201370
215.332031	-41.843876
258.398438	-46.413044
301.464844	-49.351688
344.531250	-47.874832
387.597656	-46.223141
430.664062	-45.579239
473.730469	-45.884964
516.796875	-49.567875
559.863281	-56.191879
602.929688	-61.082054
645.996094	-59.969269
689.062500	-59.402962
732.128906	-60.285076
775.195312	-60.800823
818.261719	-58.402023
861.328125	-58.082623
904.394531	-58.665737
947.460938	-61.107052
990.527344	-59.721050
1033.593750	-59.058987
1076.660156	-58.503151
1119.726562	-56.428921
1162.792969	-58.373096
1205.859375	-61.887348
1248.925781	-62.444454
1291.992188	-57.784172
1335.058594	-55.980118
1378.125000	-56.542198
1421.191406	-60.045692
1464.257812	-61.308212
1507.324219	-59.949657
1550.390625	-57.694962
1593.457031	-55.977211
1636.523438	-55.657948
1679.589844	-55.462231
1722.656250	-56.608826
1765.722656	-58.923897
1808.789062	-59.992664
1851.855469	-59.747051
1894.921875	-58.519524
1937.988281	-57.845596
1981.054688	-56.936760
2024.121094	-56.348454
2067.187500	-56.180668
2110.253906	-56.774403
2153.320312	-57.451187
2196.386719	-58.487053
2239.453125	-58.759918
2282.519531	-56.578640
2325.585938	-53.775288
2368.652344	-52.126938
2411.718750	-52.001724
2454.785156	-53.479103
2497.851562	-54.514465
2540.917969	-55.314434
2583.984375	-55.871964
2627.050781	-55.757881
2670.117188	-54.824619
2713.183594	-54.921391
2756.250000	-55.080105
2799.316406	-55.752106
2842.382812	-55.920086
2885.449219	-55.185806
2928.515625	-54.998886
2971.582031	-55.773857
3014.648438	-54.538376
3057.714844	-52.532768
3100.781250	-50.992477
3143.847656	-49.440094
3186.914062	-48.097088
3229.980469	-48.669392
3273.046875	-50.774967
3316.113281	-51.413731
3359.179688	-50.563660
3402.246094	-49.717163
3445.312500	-49.613529
3488.378906	-49.184883
3531.445312	-49.136326
3574.511719	-50.420639
3617.578125	-51.832222
3660.644531	-51.393711
3703.710938	-50.342495
3746.777344	-49.059353
3789.843750	-49.399727
3832.910156	-50.393341
3875.976562	-52.453846
3919.042969	-53.788925
3962.109375	-53.442535
4005.175781	-53.478779
4048.242188	-53.256054
4091.308594	-54.078220
4134.375000	-54.937435
4177.441406	-55.352821
4220.507812	-55.777298
4263.574219	-55.135914
4306.640625	-55.176201
4349.707031	-55.305195
4392.773438	-54.620346
4435.839844	-54.808830
4478.906250	-54.973351
4521.972656	-54.152573
4565.039062	-54.748917
4608.105469	-54.918896
4651.171875	-53.796272
4694.238281	-53.261761
4737.304688	-52.822548
