周波数 (Hz)	レベル (dB)
43.066406	-31.150820
86.132812	-28.248087
129.199219	-30.925430
172.265625	-40.043442
215.332031	-44.939655
258.398438	-50.242893
301.464844	-47.124985
344.531250	-47.858948
387.597656	-47.413799
430.664062	-46.079445
473.730469	-49.564064
516.796875	-52.650532
559.863281	-57.245541
602.929688	-62.464699
645.996094	-62.144108
689.062500	-62.267296
732.128906	-61.551769
775.195312	-63.419209
818.261719	-63.266998
861.328125	-62.204536
904.394531	-60.484337
947.460938	-61.062611
990.527344	-61.292473
1033.593750	-60.885632
1076.660156	-60.656807
1119.726562	-62.562485
1162.792969	-65.861237
1205.859375	-63.666668
1248.925781	-63.324821
1291.992188	-59.849979
1335.058594	-57.639832
1378.125000	-59.411278
1421.191406	-62.472641
1464.257812	-63.696613
1507.324219	-63.055332
1550.390625	-58.967606
1593.457031	-56.835667
1636.523438	-56.793831
1679.589844	-58.841042
1722.656250	-59.646881
1765.722656	-57.876293
1808.789062	-58.030838
1851.855469	-58.079708
1894.921875	-57.766354
1937.988281	-58.702606
1981.054688	-59.005196
2024.121094	-58.751301
2067.187500	-60.431488
2110.253906	-65.408127
2153.320312	-65.693733
2196.386719	-63.130417
2239.453125	-63.550858
2282.519531	-62.892139
2325.585938	-60.578094
2368.652344	-57.791039
2411.718750	-55.907097
2454.785156	-56.129913
2497.851562	-56.802990
2540.917969	-57.933598
2583.984375	-60.748707
2627.050781	-59.735664
2670.117188	-58.025097
2713.183594	-57.186661
2756.250000	-57.546585
2799.316406	-59.094791
2842.382812	-60.967663
2885.449219	-62.609314
2928.515625	-62.086212
2971.582031	-61.609592
3014.648438	-61.700172
3057.714844	-60.712063
3100.781250	-60.264900
3143.847656	-60.068962
3186.914062	-59.180302
3229.980469	-57.906178
3273.046875	-58.082287
3316.113281	-58.970657
3359.179688	-58.672268
3402.246094	-58.034615
3445.312500	-57.503014
3488.378906	-56.750278
3531.445312	-57.046150
3574.511719	-57.574825
3617.578125	-57.013584
3660.644531	-56.319149
3703.710938	-56.647129
3746.777344	-56.066074
3789.843750	-57.511833
3832.910156	-58.559387
3875.976562	-59.441418
3919.042969	-62.017441
3962.109375	-63.611012
4005.175781	-66.956429
4048.242188	-67.245087
4091.308594	-64.852928
4134.375000	-61.882694
4177.441406	-60.347973
4220.507812	-60.627537
4263.574219	-62.283924
4306.640625	-63.638199
4349.707031	-63.073322
4392.773438	-62.346222
4435.839844	-61.593956
4478.906250	-61.121437
4521.972656	-60.094383
4565.039062	-59.933701
4608.105469	-60.455162
4651.171875	-61.834091
4694.238281	-62.989048
4737.304688	-63.417076
4780.371094	-60.908527
4823.437500	-58.725723
4866.503906	-57.295246
4909.570312	-56.968529
4952.636719	-57.293072
4995.703125	-58.653172
5038.769531	-60.347946
5081.835938	-61.836311
5124.902344	-62.170452
5167.968750	-61.855659
5211.035156	-63.832771
5254.101562	-64.192535
5297.167969	-64.530090
5340.234375	-64.818687
5383.300781	-65.503868
5426.367188	-66.971756
5469.433594	-67.710548
5512.500000	-66.537804
5555.566406	-64.403046
5598.632812	-63.749741
5641.699219	-63.735443
5684.765625	-64.086555
5727.832031	-66.362885
5770.898438	-65.252449
5813.964844	-64.626183
5857.031250	-65.300865
5900.097656	-66.031059
5943.164062	-66.774002
5986.230469	-67.093269
6029.296875	-67.344543
6072.363281	-65.474701
6115.429688	-65.338470
6158.496094	-64.595200
6201.562500	-63.387108
6244.628906	-64.100914
6287.695312	-64.958107
6330.761719	-63.007042
6373.828125	-63.067917
6416.894531	-64.575989
6459.960938	-63.786289
6503.027344	-64.084274
6546.093750	-63.954193
6589.160156	-63.740776
6632.226562	-64.322731
6675.292969	-64.675728
6718.359375	-65.663628
6761.425781	-63.886719
6804.492188	-62.652267
6847.558594	-63.691326
6890.625000	-64.997139
6933.691406	-62.001480
6976.757812	-60.170376
7019.824219	-60.256508
7062.890625	-59.125309
7105.957031	-58.038929
7149.023438	-57.165421
7192.089844	-59.414665
7235.156250	-62.281174
7278.222656	-62.774910
7321.289062	-62.295074
7364.355469	-62.213631
7407.421875	-62.957840
7450.488281	-61.589180
7493.554688	-60.538120
7536.621094	-61.487789
7579.687500	-63.241371
7622.753906	-65.658295
7665.820312	-66.869675
7708.886719	-66.053658
7751.953125	-65.075073
7795.019531	-63.370445
7838.085938	-62.334160
7881.152344	-63.091557
7924.218750	-64.803055
7967.285156	-64.863472
8010.351562	-64.570572
8053.417969	-64.885223
8096.484375	-65.009499
8139.550781	-63.144226
8182.617188	-61.867577
8225.683594	-63.010994
8268.750000	-63.966930
8311.816406	-64.485130
8354.882812	-66.167618
8397.949219	-65.120552
8441.015625	-63.106453
8484.082031	-61.645206
8527.148438	-62.029369
8570.214844	-62.486832
8613.281250	-62.269554
8656.347656	-64.045853
8699.414062	-65.171463
8742.480469	-64.884064
8785.546875	-61.918327
8828.613281	-60.817135
8871.679688	-62.760777
8914.746094	-66.224297
8957.812500	-67.923607
9000.878906	-68.431038
9043.945312	-65.154655
9087.011719	-63.491173
9130.078125	-64.592148
9173.144531	-65.500778
9216.210938	-66.257828
9259.277344	-64.642815
9302.343750	-62.618973
9345.410156	-62.778767
9388.476562	-62.893864
9431.542969	-62.701561
9474.609375	-61.443531
9517.675781	-62.089260
9560.742188	-63.681526
9603.808594	-62.676315
9646.875000	-61.978336
9689.941406	-61.435879
9733.007812	-60.793091
9776.074219	-59.417435
9819.140625	-58.451393
9862.207031	-58.949337
9905.273438	-59.265991
9948.339844	-58.719849
9991.406250	-60.768814
10034.472656	-64.051384
10077.539062	-63.322941
10120.605469	-62.623215
10163.671875	-62.286728
10206.738281	-61.954037
10249.804688	-62.520493
10292.871094	-62.893147
10335.937500	-63.281052
10379.003906	-62.314434
10422.070312	-60.995319
10465.136719	-61.754593
10508.203125	-62.364067
10551.269531	-63.002792
10594.335938	-66.638741
10637.402344	-68.460220
10680.468750	-65.700340
10723.535156	-63.082703
10766.601562	-61.282612
10809.667969	-60.396652
10852.734375	-60.958603
10895.800781	-61.667923
10938.867188	-62.003620
10981.933594	-61.967236
11025.000000	-60.551392
11068.066406	-58.091034
11111.132812	-57.003426
11154.199219	-57.168476
11197.265625	-56.860340
11240.332031	-56.118893
11283.398438	-57.799194
11326.464844	-58.608315
11369.531250	-57.873150
11412.597656	-59.206787
11455.664062	-60.684196
11498.730469	-58.718723
11541.796875	-57.097912
11584.863281	-56.628780
11627.929688	-58.902416
11670.996094	-60.084297
11714.062500	-59.220177
11757.128906	-58.764030
11800.195312	-58.933605
11843.261719	-58.408836
11886.328125	-59.226067
11929.394531	-60.655888
11972.460938	-61.187538
12015.527344	-61.472691
12058.593750	-61.756977
12101.660156	-58.467770
12144.726562	-55.870613
12187.792969	-55.504444
12230.859375	-55.675961
12273.925781	-54.832172
12316.992188	-54.752716
12360.058594	-54.943573
12403.125000	-56.678631
12446.191406	-58.454868
12489.257812	-59.003048
12532.324219	-57.242001
12575.390625	-57.776291
12618.457031	-61.576099
12661.523438	-63.064651
12704.589844	-61.117970
12747.656250	-59.321068
12790.722656	-57.113857
12833.789062	-55.536091
12876.855469	-55.479927
12919.921875	-57.089558
12962.988281	-57.515240
13006.054688	-56.439518
13049.121094	-54.998959
13092.187500	-54.645813
13135.253906	-55.439781
13178.320312	-55.553993
13221.386719	-56.393810
13264.453125	-56.807537
13307.519531	-55.483906
13350.585938	-53.934822
13393.652344	-53.725658
13436.718750	-54.230484
13479.785156	-55.591545
13522.851562	-56.070320
13565.917969	-55.673172
13608.984375	-56.352551
13652.050781	-56.704025
13695.117188	-56.694603
13738.183594	-57.218918
13781.250000	-57.797825
13824.316406	-57.032104
13867.382812	-56.743404
13910.449219	-57.115108
13953.515625	-56.879585
13996.582031	-57.122337
14039.648438	-58.389088
14082.714844	-59.556839
14125.781250	-58.495609
14168.847656	-56.871170
14211.914062	-57.027382
14254.980469	-57.153435
14298.046875	-56.680790
14341.113281	-54.659077
14384.179688	-53.359390
14427.246094	-53.761917
14470.312500	-54.649063
14513.378906	-52.983627
14556.445312	-51.916912
14599.511719	-52.513718
14642.578125	-53.467766
14685.644531	-54.649536
14728.710938	-53.450657
14771.777344	-51.112812
14814.843750	-50.478146
14857.910156	-51.370720
14900.976562	-51.993553
14944.042969	-52.168495
14987.109375	-52.318314
15030.175781	-52.582829
15073.242188	-52.742058
15116.308594	-53.059872
15159.375000	-52.297180
15202.441406	-51.412498
15245.507812	-51.522148
15288.574219	-52.325996
15331.640625	-52.573643
15374.707031	-51.596405
15417.773438	-52.417526
15460.839844	-52.014874
15503.906250	-52.288239
15546.972656	-52.481030
15590.039062	-53.416634
15633.105469	-53.325783
15676.171875	-52.030415
15719.238281	-51.759396
15762.304688	-51.725182
15805.371094	-52.059948
15848.437500	-52.480991
15891.503906	-54.074417
15934.570312	-56.394707
15977.636719	-56.042980
16020.703125	-55.458092
16063.769531	-54.549870
16106.835938	-54.518673
16149.902344	-55.203098
16192.968750	-55.964424
16236.035156	-55.459354
16279.101562	-53.549099
16322.167969	-52.938110
16365.234375	-53.031063
16408.300781	-52.442978
16451.367188	-51.741890
16494.433594	-52.276150
16537.500000	-51.405762
16580.566406	-50.356525
16623.632812	-49.773949
16666.699219	-50.667828
16709.765625	-50.901760
16752.832031	-50.290176
16795.898438	-49.740238
16838.964844	-50.447418
16882.031250	-51.946053
16925.097656	-52.734165
16968.164062	-53.257420
17011.230469	-52.559837
17054.296875	-53.298786
17097.363281	-55.340546
17140.429688	-56.555500
17183.496094	-54.581608
17226.562500	-52.284660
17269.628906	-51.812515
17312.695312	-51.545528
17355.761719	-52.288795
17398.828125	-53.262394
17441.894531	-54.753441
17484.960938	-54.961330
17528.027344	-52.817574
17571.093750	-52.467339
17614.160156	-53.137608
17657.226562	-54.225719
17700.292969	-56.071018
17743.359375	-55.185780
17786.425781	-53.688805
17829.492188	-53.088821
17872.558594	-51.913834
17915.625000	-50.629974
17958.691406	-49.910210
18001.757812	-49.237740
18044.824219	-49.274250
18087.890625	-50.558380
18130.957031	-52.759037
18174.023438	-54.492531
18217.089844	-55.047108
18260.156250	-53.329384
18303.222656	-52.203178
18346.289062	-51.890289
18389.355469	-51.703148
18432.421875	-52.528248
18475.488281	-53.751564
18518.554688	-55.080540
18561.621094	-55.531021
18604.687500	-55.401203
18647.753906	-54.374237
18690.820312	-53.310074
