周波数 (Hz)	レベル (dB)
43.066406	-29.477030
86.132812	-24.725214
129.199219	-26.622225
172.265625	-34.320267
215.332031	-41.071568
258.398438	-46.365204
301.464844	-46.326012
344.531250	-40.373287
387.597656	-38.104118
430.664062	-38.403347
473.730469	-42.209606
516.796875	-48.168442
559.863281	-48.287136
602.929688	-49.481537
645.996094	-49.876678
689.062500	-53.514923
732.128906	-55.220242
775.195312	-52.529793
818.261719	-48.268082
861.328125	-45.762550
904.394531	-44.099705
947.460938	-44.169365
990.527344	-45.585339
1033.593750	-46.793022
1076.660156	-48.720768
1119.726562	-50.741291
1162.792969	-52.828995
1205.859375	-55.815426
1248.925781	-56.311340
1291.992188	-53.330521
1335.058594	-53.032917
1378.125000	-56.358315
1421.191406	-55.538223
1464.257812	-52.485558
1507.324219	-47.806038
1550.390625	-45.989311
1593.457031	-44.919975
1636.523438	-42.555195
1679.589844	-43.283421
1722.656250	-46.275383
1765.722656	-49.461632
1808.789062	-51.756096
1851.855469	-50.807068
1894.921875	-48.990097
1937.988281	-48.998611
1981.054688	-50.796722
2024.121094	-51.982174
2067.187500	-54.061855
2110.253906	-49.327328
2153.320312	-48.423054
2196.386719	-50.906231
2239.453125	-51.279694
2282.519531	-50.534756
2325.585938	-47.363991
2368.652344	-43.383232
2411.718750	-41.265434
2454.785156	-42.656479
2497.851562	-46.315838
2540.917969	-48.951981
2583.984375	-55.370975
2627.050781	-52.254002
2670.117188	-47.222797
2713.183594	-47.248421
2756.250000	-50.102459
2799.316406	-51.467377
2842.382812	-49.275745
2885.449219	-48.840668
2928.515625	-46.933155
2971.582031	-43.044365
3014.648438	-42.470760
3057.714844	-45.306816
3100.781250	-49.305565
3143.847656	-50.706676
3186.914062	-48.132507
3229.980469	-47.833557
3273.046875	-49.213745
3316.113281	-51.503620
3359.179688	-57.079678
3402.246094	-52.717175
3445.312500	-48.802895
3488.378906	-47.959953
3531.445312	-49.695412
3574.511719	-51.404213
3617.578125	-53.499092
3660.644531	-55.463840
3703.710938	-49.261631
3746.777344	-48.074646
3789.843750	-50.020359
3832.910156	-50.220959
3875.976562	-50.807175
3919.042969	-54.275318
3962.109375	-53.446270
4005.175781	-51.230755
4048.242188	-49.439106
4091.308594	-48.774532
4134.375000	-48.159538
4177.441406	-47.183994
4220.507812	-47.386768
4263.574219	-47.666107
4306.640625	-46.735237
4349.707031	-49.401669
4392.773438	-51.884109
4435.839844	-51.639820
4478.906250	-48.589573
4521.972656	-48.938091
4565.039062	-52.689056
4608.105469	-56.171955
4651.171875	-55.166309
4694.238281	-54.844597
4737.304688	-56.044540
4780.371094	-53.754578
4823.437500	-52.641521
4866.503906	-53.065205
4909.570312	-53.823933
4952.636719	-52.485828
4995.703125	-51.523060
5038.769531	-48.304977
5081.835938	-46.221668
5124.902344	-45.709049
5167.968750	-47.180931
5211.035156	-51.580399
5254.101562	-57.117176
5297.167969	-57.466484
5340.234375	-54.006180
5383.300781	-55.395409
5426.367188	-55.160343
5469.433594	-53.065979
5512.500000	-50.388123
5555.566406	-48.205360
5598.632812	-47.426201
5641.699219	-47.603954
5684.765625	-47.934151
5727.832031	-48.787918
5770.898438	-50.963493
5813.964844	-52.326111
5857.031250	-52.840050
5900.097656	-55.402969
5943.164062	-52.380890
5986.230469	-50.556965
6029.296875	-51.663757
6072.363281	-51.514633
6115.429688	-50.217514
6158.496094	-49.100124
6201.562500	-48.676697
6244.628906	-49.607021
6287.695312	-51.266083
6330.761719	-52.975304
6373.828125	-54.162704
6416.894531	-53.021614
