周波数 (Hz)	レベル (dB)
43.066406	-27.714626
86.132812	-24.750763
129.199219	-27.049860
172.265625	-34.017193
215.332031	-39.196941
258.398438	-44.982449
301.464844	-44.114975
344.531250	-41.055206
387.597656	-41.375862
430.664062	-41.456654
473.730469	-46.042473
516.796875	-48.424469
559.863281	-46.493114
602.929688	-46.577465
645.996094	-49.209671
689.062500	-53.161690
732.128906	-54.406727
775.195312	-52.206909
818.261719	-46.178295
861.328125	-42.238621
904.394531	-40.546364
947.460938	-42.919415
990.527344	-46.232788
1033.593750	-47.109592
1076.660156	-51.218895
1119.726562	-53.139774
1162.792969	-51.561104
1205.859375	-51.026051
1248.925781	-50.722820
1291.992188	-53.675087
1335.058594	-48.209881
1378.125000	-45.494202
1421.191406	-44.756329
1464.257812	-45.438942
1507.324219	-45.513683
1550.390625	-45.285149
1593.457031	-44.889107
1636.523438	-45.133331
1679.589844	-45.594833
1722.656250	-45.405991
1765.722656	-44.870667
1808.789062	-45.320114
1851.855469	-47.192841
1894.921875	-49.512379
1937.988281	-50.036213
1981.054688	-50.579861
2024.121094	-51.258511
2067.187500	-49.319706
2110.253906	-46.751896
2153.320312	-45.437817
2196.386719	-46.269600
2239.453125	-48.436825
2282.519531	-49.615181
2325.585938	-48.280529
2368.652344	-46.075771
2411.718750	-43.917797
2454.785156	-41.929886
2497.851562	-41.469124
2540.917969	-42.005199
2583.984375	-41.297554
2627.050781	-40.739021
2670.117188	-41.846039
2713.183594	-43.293949
2756.250000	-44.657475
2799.316406	-46.431068
2842.382812	-47.948414
2885.449219	-48.349766
2928.515625	-47.307598
2971.582031	-45.513027
3014.648438	-43.199100
3057.714844	-41.882641
3100.781250	-42.280312
3143.847656	-43.783710
3186.914062	-44.550339
3229.980469	-43.856953
3273.046875	-43.331177
3316.113281	-43.906212
3359.179688	-45.446884
3402.246094	-46.444630
3445.312500	-45.701851
3488.378906	-45.878487
3531.445312	-46.727722
3574.511719	-47.815247
3617.578125	-50.023499
3660.644531	-52.055149
3703.710938	-47.668827
3746.777344	-44.466290
3789.843750	-44.107487
3832.910156	-45.560360
3875.976562	-47.992756
3919.042969	-49.543026
3962.109375	-50.224976
4005.175781	-48.802578
4048.242188	-46.749386
