周波数 (Hz)	レベル (dB)
43.066406	-28.476397
86.132812	-23.836466
129.199219	-24.951178
172.265625	-31.231182
215.332031	-37.462360
258.398438	-43.931427
301.464844	-43.454052
344.531250	-40.196445
387.597656	-41.062454
430.664062	-40.482407
473.730469	-41.917412
516.796875	-41.411793
559.863281	-41.844521
602.929688	-45.609581
645.996094	-47.505978
689.062500	-44.992268
732.128906	-45.829113
775.195312	-44.638340
818.261719	-41.815788
861.328125	-42.479286
904.394531	-42.315628
947.460938	-42.309479
990.527344	-42.036034
1033.593750	-41.863407
1076.660156	-42.250984
1119.726562	-43.081814
1162.792969	-45.172821
1205.859375	-43.769245
1248.925781	-43.374332
1291.992188	-43.979355
1335.058594	-46.920666
1378.125000	-50.109570
1421.191406	-47.782528
1464.257812	-47.927040
1507.324219	-49.867645
1550.390625	-50.090931
1593.457031	-47.614578
1636.523438	-43.604469
1679.589844	-41.767784
1722.656250	-43.317417
1765.722656	-47.555908
1808.789062	-43.955353
1851.855469	-40.760750
1894.921875	-41.811218
1937.988281	-45.672222
1981.054688	-47.233536
2024.121094	-47.029198
2067.187500	-44.753521
2110.253906	-44.617409
2153.320312	-46.424816
2196.386719	-48.432953
2239.453125	-50.640961
2282.519531	-47.835087
2325.585938	-44.221523
2368.652344	-41.982239
2411.718750	-40.353283
2454.785156	-39.382862
2497.851562	-38.879749
2540.917969	-40.460556
2583.984375	-42.602909
2627.050781	-45.331509
2670.117188	-49.571953
2713.183594	-50.318176
2756.250000	-49.382969
2799.316406	-48.304455
2842.382812	-47.100391
2885.449219	-47.589622
2928.515625	-47.757416
2971.582031	-47.831699
3014.648438	-48.328594
3057.714844	-48.873646
3100.781250	-47.025879
3143.847656	-47.023075
3186.914062	-47.338772
3229.980469	-45.153259
3273.046875	-43.835224
3316.113281	-43.268497
3359.179688	-42.106880
3402.246094	-41.979267
3445.312500	-41.995064
3488.378906	-43.506878
3531.445312	-44.671341
3574.511719	-45.823620
3617.578125	-42.764339
3660.644531	-40.641911
3703.710938	-40.427151
3746.777344	-42.538250
3789.843750	-45.945587
3832.910156	-49.144859
3875.976562	-46.044018
3919.042969	-43.505016
3962.109375	-42.409546
4005.175781	-43.326515
4048.242188	-43.509724
