周波数 (Hz)	レベル (dB)
43.066406	-29.217140
86.132812	-26.241356
129.199219	-28.779238
172.265625	-33.760269
215.332031	-36.601322
258.398438	-42.644756
301.464844	-41.639675
344.531250	-40.884716
387.597656	-43.788025
430.664062	-44.020168
473.730469	-41.973423
516.796875	-41.172771
559.863281	-44.925758
602.929688	-46.097683
645.996094	-40.451115
689.062500	-40.586575
732.128906	-44.972374
775.195312	-46.128742
818.261719	-42.807289
861.328125	-42.608616
904.394531	-43.843742
947.460938	-43.484783
990.527344	-44.496071
1033.593750	-48.687542
1076.660156	-45.106274
1119.726562	-42.300335
1162.792969	-44.498569
1205.859375	-48.015942
1248.925781	-45.750648
1291.992188	-45.633785
1335.058594	-46.778263
1378.125000	-47.938366
1421.191406	-48.733967
1464.257812	-48.250759
1507.324219	-44.887234
1550.390625	-45.131363
1593.457031	-46.222961
1636.523438	-44.530853
1679.589844	-43.068756
1722.656250	-41.629448
1765.722656	-42.034893
1808.789062	-42.932453
1851.855469	-44.166920
1894.921875	-42.649727
1937.988281	-41.724884
1981.054688	-43.498798
2024.121094	-47.053005
2067.187500	-45.873238
2110.253906	-44.700897
2153.320312	-44.772381
2196.386719	-47.257812
2239.453125	-49.883648
2282.519531	-47.686981
2325.585938	-44.230068
2368.652344	-43.120049
2411.718750	-46.194763
2454.785156	-45.860847
2497.851562	-42.793095
2540.917969	-41.752445
2583.984375	-42.399605
2627.050781	-43.077263
2670.117188	-45.102631
2713.183594	-47.233276
2756.250000	-46.983063
2799.316406	-48.919136
2842.382812	-50.988262
2885.449219	-48.894058
2928.515625	-45.768269
2971.582031	-43.477016
3014.648438	-42.162067
3057.714844	-41.848701
3100.781250	-41.878239
3143.847656	-41.389069
3186.914062	-40.695290
3229.980469	-41.752205
3273.046875	-44.934822
3316.113281	-45.665894
3359.179688	-43.263985
3402.246094	-43.404961
3445.312500	-45.832375
3488.378906	-46.296158
3531.445312	-44.355469
3574.511719	-45.870323
3617.578125	-46.741154
3660.644531	-48.971741
3703.710938	-49.573494
3746.777344	-49.581299
3789.843750	-48.288891
3832.910156	-45.707932
3875.976562	-44.713043
3919.042969	-45.495361
3962.109375	-45.501701
4005.175781	-46.310490
4048.242188	-45.019825
4091.308594	-43.137196
4134.375000	-43.985241
4177.441406	-45.588013
4220.507812	-45.828930
4263.574219	-47.341278
4306.640625	-45.983932
4349.707031	-44.320045
4392.773438	-43.889393
4435.839844	-45.526009
4478.906250	-48.880047
4521.972656	-47.722046
4565.039062	-47.254253
4608.105469	-48.543720
4651.171875	-50.303242
4694.238281	-51.075371
4737.304688	-50.892101
4780.371094	-48.469875
4823.437500	-46.780220
4866.503906	-46.056030
4909.570312	-45.617268
4952.636719	-45.467564
4995.703125	-44.711033
5038.769531	-46.518627
5081.835938	-49.146252
5124.902344	-49.252323
5167.968750	-49.603226
5211.035156	-49.827919
5254.101562	-51.739552
5297.167969	-52.798317
5340.234375	-54.960442
5383.300781	-55.221107
5426.367188	-52.545601
5469.433594	-51.509327
5512.500000	-52.108334
5555.566406	-54.619591
5598.632812	-52.958271
5641.699219	-50.872536
5684.765625	-50.894695
5727.832031	-48.694000
5770.898438	-47.278004
5813.964844	-46.737797
5857.031250	-47.467915
5900.097656	-49.963345
5943.164062	-50.976097
5986.230469	-50.020401
6029.296875	-49.225311
6072.363281	-49.847351
6115.429688	-48.561359
6158.496094	-48.190109
6201.562500	-50.578362
6244.628906	-54.280499
6287.695312	-49.521095
6330.761719	-46.637234
6373.828125	-46.666821
6416.894531	-47.063316
6459.960938	-47.893581
6503.027344	-48.999062
6546.093750	-50.473057
6589.160156	-51.075760
6632.226562	-51.786697
6675.292969	-53.800724
6718.359375	-53.291157
6761.425781	-51.045330
6804.492188	-50.245026
6847.558594	-49.612350
6890.625000	-48.200802
6933.691406	-47.080421
6976.757812	-46.786449
7019.824219	-47.159473
7062.890625	-47.655651
7105.957031	-45.413979
7149.023438	-44.545181
7192.089844	-46.032936
7235.156250	-47.667419
7278.222656	-48.599220
7321.289062	-46.560680
7364.355469	-46.797676
7407.421875	-49.315205
7450.488281	-48.829960
7493.554688	-47.503693
7536.621094	-46.689594
7579.687500	-47.101185
7622.753906	-47.355129
7665.820312	-46.983528
7708.886719	-48.280197
7751.953125	-48.968109
7795.019531	-49.908646
7838.085938	-51.280495
7881.152344	-50.956860
7924.218750	-49.620796
7967.285156	-50.040291
8010.351562	-49.601295
8053.417969	-48.851028
8096.484375	-50.204731
8139.550781	-51.275650
8182.617188	-52.373005
8225.683594	-52.211731
8268.750000	-51.620762
8311.816406	-51.488644
8354.882812	-52.034370
8397.949219	-50.766533
8441.015625	-49.740498
8484.082031	-48.450985
8527.148438	-47.084721
8570.214844	-48.128025
8613.281250	-47.747379
8656.347656	-46.063759
8699.414062	-46.066341
8742.480469	-46.597630
8785.546875	-47.624657
8828.613281	-46.941429
8871.679688	-46.850330
8914.746094	-47.367432
8957.812500	-48.438927
9000.878906	-46.208458
9043.945312	-44.116985
9087.011719	-44.541714
9130.078125	-45.334274
9173.144531	-46.461929
9216.210938	-50.670769
9259.277344	-53.380535
9302.343750	-53.378532
9345.410156	-52.539024
9388.476562	-51.188572
9431.542969	-50.194210
9474.609375	-50.517239
9517.675781	-52.168060
9560.742188	-48.665741
9603.808594	-47.220333
9646.875000	-46.103222
9689.941406	-45.955692
9733.007812	-46.909828
9776.074219	-47.166008
9819.140625	-48.209572
9862.207031	-48.544266
9905.273438	-48.192383
9948.339844	-46.690022
9991.406250	-44.922825
10034.472656	-45.151459
10077.539062	-47.700462
10120.605469	-48.404640
10163.671875	-47.587318
10206.738281	-46.941036
10249.804688	-46.163021
10292.871094	-45.837982
10335.937500	-46.154366
10379.003906	-45.742085
10422.070312	-46.213837
10465.136719	-47.154606
10508.203125	-45.945751
10551.269531	-44.466606
10594.335938	-44.162518
10637.402344	-44.515114
10680.468750	-43.791409
10723.535156	-43.711613
10766.601562	-46.817375
10809.667969	-50.394436
10852.734375	-46.116581
10895.800781	-44.662842
10938.867188	-45.217625
10981.933594	-45.546490
11025.000000	-47.991978
11068.066406	-48.537125
11111.132812	-46.171173
11154.199219	-44.605366
11197.265625	-44.425865
11240.332031	-44.719719
11283.398438	-45.026920
11326.464844	-47.525734
11369.531250	-48.174156
11412.597656	-48.048439
11455.664062	-48.094646
11498.730469	-46.393295
11541.796875	-45.258354
11584.863281	-45.453030
11627.929688	-45.690422
11670.996094	-44.476372
11714.062500	-44.691502
11757.128906	-47.172180
11800.195312	-46.021286
11843.261719	-43.566956
11886.328125	-44.791782
11929.394531	-46.326160
11972.460938	-45.321358
12015.527344	-46.873402
12058.593750	-47.470768
12101.660156	-45.927143
12144.726562	-44.696003
12187.792969	-42.512714
12230.859375	-43.384205
12273.925781	-44.193615
12316.992188	-44.617874
12360.058594	-43.940903
12403.125000	-44.481934
12446.191406	-45.941456
12489.257812	-47.214130
12532.324219	-48.223061
12575.390625	-47.450970
12618.457031	-46.224792
12661.523438	-46.319260
12704.589844	-48.714397
12747.656250	-49.488377
12790.722656	-47.030933
12833.789062	-46.205544
12876.855469	-45.420547
12919.921875	-43.283028
12962.988281	-43.960575
13006.054688	-45.167423
13049.121094	-42.558475
13092.187500	-38.480038
13135.253906	-37.123325
13178.320312	-38.361317
13221.386719	-39.043594
13264.453125	-38.343525
13307.519531	-38.439823
13350.585938	-38.821354
13393.652344	-38.648998
13436.718750	-38.051483
13479.785156	-38.304157
13522.851562	-39.911079
13565.917969	-41.963791
13608.984375	-42.421577
13652.050781	-41.787376
13695.117188	-41.927006
13738.183594	-41.619347
13781.250000	-42.423332
13824.316406	-42.708534
13867.382812	-42.778099
13910.449219	-43.923073
13953.515625	-43.641376
13996.582031	-42.117630
14039.648438	-41.779087
14082.714844	-42.369324
14125.781250	-43.433685
14168.847656	-43.440159
14211.914062	-42.013786
14254.980469	-40.658112
14298.046875	-39.813850
14341.113281	-39.363560
14384.179688	-40.222992
14427.246094	-41.623444
14470.312500	-43.017265
14513.378906	-41.346500
14556.445312	-40.506657
14599.511719	-41.777020
14642.578125	-41.817146
14685.644531	-39.468639
14728.710938	-40.519707
14771.777344	-42.250271
14814.843750	-43.128502
14857.910156	-44.316433
14900.976562	-44.792393
14944.042969	-43.162292
14987.109375	-42.833332
15030.175781	-44.122822
15073.242188	-42.929386
15116.308594	-42.068550
15159.375000	-41.046520
15202.441406	-40.926800
