周波数 (Hz)	レベル (dB)
43.066406	-31.868950
86.132812	-29.072220
129.199219	-30.856470
172.265625	-37.580910
215.332031	-40.685349
258.398438	-42.754059
301.464844	-44.245285
344.531250	-43.123333
387.597656	-42.060211
430.664062	-44.350845
473.730469	-47.454449
516.796875	-49.616894
559.863281	-52.339581
602.929688	-56.980900
645.996094	-57.361332
689.062500	-57.782261
732.128906	-57.016754
775.195312	-59.967682
818.261719	-60.033112
861.328125	-56.707623
904.394531	-56.423176
947.460938	-57.423901
990.527344	-57.815941
1033.593750	-57.756622
1076.660156	-58.711613
1119.726562	-55.726536
1162.792969	-55.269703
1205.859375	-57.738262
1248.925781	-61.073853
1291.992188	-56.494053
1335.058594	-53.368969
1378.125000	-54.099854
1421.191406	-57.195381
1464.257812	-59.251221
1507.324219	-60.260242
1550.390625	-57.921448
1593.457031	-55.728088
1636.523438	-54.352791
1679.589844	-53.309361
1722.656250	-53.651764
1765.722656	-55.281784
1808.789062	-56.563633
1851.855469	-56.971462
1894.921875	-56.281986
1937.988281	-55.584286
1981.054688	-55.461632
2024.121094	-57.012230
2067.187500	-57.415901
2110.253906	-57.785007
2153.320312	-57.599907
2196.386719	-55.623711
2239.453125	-53.479443
2282.519531	-52.428532
2325.585938	-52.494373
2368.652344	-53.637157
2411.718750	-55.568176
2454.785156	-56.363285
2497.851562	-57.235554
2540.917969	-56.422356
2583.984375	-54.319202
2627.050781	-55.822216
2670.117188	-57.162666
2713.183594	-56.642658
2756.250000	-57.166306
2799.316406	-57.722179
2842.382812	-59.018177
2885.449219	-59.455776
2928.515625	-58.903881
2971.582031	-57.035851
3014.648438	-53.937592
3057.714844	-51.689560
3100.781250	-51.087723
3143.847656	-51.495914
3186.914062	-52.030567
3229.980469	-52.190941
3273.046875	-53.834724
3316.113281	-53.221470
3359.179688	-51.557381
3402.246094	-50.787533
3445.312500	-52.585423
3488.378906	-53.886578
3531.445312	-53.948429
3574.511719	-53.030266
3617.578125	-51.044067
3660.644531	-49.785740
3703.710938	-50.272579
3746.777344	-51.047150
3789.843750	-52.266319
3832.910156	-51.913055
3875.976562	-51.205425
3919.042969	-51.571335
3962.109375	-52.024227
4005.175781	-51.486008
4048.242188	-51.957745
4091.308594	-52.250526
4134.375000	-52.719509
4177.441406	-52.562904
4220.507812	-52.685116
4263.574219	-53.653465
4306.640625	-53.999989
4349.707031	-54.405235
4392.773438	-56.555519
4435.839844	-57.258804
4478.906250	-55.493065
4521.972656	-54.737961
4565.039062	-54.015194
4608.105469	-54.229370
4651.171875	-53.874386
4694.238281	-54.600201
4737.304688	-54.276665
4780.371094	-53.228340
4823.437500	-54.249065
4866.503906	-54.758652
4909.570312	-53.722980
4952.636719	-52.237846
4995.703125	-52.162315
5038.769531	-52.903191
5081.835938	-54.822632
5124.902344	-55.942265
5167.968750	-54.721249
5211.035156	-53.259319
5254.101562	-52.955963
5297.167969	-54.737877
5340.234375	-54.904240
5383.300781	-53.618374
5426.367188	-53.409164
5469.433594	-54.134560
5512.500000	-54.843384
5555.566406	-55.362892
5598.632812	-55.932377
5641.699219	-56.956402
5684.765625	-57.307571
5727.832031	-57.189030
5770.898438	-56.237560
5813.964844	-54.714993
5857.031250	-54.256840
5900.097656	-53.159527
5943.164062	-52.580490
5986.230469	-53.217564
6029.296875	-54.063377
6072.363281	-54.172668
6115.429688	-56.037167
6158.496094	-56.155376
6201.562500	-55.940449
6244.628906	-57.239311
6287.695312	-58.138565
6330.761719	-55.925236
6373.828125	-53.857128
6416.894531	-53.172688
6459.960938	-52.778606
6503.027344	-52.662693
6546.093750	-52.428635
6589.160156	-52.514465
6632.226562	-53.682690
6675.292969	-55.895512
6718.359375	-55.257179
6761.425781	-54.327999
6804.492188	-55.595226
6847.558594	-55.477684
6890.625000	-54.128075
6933.691406	-53.575867
6976.757812	-52.371880
7019.824219	-53.989574
7062.890625	-55.133217
7105.957031	-52.677895
7149.023438	-49.941109
7192.089844	-48.173401
7235.156250	-46.777508
7278.222656	-45.729042
7321.289062	-45.821163
7364.355469	-46.693951
7407.421875	-48.232029
7450.488281	-49.267323
7493.554688	-49.747517
7536.621094	-51.577244
7579.687500	-53.029930
7622.753906	-54.569016
7665.820312	-55.105858
7708.886719	-54.750725
7751.953125	-54.667542
7795.019531	-54.669613
7838.085938	-56.061321
7881.152344	-57.815868
7924.218750	-56.682224
7967.285156	-56.064106
8010.351562	-55.027935
8053.417969	-53.384819
8096.484375	-52.784420
8139.550781	-53.139778
8182.617188	-54.546909
8225.683594	-55.434078
8268.750000	-56.217571
8311.816406	-55.674702
8354.882812	-56.122250
8397.949219	-54.981396
8441.015625	-54.372318
8484.082031	-57.263737
8527.148438	-57.701878
8570.214844	-55.998817
8613.281250	-55.798573
8656.347656	-56.164009
8699.414062	-55.067940
8742.480469	-53.612503
8785.546875	-52.954922
8828.613281	-53.889835
8871.679688	-54.815453
8914.746094	-54.295174
8957.812500	-53.777752
9000.878906	-53.800251
9043.945312	-55.457092
9087.011719	-55.337822
9130.078125	-55.645805
9173.144531	-56.111977
9216.210938	-55.672626
9259.277344	-55.731800
9302.343750	-54.748520
9345.410156	-55.192074
9388.476562	-57.641491
9431.542969	-55.866158
9474.609375	-56.527672
9517.675781	-56.037624
9560.742188	-53.308075
9603.808594	-52.540932
9646.875000	-54.007229
9689.941406	-53.274952
9733.007812	-53.684654
9776.074219	-53.433144
9819.140625	-53.258438
9862.207031	-53.498035
9905.273438	-54.983532
9948.339844	-55.091862
9991.406250	-56.336468
10034.472656	-56.940575
10077.539062	-56.292183
10120.605469	-55.500729
10163.671875	-54.521500
10206.738281	-53.594070
10249.804688	-52.986900
10292.871094	-52.551411
10335.937500	-53.634583
10379.003906	-52.875076
10422.070312	-51.100883
10465.136719	-51.233356
10508.203125	-51.253933
10551.269531	-50.199253
10594.335938	-50.055538
10637.402344	-49.550751
10680.468750	-48.476440
10723.535156	-49.138828
10766.601562	-50.171822
10809.667969	-49.636990
10852.734375	-48.949692
10895.800781	-49.791607
10938.867188	-50.331264
10981.933594	-50.324512
11025.000000	-50.684895
11068.066406	-49.743137
11111.132812	-47.639435
11154.199219	-47.690342
11197.265625	-47.085835
11240.332031	-45.569569
11283.398438	-45.805180
11326.464844	-45.930809
11369.531250	-46.830185
11412.597656	-47.408741
11455.664062	-48.772732
11498.730469	-50.178944
11541.796875	-49.378815
11584.863281	-49.323170
11627.929688	-49.580353
11670.996094	-49.926289
11714.062500	-51.311153
11757.128906	-51.899586
11800.195312	-50.939564
11843.261719	-51.305763
11886.328125	-51.450020
11929.394531	-53.390156
11972.460938	-54.346439
12015.527344	-53.263618
12058.593750	-52.926449
12101.660156	-52.789024
12144.726562	-52.824673
12187.792969	-51.823952
12230.859375	-51.829201
12273.925781	-53.201359
12316.992188	-51.859341
12360.058594	-49.699314
12403.125000	-50.645874
12446.191406	-51.001949
12489.257812	-50.752758
12532.324219	-51.817814
12575.390625	-50.603298
12618.457031	-51.913612
12661.523438	-53.617931
12704.589844	-52.363228
12747.656250	-50.971935
12790.722656	-50.269951
12833.789062	-49.801426
12876.855469	-50.086750
12919.921875	-51.623589
12962.988281	-52.021770
13006.054688	-51.575077
13049.121094	-51.893215
13092.187500	-50.780067
13135.253906	-49.453430
13178.320312	-48.980919
13221.386719	-48.317795
13264.453125	-48.700211
13307.519531	-49.999352
13350.585938	-50.986526
13393.652344	-50.698814
13436.718750	-48.637783
13479.785156	-45.802006
13522.851562	-44.113762
13565.917969	-43.318474
13608.984375	-43.147858
13652.050781	-43.447205
13695.117188	-44.302856
13738.183594	-45.130089
13781.250000	-45.271896
13824.316406	-46.007675
13867.382812	-46.305630
13910.449219	-46.840626
13953.515625	-48.189178
13996.582031	-49.018665
14039.648438	-49.035435
14082.714844	-48.062134
14125.781250	-46.015152
14168.847656	-44.659378
14211.914062	-44.491043
14254.980469	-44.997505
14298.046875	-44.653152
14341.113281	-44.051910
14384.179688	-43.772762
14427.246094	-44.156624
14470.312500	-44.497478
14513.378906	-45.767284
14556.445312	-46.973999
14599.511719	-47.064980
14642.578125	-46.612946
14685.644531	-45.198696
14728.710938	-43.794807
14771.777344	-42.793686
14814.843750	-42.899429
14857.910156	-43.811432
14900.976562	-44.541569
14944.042969	-44.650085
14987.109375	-44.652180
15030.175781	-45.575104
15073.242188	-47.174515
15116.308594	-49.164314
15159.375000	-50.401352
15202.441406	-49.811768
15245.507812	-48.550018
15288.574219	-48.649757
15331.640625	-50.445286
15374.707031	-51.105972
15417.773438	-51.124737
15460.839844	-50.872883
15503.906250	-49.033154
15546.972656	-47.716129
15590.039062	-47.177498
15633.105469	-47.842495
15676.171875	-47.381859
15719.238281	-45.608253
15762.304688	-46.309238
15805.371094	-46.999874
15848.437500	-46.361744
15891.503906	-47.753918
15934.570312	-48.385105
15977.636719	-47.790775
16020.703125	-46.972256
16063.769531	-45.317535
16106.835938	-45.724625
16149.902344	-46.347511
16192.968750	-46.465752
16236.035156	-44.749008
16279.101562	-43.735226
16322.167969	-44.516155
16365.234375	-45.909805
16408.300781	-47.310974
16451.367188	-46.998657
16494.433594	-46.353943
16537.500000	-45.962406
16580.566406	-44.736076
16623.632812	-44.583122
16666.699219	-44.242962
16709.765625	-44.144650
16752.832031	-44.166302
16795.898438	-43.314865
16838.964844	-43.056320
16882.031250	-42.537552
16925.097656	-43.026356
16968.164062	-44.465496
17011.230469	-45.190742
17054.296875	-45.198368
17097.363281	-45.028751
17140.429688	-44.165791
17183.496094	-43.390053
17226.562500	-43.032169
17269.628906	-42.781242
17312.695312	-43.007908
17355.761719	-43.766006
17398.828125	-46.202198
17441.894531	-48.227345
17484.960938	-48.905937
17528.027344	-48.677853
17571.093750	-48.077599
17614.160156	-48.019398
17657.226562	-47.885914
17700.292969	-47.677277
17743.359375	-45.956318
17786.425781	-44.785065
17829.492188	-45.168888
17872.558594	-47.961422
17915.625000	-50.383789
17958.691406	-49.721272
18001.757812	-48.622921
18044.824219	-47.443092
18087.890625	-46.843933
18130.957031	-46.558117
18174.023438	-46.448273
18217.089844	-47.528366
18260.156250	-47.946281
18303.222656	-49.040520
18346.289062	-50.019054
18389.355469	-48.827354
18432.421875	-49.127930
18475.488281	-48.196327
18518.554688	-46.108047
18561.621094	-45.354931
18604.687500	-45.123875
18647.753906	-44.452190
18690.820312	-44.785641
18733.886719	-45.990685
18776.953125	-46.235027
18820.019531	-45.823631
18863.085938	-45.567413
18906.152344	-45.708782
18949.218750	-45.729927
18992.285156	-45.264214
19035.351562	-45.406853
19078.417969	-46.048023
19121.484375	-47.816154
19164.550781	-49.432919
19207.617188	-50.127056
19250.683594	-48.647545
19293.750000	-45.747265
19336.816406	-44.881939
19379.882812	-45.433392
19422.949219	-46.684971
19466.015625	-47.722549
19509.082031	-49.749111
19552.148438	-52.452389
19595.214844	-51.418697
19638.281250	-50.288918
19681.347656	-49.914600
19724.414062	-50.072647
19767.480469	-49.865780
19810.546875	-50.118179
19853.613281	-50.540157
19896.679688	-49.724888
19939.746094	-49.409737
19982.812500	-49.041706
20025.878906	-47.621845
20068.945312	-47.451370
20112.011719	-47.672798
20155.078125	-47.682446
20198.144531	-47.832150
20241.210938	-49.618351
20284.277344	-52.873215
20327.343750	-54.013008
20370.410156	-52.821697
20413.476562	-50.758331
20456.542969	-48.564350
20499.609375	-47.271530
20542.675781	-47.669464
20585.742188	-50.207699
20628.808594	-51.619537
20671.875000	-51.211838
20714.941406	-50.716900
20758.007812	-50.969593
20801.074219	-50.515377
20844.140625	-50.780758
20887.207031	-50.782272
20930.273438	-49.454945
20973.339844	-49.592297
21016.406250	-51.288673
21059.472656	-53.313248
21102.539062	-53.017578
21145.605469	-53.518967
21188.671875	-54.329605
21231.738281	-53.182762
21274.804688	-53.776981
21317.871094	-54.141949
21360.937500	-52.558773
21404.003906	-52.345638
21447.070312	-52.200531
21490.136719	-51.761372
21533.203125	-51.892345
21576.269531	-52.205021
21619.335938	-52.046135
21662.402344	-53.162338
21705.468750	-54.510921
21748.535156	-54.774128
21791.601562	-55.082977
21834.667969	-54.722992
21877.734375	-54.931297
21920.800781	-55.065887
21963.867188	-54.722652
22006.933594	-55.587025
