周波数 (Hz)	レベル (dB)
43.066406	-30.385796
86.132812	-27.733986
129.199219	-30.250011
172.265625	-38.718681
215.332031	-45.099365
258.398438	-49.700771
301.464844	-46.867596
344.531250	-48.846527
387.597656	-47.696774
430.664062	-46.727036
473.730469	-50.291893
516.796875	-56.247154
559.863281	-59.217472
602.929688	-59.999096
645.996094	-60.477409
689.062500	-61.410679
732.128906	-61.170448
775.195312	-61.968163
818.261719	-58.149563
861.328125	-55.398739
904.394531	-53.663090
947.460938	-55.631935
990.527344	-58.224308
1033.593750	-58.446880
1076.660156	-61.102913
1119.726562	-57.445023
1162.792969	-57.629044
1205.859375	-60.164921
1248.925781	-61.015324
1291.992188	-55.655308
1335.058594	-51.609192
1378.125000	-52.558372
1421.191406	-57.648457
1464.257812	-60.051994
1507.324219	-56.459129
1550.390625	-54.514477
1593.457031	-55.405640
1636.523438	-55.711304
1679.589844	-54.260662
1722.656250	-53.464806
1765.722656	-55.190308
1808.789062	-58.200806
1851.855469	-58.489204
1894.921875	-56.378613
1937.988281	-54.894508
1981.054688	-57.496658
2024.121094	-61.728745
2067.187500	-61.430996
2110.253906	-61.273247
2153.320312	-60.692730
2196.386719	-59.754429
2239.453125	-59.340588
2282.519531	-56.617336
2325.585938	-55.931602
2368.652344	-54.813423
2411.718750	-51.919540
2454.785156	-50.439415
2497.851562	-50.395721
2540.917969	-52.273190
2583.984375	-55.224506
2627.050781	-55.808167
2670.117188	-53.500397
2713.183594	-53.571934
2756.250000	-54.729706
2799.316406	-54.513458
2842.382812	-54.723213
2885.449219	-56.364716
2928.515625	-57.869705
2971.582031	-55.025253
3014.648438	-53.185860
3057.714844	-53.527477
3100.781250	-53.199604
3143.847656	-50.736591
3186.914062	-49.039833
3229.980469	-48.665817
3273.046875	-49.091427
3316.113281	-50.667942
3359.179688	-54.266125
3402.246094	-55.549103
3445.312500	-55.028694
3488.378906	-55.429962
3531.445312	-55.770180
3574.511719	-54.885509
3617.578125	-55.324917
3660.644531	-55.992306
3703.710938	-55.406757
3746.777344	-55.795708
3789.843750	-56.053150
3832.910156	-55.147339
3875.976562	-54.996441
3919.042969	-55.132881
3962.109375	-56.747017
4005.175781	-58.908260
4048.242188	-60.038525
4091.308594	-60.914917
4134.375000	-60.948112
4177.441406	-60.478172
4220.507812	-58.587261
4263.574219	-56.392300
4306.640625	-53.988560
4349.707031	-52.521049
4392.773438	-52.800808
4435.839844	-54.863098
4478.906250	-57.605682
4521.972656	-56.221764
4565.039062	-55.041283
4608.105469	-55.499981
4651.171875	-56.365440
4694.238281	-57.311668
4737.304688	-55.474182
4780.371094	-54.337894
4823.437500	-54.366913
4866.503906	-53.045532
4909.570312	-51.453022
4952.636719	-50.482323
4995.703125	-49.639393
5038.769531	-50.380146
5081.835938	-53.259563
5124.902344	-57.268726
5167.968750	-56.658978
5211.035156	-56.817135
5254.101562	-56.752220
5297.167969	-58.329056
5340.234375	-61.120510
5383.300781	-57.770771
5426.367188	-57.585278
5469.433594	-56.026726
5512.500000	-55.383808
5555.566406	-57.091854
5598.632812	-58.400822
