周波数 (Hz)	レベル (dB)
43.066406	-28.953098
86.132812	-26.372324
129.199219	-28.395472
172.265625	-36.495510
215.332031	-46.419773
258.398438	-45.996864
301.464844	-43.893082
344.531250	-38.788227
387.597656	-37.789841
430.664062	-39.043713
473.730469	-41.921772
516.796875	-47.531723
559.863281	-49.963860
602.929688	-49.142971
645.996094	-47.159149
689.062500	-47.447823
732.128906	-50.685711
775.195312	-48.974281
818.261719	-45.899994
861.328125	-45.733067
904.394531	-48.485786
947.460938	-50.179348
990.527344	-48.451912
1033.593750	-47.956570
1076.660156	-50.965645
1119.726562	-50.536427
1162.792969	-51.774929
1205.859375	-50.283203
1248.925781	-45.749573
1291.992188	-43.779663
1335.058594	-45.589817
1378.125000	-49.905945
1421.191406	-53.223522
1464.257812	-53.405651
1507.324219	-47.615578
1550.390625	-44.294365
1593.457031	-42.658665
1636.523438	-41.571926
1679.589844	-42.446400
1722.656250	-45.027920
1765.722656	-46.333927
1808.789062	-48.707493
1851.855469	-46.988449
1894.921875	-46.087475
1937.988281	-51.416889
1981.054688	-55.516598
2024.121094	-49.256130
2067.187500	-45.450779
2110.253906	-43.132153
2153.320312	-42.927799
2196.386719	-44.819168
2239.453125	-44.354298
2282.519531	-42.867798
2325.585938	-42.164791
2368.652344	-42.177345
2411.718750	-44.001591
2454.785156	-46.995644
2497.851562	-45.036476
2540.917969	-44.923798
2583.984375	-44.003242
2627.050781	-44.665798
2670.117188	-46.418259
2713.183594	-49.132572
2756.250000	-48.288254
2799.316406	-46.694176
2842.382812	-47.654915
2885.449219	-48.876343
2928.515625	-49.269100
2971.582031	-45.829212
3014.648438	-43.775116
3057.714844	-42.931919
3100.781250	-43.075043
3143.847656	-44.778259
3186.914062	-44.606239
3229.980469	-44.856136
3273.046875	-45.898590
3316.113281	-46.054802
3359.179688	-45.104603
3402.246094	-43.648930
3445.312500	-42.638470
3488.378906	-41.899010
3531.445312	-42.646683
3574.511719	-45.408230
3617.578125	-48.910339
3660.644531	-47.970531
3703.710938	-49.304482
3746.777344	-48.999580
3789.843750	-46.969746
3832.910156	-47.588089
3875.976562	-49.081886
3919.042969	-47.677647
3962.109375	-48.314938
4005.175781	-49.982891
4048.242188	-52.080437
4091.308594	-53.054783
4134.375000	-52.417446
4177.441406	-51.323662
4220.507812	-49.758720
4263.574219	-49.582455
4306.640625	-50.679352
4349.707031	-47.369175
4392.773438	-45.796227
4435.839844	-45.778416
4478.906250	-46.362072
4521.972656	-46.019535
4565.039062	-47.537769
4608.105469	-50.104248
4651.171875	-51.556591
4694.238281	-51.257133
4737.304688	-49.928013
4780.371094	-49.433208
4823.437500	-49.621460
4866.503906	-50.733902
4909.570312	-51.934849
4952.636719	-52.836998
4995.703125	-54.780262
5038.769531	-54.608261
5081.835938	-54.236290
5124.902344	-53.411991
5167.968750	-50.446228
5211.035156	-49.469074
5254.101562	-50.010090
5297.167969	-52.082253
5340.234375	-53.833260
5383.300781	-54.052303
5426.367188	-51.569115
5469.433594	-50.403770
5512.500000	-49.738720
5555.566406	-50.692627
5598.632812	-53.328030
5641.699219	-52.683872
5684.765625	-50.820377
5727.832031	-51.985847
5770.898438	-53.615906
5813.964844	-54.403053
5857.031250	-53.531853
5900.097656	-55.050770
5943.164062	-55.522148
5986.230469	-55.381371
6029.296875	-56.132214
6072.363281	-54.347443
6115.429688	-54.503906
6158.496094	-54.629822
6201.562500	-53.829956
6244.628906	-51.928581
6287.695312	-50.641899
6330.761719	-50.091553
6373.828125	-50.962437
6416.894531	-50.961708
6459.960938	-48.846939
6503.027344	-48.387714
6546.093750	-52.346573
6589.160156	-56.191849
6632.226562	-54.559002
6675.292969	-51.312763
6718.359375	-51.481918
6761.425781	-51.246548
6804.492188	-51.400986
6847.558594	-51.354034
6890.625000	-50.175060
6933.691406	-50.751842
6976.757812	-50.996822
7019.824219	-51.221104
7062.890625	-52.632893
7105.957031	-54.610653
7149.023438	-51.483238
7192.089844	-48.717251
7235.156250	-47.585903
7278.222656	-47.279854
7321.289062	-49.773285
7364.355469	-51.452755
7407.421875	-52.576393
7450.488281	-55.586327
7493.554688	-55.329597
7536.621094	-53.567234
7579.687500	-52.022877
7622.753906	-51.240124
7665.820312	-52.575500
7708.886719	-56.525375
7751.953125	-57.928505
7795.019531	-56.024364
7838.085938	-53.497414
7881.152344	-51.628304
7924.218750	-50.733810
7967.285156	-51.566795
8010.351562	-51.569134
8053.417969	-52.183212
8096.484375	-52.083992
8139.550781	-51.695446
8182.617188	-53.075436
8225.683594	-52.975018
8268.750000	-51.524788
8311.816406	-51.809998
8354.882812	-52.651024
8397.949219	-51.893623
8441.015625	-50.320271
8484.082031	-48.763840
8527.148438	-48.259834
8570.214844	-49.141495
8613.281250	-50.569744
8656.347656	-53.776592
8699.414062	-55.192410
8742.480469	-55.685951
8785.546875	-53.274590
8828.613281	-51.430981
8871.679688	-50.453995
8914.746094	-50.129837
8957.812500	-49.696354
9000.878906	-52.366753
9043.945312	-50.150753
9087.011719	-47.136440
9130.078125	-47.339577
9173.144531	-48.902946
9216.210938	-50.736923
9259.277344	-53.698277
9302.343750	-54.221176
9345.410156	-52.693146
9388.476562	-51.608913
9431.542969	-50.081047
9474.609375	-49.277477
9517.675781	-52.334934
9560.742188	-54.863579
9603.808594	-56.720676
9646.875000	-52.985233
9689.941406	-49.580082
9733.007812	-49.049332
9776.074219	-52.002697
9819.140625	-55.049976
9862.207031	-50.796730
9905.273438	-48.762478
9948.339844	-48.790588
9991.406250	-46.948494
10034.472656	-45.901218
10077.539062	-45.031029
10120.605469	-44.752163
10163.671875	-43.603043
10206.738281	-43.399609
10249.804688	-45.226662
10292.871094	-46.492886
10335.937500	-46.076504
10379.003906	-45.171352
10422.070312	-44.625546
10465.136719	-45.087124
10508.203125	-46.894909
10551.269531	-48.300629
10594.335938	-48.006199
10637.402344	-48.233067
10680.468750	-46.786751
10723.535156	-45.479279
10766.601562	-44.429668
10809.667969	-44.362633
10852.734375	-47.157509
10895.800781	-50.485863
10938.867188	-50.087231
10981.933594	-49.680836
11025.000000	-48.520168
11068.066406	-47.702530
11111.132812	-47.686481
11154.199219	-49.342991
11197.265625	-49.713268
11240.332031	-49.091942
11283.398438	-47.237045
11326.464844	-45.608593
11369.531250	-46.050117
11412.597656	-45.930683
11455.664062	-44.290478
11498.730469	-44.628239
11541.796875	-46.527390
11584.863281	-47.178726
11627.929688	-45.054832
11670.996094	-44.546986
11714.062500	-46.784367
11757.128906	-48.606945
11800.195312	-49.737938
11843.261719	-48.881168
11886.328125	-44.435547
11929.394531	-42.995476
11972.460938	-44.580185
12015.527344	-45.386848
12058.593750	-45.520332
12101.660156	-45.662472
12144.726562	-43.835197
12187.792969	-43.590027
12230.859375	-44.244888
12273.925781	-45.742092
12316.992188	-46.995377
12360.058594	-47.804634
12403.125000	-49.989628
12446.191406	-52.122047
12489.257812	-52.432842
12532.324219	-50.328136
12575.390625	-49.407291
12618.457031	-49.707932
12661.523438	-48.085930
12704.589844	-46.362877
12747.656250	-44.390812
12790.722656	-42.532921
12833.789062	-41.090660
12876.855469	-40.302063
12919.921875	-39.559170
12962.988281	-39.823616
13006.054688	-41.167240
13049.121094	-42.354191
13092.187500	-43.954445
13135.253906	-43.923546
13178.320312	-43.999420
13221.386719	-44.367168
13264.453125	-43.924217
13307.519531	-42.277157
13350.585938	-42.432068
13393.652344	-46.917095
13436.718750	-46.414734
13479.785156	-42.819977
13522.851562	-41.527653
13565.917969	-41.298771
13608.984375	-41.409748
13652.050781	-42.493973
13695.117188	-42.941345
13738.183594	-42.534031
13781.250000	-41.426678
13824.316406	-40.741894
13867.382812	-41.626331
13910.449219	-44.080582
13953.515625	-46.182491
13996.582031	-44.042416
14039.648438	-43.200340
14082.714844	-42.647995
14125.781250	-41.838711
14168.847656	-40.841808
14211.914062	-39.552162
14254.980469	-37.664799
14298.046875	-38.803593
14341.113281	-40.789200
14384.179688	-40.321510
14427.246094	-39.836956
14470.312500	-38.448463
14513.378906	-37.693436
14556.445312	-37.697159
14599.511719	-38.423790
14642.578125	-40.238792
14685.644531	-42.406227
14728.710938	-43.924530
14771.777344	-43.044510
14814.843750	-42.469028
14857.910156	-43.283600
14900.976562	-42.111423
14944.042969	-42.462933
14987.109375	-44.674316
15030.175781	-43.820156
15073.242188	-45.107952
15116.308594	-42.693371
15159.375000	-40.232117
15202.441406	-39.993153
15245.507812	-39.732002
15288.574219	-40.860771
15331.640625	-42.073956
15374.707031	-41.456470
15417.773438	-41.113857
15460.839844	-41.041813
15503.906250	-40.165176
15546.972656	-41.045361
15590.039062	-41.193336
15633.105469	-38.559883
15676.171875	-37.416870
15719.238281	-38.250496
15762.304688	-41.107609
15805.371094	-42.063927
15848.437500	-40.568512
15891.503906	-38.546474
15934.570312	-37.676682
15977.636719	-37.899269
16020.703125	-38.371605
16063.769531	-38.344299
16106.835938	-35.587132
16149.902344	-35.269485
16192.968750	-35.997688
16236.035156	-36.325893
16279.101562	-36.006836
16322.167969	-35.824440
16365.234375	-35.843822
16408.300781	-35.897575
16451.367188	-36.668499
16494.433594	-38.305401
16537.500000	-39.470356
16580.566406	-38.974335
16623.632812	-39.956459
16666.699219	-41.610695
16709.765625	-40.714523
16752.832031	-39.822960
16795.898438	-39.717304
16838.964844	-38.053959
16882.031250	-37.458809
16925.097656	-38.083149
16968.164062	-39.010265
17011.230469	-39.953526
17054.296875	-41.616783
17097.363281	-40.758171
17140.429688	-39.205494
17183.496094	-36.098701
17226.562500	-33.681618
17269.628906	-33.925571
17312.695312	-36.176083
17355.761719	-36.314354
17398.828125	-35.390827
17441.894531	-35.798920
17484.960938	-37.342541
17528.027344	-37.532330
17571.093750	-38.891029
17614.160156	-39.049015
17657.226562	-37.547386
17700.292969	-36.647003
17743.359375	-36.851368
17786.425781	-37.796024
17829.492188	-36.943512
17872.558594	-34.730080
17915.625000	-34.503086
17958.691406	-36.442421
18001.757812	-37.607018
18044.824219	-37.128445
18087.890625	-38.190689
18130.957031	-41.308994
18174.023438	-40.246845
18217.089844	-39.230724
18260.156250	-40.791370
18303.222656	-42.039776
18346.289062	-40.912235
18389.355469	-40.206799
18432.421875	-38.944672
18475.488281	-36.944752
18518.554688	-35.599228
18561.621094	-37.133568
18604.687500	-39.768826
18647.753906	-41.840866
18690.820312	-43.282936
18733.886719	-42.229912
18776.953125	-41.619583
18820.019531	-41.664230
18863.085938	-40.423496
18906.152344	-39.011650
18949.218750	-39.738152
18992.285156	-42.089081
19035.351562	-42.848904
19078.417969	-43.920048
19121.484375	-43.967209
19164.550781	-42.197315
19207.617188	-42.708031
19250.683594	-43.409039
19293.750000	-43.372055
19336.816406	-44.873775
19379.882812	-43.257030
19422.949219	-40.627140
19466.015625	-41.858532
19509.082031	-46.528744
19552.148438	-46.518295
19595.214844	-44.642532
19638.281250	-43.733437
19681.347656	-43.110367
19724.414062	-41.263470
19767.480469	-40.680458
19810.546875	-42.074070
19853.613281	-43.052135
19896.679688	-42.552628
19939.746094	-41.335411
19982.812500	-41.466145
20025.878906	-44.158810
20068.945312	-46.126560
20112.011719	-46.675686
20155.078125	-45.043839
20198.144531	-43.215412
20241.210938	-43.398003
20284.277344	-43.500637
20327.343750	-44.519577
20370.410156	-45.071056
20413.476562	-43.407135
20456.542969	-44.238991
20499.609375	-46.241890
20542.675781	-46.728138
20585.742188	-46.644382
20628.808594	-45.404995
20671.875000	-47.766136
20714.941406	-52.691608
20758.007812	-52.513012
20801.074219	-50.059128
20844.140625	-49.294853
20887.207031	-47.058914
20930.273438	-45.767620
20973.339844	-45.685516
21016.406250	-47.888264
21059.472656	-48.361279
21102.539062	-45.504326
21145.605469	-43.955238
21188.671875	-43.377789
21231.738281	-43.549355
21274.804688	-44.321064
21317.871094	-45.398174
21360.937500	-47.108948
21404.003906	-48.858162
21447.070312	-48.351131
21490.136719	-46.792458
21533.203125	-46.270592
21576.269531	-46.162258
21619.335938	-45.674950
21662.402344	-45.498478
21705.468750	-47.246006
21748.535156	-47.958488
21791.601562	-47.669014
21834.667969	-47.210846
21877.734375	-47.753567
21920.800781	-46.860397
21963.867188	-46.189644
22006.933594	-46.596817
