周波数 (Hz)	レベル (dB)
43.066406	-26.078133
86.132812	-21.404079
129.199219	-24.030344
172.265625	-30.767485
215.332031	-37.562531
258.398438	-46.694092
301.464844	-44.075977
344.531250	-38.263271
387.597656	-36.139217
430.664062	-35.848721
473.730469	-39.050388
516.796875	-45.180565
559.863281	-48.086365
602.929688	-42.928497
645.996094	-41.618423
689.062500	-42.685345
732.128906	-46.386574
775.195312	-43.907440
818.261719	-39.529758
861.328125	-37.293266
904.394531	-36.414444
947.460938	-37.257313
990.527344	-38.587654
1033.593750	-38.447971
1076.660156	-42.048912
1119.726562	-47.671516
1162.792969	-45.352943
1205.859375	-42.546192
1248.925781	-42.227711
1291.992188	-44.629616
1335.058594	-45.147629
1378.125000	-45.378334
1421.191406	-45.799297
1464.257812	-46.232014
1507.324219	-46.986347
1550.390625	-43.729122
1593.457031	-39.207581
1636.523438	-37.602585
1679.589844	-39.896542
1722.656250	-45.164829
1765.722656	-42.355057
1808.789062	-40.676785
1851.855469	-41.595253
1894.921875	-40.874283
1937.988281	-41.336109
1981.054688	-44.998409
2024.121094	-48.060692
2067.187500	-49.663712
2110.253906	-48.186836
2153.320312	-46.641483
2196.386719	-47.210552
2239.453125	-48.221214
2282.519531	-47.667053
2325.585938	-44.990913
2368.652344	-42.216145
2411.718750	-38.873947
2454.785156	-36.284473
2497.851562	-36.813744
2540.917969	-41.321228
2583.984375	-46.916504
2627.050781	-45.316750
2670.117188	-44.671062
2713.183594	-43.029526
2756.250000	-42.735683
2799.316406	-44.832893
2842.382812	-46.034393
2885.449219	-45.714417
2928.515625	-46.098598
2971.582031	-45.711731
3014.648438	-46.846481
3057.714844	-45.629013
3100.781250	-44.177967
3143.847656	-45.327377
3186.914062	-46.465149
3229.980469	-46.823551
3273.046875	-46.716328
3316.113281	-47.299408
3359.179688	-47.314198
3402.246094	-47.496738
3445.312500	-48.186462
3488.378906	-48.099190
3531.445312	-47.824638
3574.511719	-49.090939
3617.578125	-48.352955
3660.644531	-44.359158
3703.710938	-43.089336
3746.777344	-45.539978
3789.843750	-52.445587
3832.910156	-50.344292
3875.976562	-47.324947
3919.042969	-46.770180
3962.109375	-46.432831
4005.175781	-45.972183
4048.242188	-48.129269
4091.308594	-50.100163
4134.375000	-49.348347
4177.441406	-47.635017
4220.507812	-46.431126
4263.574219	-47.323067
4306.640625	-49.180115
4349.707031	-47.947678
4392.773438	-45.743626
4435.839844	-44.424412
4478.906250	-43.938274
4521.972656	-45.671516
4565.039062	-49.480671
4608.105469	-49.861458
4651.171875	-48.503399
4694.238281	-47.953205
4737.304688	-48.165314
4780.371094	-47.059464
4823.437500	-43.109062
4866.503906	-40.471756
4909.570312	-40.775883
4952.636719	-43.461361
4995.703125	-47.735367
5038.769531	-50.398140
5081.835938	-52.365883
5124.902344	-54.595860
5167.968750	-48.762760
5211.035156	-47.379822
5254.101562	-49.015003
5297.167969	-50.771187
5340.234375	-51.061790
5383.300781	-52.558361
5426.367188	-53.387802
5469.433594	-49.614502
5512.500000	-48.336010
5555.566406	-49.484951
5598.632812	-50.123993
5641.699219	-50.674648
5684.765625	-50.149475
5727.832031	-48.599052
5770.898438	-49.288231
5813.964844	-52.171444
5857.031250	-53.963875
5900.097656	-52.294849
5943.164062	-51.341614
5986.230469	-50.057133
6029.296875	-45.967270
6072.363281	-43.809849
6115.429688	-43.796146
6158.496094	-44.424026
6201.562500	-46.451263
6244.628906	-50.592068
6287.695312	-51.417870
6330.761719	-48.703430
6373.828125	-48.939503
6416.894531	-50.847244
6459.960938	-51.740227
6503.027344	-50.752758
6546.093750	-50.884460
6589.160156	-50.655136
6632.226562	-50.711452
6675.292969	-51.300995
6718.359375	-51.852303
6761.425781	-53.700043
6804.492188	-57.170464
6847.558594	-52.741730
6890.625000	-48.056320
6933.691406	-45.249218
6976.757812	-44.636871
7019.824219	-45.928730
7062.890625	-46.962360
7105.957031	-47.519390
7149.023438	-46.889042
7192.089844	-45.465553
7235.156250	-45.310410
7278.222656	-47.061733
7321.289062	-49.100624
7364.355469	-50.393154
7407.421875	-50.968925
7450.488281	-51.356018
7493.554688	-51.037418
7536.621094	-51.513794
7579.687500	-52.441422
7622.753906	-52.421967
7665.820312	-54.357662
7708.886719	-56.207611
7751.953125	-54.283234
7795.019531	-52.597580
7838.085938	-50.984623
7881.152344	-50.525845
7924.218750	-50.992752
7967.285156	-50.530327
8010.351562	-48.875557
8053.417969	-47.488194
8096.484375	-45.283539
8139.550781	-44.373791
8182.617188	-45.450935
8225.683594	-47.080650
8268.750000	-46.898869
8311.816406	-47.334232
8354.882812	-48.643295
8397.949219	-48.095070
8441.015625	-49.134964
8484.082031	-50.572552
8527.148438	-51.635391
8570.214844	-50.337753
8613.281250	-48.453926
8656.347656	-48.437878
8699.414062	-49.819233
8742.480469	-49.163425
8785.546875	-46.225155
8828.613281	-44.820778
8871.679688	-44.584148
8914.746094	-45.979221
8957.812500	-46.211617
9000.878906	-44.853260
9043.945312	-44.503662
9087.011719	-45.672272
9130.078125	-50.900440
9173.144531	-53.073017
9216.210938	-48.479706
9259.277344	-48.223042
9302.343750	-51.274292
9345.410156	-53.427750
9388.476562	-51.971504
9431.542969	-49.602005
9474.609375	-48.876480
9517.675781	-44.625774
9560.742188	-43.620117
9603.808594	-47.348450
9646.875000	-48.957680
9689.941406	-51.448860
9733.007812	-47.788383
9776.074219	-46.391994
9819.140625	-46.607601
9862.207031	-46.294956
9905.273438	-47.745502
9948.339844	-50.811852
9991.406250	-48.339428
10034.472656	-47.899792
10077.539062	-47.020786
10120.605469	-46.268269
10163.671875	-48.121185
10206.738281	-47.406490
10249.804688	-46.900681
10292.871094	-46.408081
10335.937500	-45.796459
10379.003906	-46.233753
10422.070312	-46.689484
10465.136719	-44.587078
10508.203125	-43.908150
10551.269531	-44.558937
10594.335938	-46.439865
10637.402344	-50.922318
10680.468750	-48.789246
10723.535156	-46.081310
10766.601562	-47.310745
10809.667969	-51.970341
10852.734375	-49.881229
10895.800781	-47.703976
10938.867188	-47.533966
10981.933594	-45.994213
11025.000000	-46.278770
11068.066406	-49.303238
11111.132812	-48.613136
11154.199219	-47.808262
11197.265625	-47.513073
11240.332031	-45.106876
11283.398438	-42.723286
11326.464844	-43.579155
11369.531250	-47.159122
11412.597656	-49.259319
11455.664062	-49.357323
11498.730469	-46.642014
11541.796875	-45.184551
11584.863281	-45.345505
11627.929688	-44.049656
11670.996094	-43.764397
