周波数 (Hz)	レベル (dB)
43.066406	-29.006313
86.132812	-25.042080
129.199219	-26.583872
172.265625	-32.672516
215.332031	-37.618172
258.398438	-44.644554
301.464844	-44.495564
344.531250	-41.502445
387.597656	-39.762417
430.664062	-39.200016
473.730469	-41.032761
516.796875	-43.108418
559.863281	-44.374329
602.929688	-47.400551
645.996094	-48.839344
689.062500	-48.850525
732.128906	-51.518211
775.195312	-45.876270
818.261719	-41.698730
861.328125	-42.033745
904.394531	-43.287045
947.460938	-44.439228
990.527344	-45.921608
1033.593750	-46.032295
1076.660156	-45.961056
1119.726562	-46.677296
1162.792969	-50.034618
1205.859375	-51.001759
1248.925781	-52.421349
1291.992188	-52.161945
1335.058594	-49.962040
1378.125000	-49.953251
1421.191406	-53.015648
1464.257812	-51.984879
1507.324219	-47.813259
1550.390625	-45.027443
1593.457031	-45.806648
1636.523438	-44.815430
1679.589844	-43.290531
1722.656250	-43.893936
1765.722656	-45.851776
1808.789062	-47.815601
1851.855469	-48.567753
1894.921875	-49.046070
1937.988281	-48.185711
1981.054688	-47.413979
2024.121094	-47.598663
2067.187500	-47.625713
2110.253906	-45.716106
2153.320312	-45.533760
2196.386719	-47.059929
2239.453125	-48.031609
2282.519531	-48.317238
2325.585938	-48.020138
2368.652344	-46.939121
2411.718750	-47.061913
2454.785156	-50.474716
2497.851562	-52.027313
2540.917969	-51.127964
2583.984375	-49.908421
2627.050781	-51.002026
2670.117188	-51.029125
2713.183594	-46.605072
2756.250000	-43.560226
2799.316406	-43.266319
2842.382812	-43.308144
2885.449219	-44.101658
2928.515625	-43.368626
2971.582031	-42.990879
3014.648438	-43.280506
3057.714844	-42.302399
3100.781250	-40.959549
3143.847656	-40.232220
3186.914062	-39.620876
3229.980469	-40.217857
3273.046875	-42.216763
3316.113281	-44.868065
3359.179688	-47.840149
3402.246094	-47.887581
3445.312500	-45.888771
3488.378906	-46.642803
3531.445312	-47.140347
3574.511719	-47.437691
3617.578125	-47.841942
3660.644531	-48.247425
3703.710938	-48.565495
3746.777344	-48.152683
3789.843750	-48.680431
3832.910156	-49.849739
3875.976562	-50.926971
3919.042969	-51.025703
3962.109375	-50.517845
4005.175781	-48.936203
4048.242188	-47.469822
4091.308594	-47.165504
4134.375000	-47.501038
4177.441406	-48.886166
4220.507812	-47.855125
4263.574219	-47.456059
4306.640625	-46.288319
4349.707031	-44.862900
4392.773438	-45.618336
4435.839844	-45.781853
4478.906250	-46.569016
4521.972656	-48.530479
4565.039062	-49.878426
4608.105469	-50.429955
4651.171875	-48.535275
4694.238281	-45.000977
4737.304688	-42.294548
4780.371094	-41.853561
4823.437500	-42.793217
4866.503906	-45.479954
4909.570312	-46.920868
4952.636719	-48.340691
4995.703125	-51.390789
5038.769531	-51.558079
