周波数 (Hz)	レベル (dB)
43.066406	-28.814854
86.132812	-27.563015
129.199219	-30.277929
172.265625	-34.395103
215.332031	-36.409443
258.398438	-42.680508
301.464844	-42.159218
344.531250	-41.355732
387.597656	-45.363449
430.664062	-47.380035
473.730469	-43.294281
516.796875	-37.896267
559.863281	-39.889515
602.929688	-45.326115
645.996094	-46.264660
689.062500	-46.829041
732.128906	-47.587513
775.195312	-50.561264
818.261719	-45.820961
861.328125	-45.774555
904.394531	-47.879051
947.460938	-48.973057
990.527344	-48.378445
1033.593750	-48.725761
1076.660156	-47.194756
1119.726562	-45.723042
1162.792969	-47.540596
1205.859375	-48.529751
1248.925781	-47.202274
1291.992188	-48.338280
1335.058594	-48.133636
1378.125000	-48.119892
1421.191406	-47.884060
1464.257812	-48.081245
1507.324219	-45.830387
1550.390625	-44.764561
1593.457031	-46.401230
1636.523438	-48.101479
1679.589844	-47.180199
1722.656250	-45.373573
1765.722656	-44.575798
1808.789062	-44.090904
1851.855469	-44.324505
1894.921875	-46.379177
1937.988281	-48.712360
1981.054688	-50.197105
2024.121094	-50.768700
2067.187500	-47.067043
2110.253906	-45.010891
2153.320312	-45.261108
2196.386719	-46.469631
2239.453125	-49.336994
2282.519531	-51.515919
2325.585938	-47.637150
2368.652344	-45.534447
2411.718750	-47.253231
2454.785156	-50.201092
2497.851562	-48.698559
2540.917969	-46.225021
2583.984375	-46.309208
2627.050781	-47.876331
2670.117188	-46.885677
2713.183594	-45.611031
2756.250000	-46.990753
2799.316406	-50.301994
2842.382812	-48.560581
2885.449219	-47.886837
2928.515625	-48.780533
2971.582031	-48.631901
3014.648438	-46.731613
3057.714844	-45.200531
3100.781250	-45.194103
3143.847656	-45.276543
3186.914062	-45.215839
3229.980469	-45.653885
3273.046875	-47.208012
3316.113281	-48.293617
3359.179688	-46.471893
3402.246094	-44.639381
3445.312500	-45.232410
3488.378906	-47.183006
3531.445312	-48.910061
3574.511719	-50.176933
3617.578125	-50.966999
3660.644531	-50.167366
3703.710938	-47.853214
3746.777344	-47.841026
