周波数 (Hz)	レベル (dB)
43.066406	-31.034546
86.132812	-30.403643
129.199219	-32.215294
172.265625	-38.907265
215.332031	-42.398178
258.398438	-43.492287
301.464844	-42.755524
344.531250	-46.247704
387.597656	-45.671825
430.664062	-43.149574
473.730469	-45.221500
516.796875	-48.654247
559.863281	-51.692413
602.929688	-56.415573
645.996094	-58.822083
689.062500	-57.680058
732.128906	-60.684498
775.195312	-61.311932
818.261719	-56.556644
861.328125	-55.969147
904.394531	-58.101906
947.460938	-58.472435
990.527344	-56.504562
1033.593750	-57.192822
1076.660156	-59.779621
1119.726562	-59.033249
1162.792969	-61.065559
1205.859375	-62.723972
1248.925781	-61.268475
1291.992188	-58.163795
1335.058594	-56.119087
1378.125000	-55.061325
1421.191406	-56.764664
1464.257812	-60.682495
1507.324219	-57.777473
1550.390625	-53.974586
1593.457031	-52.894905
1636.523438	-53.507744
1679.589844	-53.315041
1722.656250	-54.015427
1765.722656	-55.022182
1808.789062	-53.098866
1851.855469	-50.804798
1894.921875	-49.609077
1937.988281	-49.671871
1981.054688	-51.327103
2024.121094	-54.477013
2067.187500	-58.270073
2110.253906	-61.828762
2153.320312	-62.551357
2196.386719	-60.698620
2239.453125	-57.471661
2282.519531	-53.774040
2325.585938	-51.071457
2368.652344	-49.558117
2411.718750	-49.213524
2454.785156	-50.435593
2497.851562	-51.740799
2540.917969	-51.815033
2583.984375	-51.345100
2627.050781	-50.126930
2670.117188	-50.409168
2713.183594	-51.088680
2756.250000	-50.493732
2799.316406	-51.798283
2842.382812	-53.953011
2885.449219	-55.006516
2928.515625	-55.403519
2971.582031	-55.298084
3014.648438	-53.991367
3057.714844	-50.722446
3100.781250	-49.691124
3143.847656	-47.158962
3186.914062	-45.678196
3229.980469	-46.365147
3273.046875	-47.354580
3316.113281	-48.089252
3359.179688	-48.943783
3402.246094	-48.498558
3445.312500	-48.782074
3488.378906	-49.890793
3531.445312	-49.813057
3574.511719	-49.329292
3617.578125	-47.484138
3660.644531	-47.852673
3703.710938	-49.802124
3746.777344	-50.612034
3789.843750	-50.046680
3832.910156	-48.743050
3875.976562	-49.346458
3919.042969	-51.602135
3962.109375	-52.215897
4005.175781	-53.485371
4048.242188	-56.492985
4091.308594	-55.745300
4134.375000	-54.878189
4177.441406	-52.761631
4220.507812	-51.325001
4263.574219	-51.617886
4306.640625	-52.094303
4349.707031	-52.283703
4392.773438	-55.191841
4435.839844	-56.880207
4478.906250	-56.509483
4521.972656	-57.218990
4565.039062	-56.598480
4608.105469	-55.840069
4651.171875	-54.258228
4694.238281	-55.030979
4737.304688	-55.972942
4780.371094	-55.948887
4823.437500	-57.552067
4866.503906	-58.052170
4909.570312	-56.246185
4952.636719	-55.038315
4995.703125	-55.637058
5038.769531	-56.893799
5081.835938	-55.842602
5124.902344	-53.921215
5167.968750	-53.502518
5211.035156	-54.929016
5254.101562	-56.380127
5297.167969	-55.817127
5340.234375	-55.143127
5383.300781	-55.161373
5426.367188	-55.582890
5469.433594	-57.034435
5512.500000	-56.376499
5555.566406	-56.787941
5598.632812	-57.989292
5641.699219	-57.809551
5684.765625	-55.655415
5727.832031	-55.214970
5770.898438	-55.974186
5813.964844	-55.216068
5857.031250	-54.449825
5900.097656	-54.051910
5943.164062	-54.534340
5986.230469	-56.160812
6029.296875	-59.151154
6072.363281	-59.879330
6115.429688	-58.307716
6158.496094	-57.116631
6201.562500	-55.369572
6244.628906	-54.718571
6287.695312	-55.823051
6330.761719	-58.328312
6373.828125	-60.203125
6416.894531	-59.812416
6459.960938	-59.500748
6503.027344	-58.115513
6546.093750	-56.204746
6589.160156	-54.586456
6632.226562	-53.957584
6675.292969	-54.344158
6718.359375	-54.452625
6761.425781	-54.150139
6804.492188	-54.884537
6847.558594	-57.008812
6890.625000	-58.640488
6933.691406	-59.270287
6976.757812	-58.521778
7019.824219	-57.836452
7062.890625	-57.390560
7105.957031	-56.258247
7149.023438	-56.311504
7192.089844	-56.750175
7235.156250	-57.488129
7278.222656	-56.639187
7321.289062	-56.136909
7364.355469	-56.421829
7407.421875	-56.574970
7450.488281	-56.796116
7493.554688	-58.207188
7536.621094	-59.908329
