周波数 (Hz)	レベル (dB)
43.066406	-28.706348
86.132812	-25.098961
129.199219	-28.359972
172.265625	-36.028534
215.332031	-40.826511
258.398438	-41.489407
301.464844	-39.705334
344.531250	-39.696484
387.597656	-40.550529
430.664062	-41.383835
473.730469	-43.056118
516.796875	-45.060707
559.863281	-48.494720
602.929688	-50.739796
645.996094	-52.664448
689.062500	-55.239998
732.128906	-51.677021
775.195312	-52.677109
818.261719	-55.153923
861.328125	-51.977249
904.394531	-52.724770
947.460938	-49.768345
990.527344	-49.038910
1033.593750	-50.416573
1076.660156	-51.056057
1119.726562	-52.452206
1162.792969	-51.414761
1205.859375	-50.065472
1248.925781	-45.080799
1291.992188	-40.656479
1335.058594	-40.479431
1378.125000	-44.062454
1421.191406	-49.546295
1464.257812	-50.222702
1507.324219	-49.679363
1550.390625	-47.217869
1593.457031	-44.737526
1636.523438	-45.191021
1679.589844	-45.562347
1722.656250	-47.178696
1765.722656	-50.242893
1808.789062	-50.966019
1851.855469	-50.584446
1894.921875	-48.963238
1937.988281	-51.725204
1981.054688	-49.791645
2024.121094	-47.596760
2067.187500	-47.917637
2110.253906	-48.246681
2153.320312	-49.002075
2196.386719	-51.149452
2239.453125	-50.856312
2282.519531	-47.000114
2325.585938	-45.670013
2368.652344	-47.038723
2411.718750	-49.578968
2454.785156	-52.628345
2497.851562	-53.834045
2540.917969	-54.801823
2583.984375	-56.084072
2627.050781	-55.305210
2670.117188	-55.842312
2713.183594	-55.230473
2756.250000	-54.611725
2799.316406	-51.686451
2842.382812	-49.633530
2885.449219	-52.170189
2928.515625	-55.032944
2971.582031	-53.460850
3014.648438	-48.825569
3057.714844	-45.462364
3100.781250	-44.414215
3143.847656	-45.277287
3186.914062	-47.373299
3229.980469	-49.523289
3273.046875	-50.991325
3316.113281	-51.513451
3359.179688	-49.920090
3402.246094	-49.450951
3445.312500	-48.912357
3488.378906	-51.252548
3531.445312	-53.899929
3574.511719	-48.518921
3617.578125	-46.590820
3660.644531	-47.891735
3703.710938	-51.181175
3746.777344	-50.320511
3789.843750	-49.383301
3832.910156	-47.565380
3875.976562	-48.032433
3919.042969	-49.544197
3962.109375	-51.947598
4005.175781	-55.946129
4048.242188	-58.319019
4091.308594	-53.061443
4134.375000	-51.073509
4177.441406	-50.677387
4220.507812	-50.444923
4263.574219	-51.563614
4306.640625	-51.551273
4349.707031	-46.706467
4392.773438	-44.537216
4435.839844	-43.711987
4478.906250	-45.513031
4521.972656	-49.472904
4565.039062	-52.175396
4608.105469	-49.185841
4651.171875	-47.105186
4694.238281	-47.506374
4737.304688	-49.474030
4780.371094	-51.981400
4823.437500	-53.612228
4866.503906	-50.670227
4909.570312	-47.864014
4952.636719	-48.593708
4995.703125	-49.741772
5038.769531	-47.658455
5081.835938	-47.379223
5124.902344	-49.092636
5167.968750	-46.876999
5211.035156	-44.547318
5254.101562	-45.517784
5297.167969	-49.271465
5340.234375	-53.860912
5383.300781	-50.427845
5426.367188	-47.747787
5469.433594	-46.785393
5512.500000	-48.622032
5555.566406	-51.253956
5598.632812	-51.344540
5641.699219	-50.946133
5684.765625	-52.546989
5727.832031	-52.703438
5770.898438	-53.433392
5813.964844	-56.342903
5857.031250	-54.712540
5900.097656	-51.017380
5943.164062	-50.323673
5986.230469	-50.649643
6029.296875	-49.378513
6072.363281	-49.406712
6115.429688	-51.632820
6158.496094	-51.478168
6201.562500	-50.699226
6244.628906	-52.585743
6287.695312	-52.520294
6330.761719	-51.553867
6373.828125	-52.444649
6416.894531	-55.758797
6459.960938	-54.159328
6503.027344	-51.253731
6546.093750	-51.666004
6589.160156	-53.415462
6632.226562	-54.341042
6675.292969	-54.564308
6718.359375	-50.635597
6761.425781	-46.794918
6804.492188	-45.502655
6847.558594	-46.012707
6890.625000	-49.304874
6933.691406	-53.038387
6976.757812	-50.592808
7019.824219	-50.749203
7062.890625	-50.616142
7105.957031	-49.433956
7149.023438	-48.313850
7192.089844	-49.511806
7235.156250	-47.511250
7278.222656	-44.201523
7321.289062	-43.138317
7364.355469	-43.998638
7407.421875	-46.924294
7450.488281	-50.270779
7493.554688	-51.196186
7536.621094	-51.075680
7579.687500	-50.799335
7622.753906	-52.512146
7665.820312	-55.990845
7708.886719	-56.877533
7751.953125	-51.857903
7795.019531	-50.651398
7838.085938	-52.303288
7881.152344	-56.169193
7924.218750	-55.349209
7967.285156	-49.432644
8010.351562	-47.093143
8053.417969	-47.911240
8096.484375	-51.397102
8139.550781	-53.931396
8182.617188	-51.960423
8225.683594	-51.917648
8268.750000	-51.828957
8311.816406	-53.053864
8354.882812	-56.144051
8397.949219	-55.276890
8441.015625	-51.729748
8484.082031	-51.537964
8527.148438	-54.288136
8570.214844	-57.625214
8613.281250	-55.675827
8656.347656	-54.638206
8699.414062	-55.473461
8742.480469	-55.291527
8785.546875	-53.958786
8828.613281	-54.148972
8871.679688	-52.380688
8914.746094	-50.248978
8957.812500	-49.450348
9000.878906	-49.181816
9043.945312	-49.160725
9087.011719	-51.185570
9130.078125	-53.581417
9173.144531	-53.209187
9216.210938	-52.577576
